run,time_label,endpoint_case,sequence,x_um,y_um,zone,Je_x_Acm-2,Je_y_Acm-2,Je_mag_Acm-2,Jtotal_Acm-2,electron_cm-3,impact_cm-3s-1
RUN096,t50ns,x2-x18_channel-edge,0,18.0,0.0375,contact-extension,-961.651345,1460.02654,1748.2708047795916,1748.22847,1.20389993e+18,0.0
RUN096,t50ns,x2-x18_channel-edge,1,17.875,0.05625,channel-drift,-1417.53839,270.610152,1443.137187341957,1443.10182,1.19519073e+18,0.0
RUN096,t50ns,x2-x18_channel-edge,2,17.75,0.05625,channel-drift,-1257.97808,61.0337956,1259.4578095219504,1259.42645,1.16872463e+18,0.0
RUN096,t50ns,x2-x18_channel-edge,3,17.625,0.05625,channel-drift,-1200.67777,8.48782613,1200.7077706771895,1200.67705,1.12534116e+18,0.0
RUN096,t50ns,x2-x18_channel-edge,4,17.5,0.0375,channel-drift,-1212.44379,-7.75711729,1212.4686044505297,1212.43648,1.06683629e+18,0.0
RUN096,t50ns,x2-x18_channel-edge,5,17.375,0.01875,channel-drift,-1256.13839,-6.52372008,1256.1553302659167,1256.12063,9.94960675e+17,0.0
RUN096,t50ns,x2-x18_channel-edge,6,17.25,0.01875,channel-drift,-1321.9749,-7.53290047,1321.996361878315,1321.95815,9.13478278e+17,0.0
RUN096,t50ns,x2-x18_channel-edge,7,17.125,0.0375,channel-drift,-1408.56058,-19.6372767,1408.6974587064922,1408.65492,8.27080141e+17,0.0
RUN096,t50ns,x2-x18_channel-edge,8,17.0,0.0375,channel-drift,-1501.21766,-16.9764149,1501.313645231646,1501.26648,7.3559682e+17,0.0
RUN096,t50ns,x2-x18_channel-edge,9,16.890625,0.05625,channel-drift,-1610.52608,-26.0006555,1610.7359462204215,1610.68355,6.55106465e+17,0.0
RUN096,t50ns,x2-x18_channel-edge,10,16.78125,0.05625,channel-drift,-1726.08469,-0.0520907485,1726.0846907860116,1726.02699,5.75619383e+17,0.0
RUN096,t50ns,x2-x18_channel-edge,11,16.671875,0.075,channel-drift,-1922.48602,82.5052103,1924.2555981007533,1924.18956,4.99019285e+17,0.0
RUN096,t50ns,x2-x18_channel-edge,12,16.5625,0.09375,channel-drift,-2657.22069,436.232161,2692.7904288404634,2692.65396,4.25864881e+17,0.0
RUN096,t50ns,x2-x18_channel-edge,13,16.453125,0.09375,channel-drift,-2080.82963,804.080325,2230.78396940135,2228.92281,2.11195303e+17,0.0
RUN096,t50ns,x2-x18_channel-edge,14,16.34375,0.09375,channel-drift,-1649.82832,-241.73063,1667.443307268412,1664.19021,371649463000000.0,2.255222e+20
RUN096,t50ns,x2-x18_channel-edge,15,16.234375,0.09375,channel-drift,-3690.77282,-640.694976,3745.970376434175,3745.52192,723844424000000.0,9.28734701e+23
RUN096,t50ns,x2-x18_channel-edge,16,16.125,0.075,channel-drift,-3918.09796,-819.021046,4002.784917772512,4012.1906,707029738000000.0,7.65054554e+24
RUN096,t50ns,x2-x18_channel-edge,17,16.015625,0.05625,channel-drift,-4911.06299,-1061.16731,5024.402029252872,5056.27063,889111553000000.0,2.20157636e+25
