RUN121_time_s,RUN121_Id,RUN121_ImpactMax,RUN121_HoleMax,RUN121_Tmax,RUN121_Tmin,RUN121_JouleMax,RUN121_HeatMax,RUN096_nearest_time_s,RUN096_Id,RUN096_ImpactMax,RUN096_HoleMax,RUN096_Tmax,RUN096_Tmin,RUN096_JouleMax,RUN096_HeatMax
2e-13,3.868157905e-14,6891062671000.0,5.720060845e+17,300.0,300.0,141.6530271,141.0931982,2e-13,6.160666511e-14,1955215753000000.0,1.74395777e+18,300.0,300.0,163.7830963,162.2300035
6e-13,6.333268468e-13,82942966590000.0,5.720060845e+17,300.0,300.0,1727.917355,1724.178996,6e-13,7.240830102e-13,2684441731000000.0,1.74395777e+18,300.0,300.0,2347.493976,2328.846763
1.4e-12,2.569476438e-11,3686923345000000.0,5.720060845e+17,300.0,300.0,76956.28967,76903.31744,1.4e-12,2.626900476e-11,1.284597654e+17,1.74395777e+18,300.0,300.0,115024.52,114261.4955
2e-12,3.062946072e-10,4.262219184e+16,5.720060845e+17,300.0000001,300.0,889966.7427,888993.1984,2e-12,3.135974602e-10,1.452304439e+18,1.74395777e+18,300.0000001,300.0,1302896.712,1294694.209
2.1e-12,4.564711688e-10,6.046836994e+16,5.720060845e+17,300.0000001,300.0,1262389.928,1260837.487,2.1e-12,4.666623077e-10,2.054349664e+18,1.74395777e+18,300.0000001,300.0,1840437.049,1828998.347
2.3e-12,9.842575182e-10,1.287125583e+17,5.720060845e+17,300.0000002,300.0,2687940.388,2683473.014,2.3e-12,1.006903531e-09,4.321087707e+18,1.74395777e+18,300.0000002,300.0,3854688.469,3828467.207
2.7e-12,4.41405911e-09,6.109368918e+17,5.720060845e+17,300.0000011,300.0,12762068.52,12745534.81,2.7e-12,4.519469589e-09,2.067126961e+19,1.74395777e+18,300.0000011,300.0,18498764.41,18378262.76
3.5e-12,7.36155409e-08,1.115794642e+19,5.720060845e+17,300.0000247,300.0,233315376.0,232934860.4,3.5e-12,7.545702415e-08,4.101563828e+20,1.74395777e+18,300.0000254,300.0,363068635.9,360816417.0
5.07125267723261e-12,7.645258318e-06,1.06466951e+21,5.72006089e+17,300.0043036,299.9999999,25442659680.0,25405746370.0,5.0662817692157e-12,7.720257231e-06,5.673304579e+22,1.743957759e+18,300.0047065,299.9999999,47527886050.0,47304745230.0
6e-12,5.51925138e-05,3.333923396e+21,5.720061322e+17,300.0293296,299.9999995,180057267900.0,179777355600.0,6e-12,5.583363119e-05,4.12689613e+23,1.743957776e+18,300.0371556,299.9999999,422350941900.0,420045441500.0
6.1e-12,6.376822587e-05,3.649976086e+21,5.720061451e+17,300.0351837,299.9999994,213494751400.0,213166243000.0,6.1e-12,6.394673802e-05,4.894530723e+23,1.743957792e+18,300.0455225,299.9999998,524348665200.0,521337199100.0
