"artifact_name","role","storage_class","included_in_public","size_bytes","sha256"
"RUN121_preflight_track_mesh_RUN096_identical.png","A14-mesh","local-lightweight","TRUE","79352","B38FDA192E4CBBE99F1ABAD9379A3221C6EE8F31A764374F23F56FA85D0F42C0"
"RUN121_preflight_structure_RUN096_identical.png","A14-structure","local-lightweight","TRUE","71384","9116F8398F8B63D2046704CC1B357AA333CD9DE08D006CCD7F225F02AB511B76"
"RUN121_Wang2026_nofp_Lgd9_x11_zimpact_SEB_1000V_short500ns.in","candidate-deck","local-source","TRUE","17328","0DB0ABE8E5BA83DE340DA376679A7486FA1C6C8184658F1DCDD629B01BDCBFBF"
"RUN121_preflight_contract.md","public-sanitized-contract","public-lightweight","TRUE","3347","42651C9573AC795697AC104B1FDE9FB2820234EC3C1431E425587A3660D6641F"
"RUN096_RUN121_full_deck_diff.md","full-deck-diff","local-lightweight","TRUE","10327","A5A8AAEB60ED727C2A03C12C8DDA933463D32EC0C9764D1692CFF3B90AE063B2"
"RUN096_Wang2026_nofp_Lgd9_x11_hfo2hc_SEB_1000V_Et0p8_long.in","parent-deck","local-source","TRUE","17928","786EA68542AA235621A2A2AD13DC81CB86666FD875577F00FF1FBFA5143D7CB5"
"RUN121_prestrike_shallow_et.csv","raw-heatmap-csv","restricted-bulk-csv","FALSE","2031078","9BDB79FA87A781BC8C8E17D5CB1B42EF44BB17E8CB27DE151C0FC1E7BB299FCB"
"RUN121_prestrike_shallow.csv","raw-heatmap-csv","restricted-bulk-csv","FALSE","5790652","03A780B66F1234EFE56CCAF6A2F92003868474E707C3C6303D428235FFF85922"
"RUN121_prestrike_substrate_et.csv","raw-heatmap-csv","restricted-bulk-csv","FALSE","1101137","44F672DE67C7D62E10C82DA3B53650E3EEAD6F70DE7E5AD8156F6A245F88B09F"
"RUN121_prestrike_substrate.csv","raw-heatmap-csv","restricted-bulk-csv","FALSE","3191264","AADA4498881EC9025449657974D20B5BE53665E13BFDA9E3A281322A0559544A"
"RUN121_t100ns_shallow_et.csv","raw-heatmap-csv","restricted-bulk-csv","FALSE","2519041","9321CF403992C6B9D7105A1D6E80F39B5811F1759374ACECDAE0C463A95FA9FB"
"RUN121_t100ns_shallow.csv","raw-heatmap-csv","restricted-bulk-csv","FALSE","5211329","67FFAE8A9A1D3EFE27318DE2F825B7C726871D5C2BD8ACFCEEAA274734931887"
"RUN121_t100ns_substrate_et.csv","raw-heatmap-csv","restricted-bulk-csv","FALSE","1380022","769C00C179B0721E3020D70510D31B3ECD306094565F1CD98BF2E368E5DAAAFF"
"RUN121_t100ns_substrate.csv","raw-heatmap-csv","restricted-bulk-csv","FALSE","3088866","6441FC1D845511D5538189D68E74044AA33C1622C91C3C30D361C466F73F23E7"
"RUN121_t500ns_shallow_et.csv","raw-heatmap-csv","restricted-bulk-csv","FALSE","2519291","7FF9DDD73DBB907E14A7350DC93F58A56CED3B26A5769EAF65259816424374A6"
"RUN121_t500ns_shallow.csv","raw-heatmap-csv","restricted-bulk-csv","FALSE","5267634","50E5ACC0E85A4DB63966C28F3E738ADE65B11AADDA2E42716FAA6348BF7C8C88"
"RUN121_t500ns_substrate_et.csv","raw-heatmap-csv","restricted-bulk-csv","FALSE","1380187","B89064F7BBF39A98FD56B2278516B6628CE71EA0FBEED603581567BDF598514A"
"RUN121_t500ns_substrate.csv","raw-heatmap-csv","restricted-bulk-csv","FALSE","3108818","BA3A189BEFED18BAA0F3E0A68D22150E8BD13EF9A59C3C02E29D808BF547974F"
"RUN121_t50ns_shallow_et.csv","raw-heatmap-csv","restricted-bulk-csv","FALSE","2519158","E241F2B1EC01CF256FAB4A1239BC6A7CD92675C16395919C384B523913A9859C"
"RUN121_t50ns_shallow.csv","raw-heatmap-csv","restricted-bulk-csv","FALSE","5184243","55F1E01F1ED21E58227C6BCECC979B778AEDAD0F9A1D9474C3843F1CDCD14653"
"RUN121_t50ns_substrate_et.csv","raw-heatmap-csv","restricted-bulk-csv","FALSE","1380489","7CE94A51F7065F9ECEA68963A4FFC047A5C8A66DE759A83D81922A39A0718663"
"RUN121_t50ns_substrate.csv","raw-heatmap-csv","restricted-bulk-csv","FALSE","3064910","22FCB6973DCE0CE2E1C1AA3AD631F473F07240724489A4D4AA65882E31476544"
"RUN121_t100ns_vertex.csv","raw-native-vertex-csv","restricted-bulk-csv","FALSE","390892","1136C8FD6D1D59318D2794898B1784B0C1020FC6D5D59D1863B80CA1BB48D1E4"
