"category","metric","time","unit","RUN096","RUN121","RUN121_minus_RUN096","delta_pct","method"
"terminal","Id","100ps","A/um","0.0004383505145","0.0004057886254","-3.256188910000002E-05","-7.428276692486923","accepted SSF rows"
"terminal","ImpactMax","100ps","cm^-3 s^-1","6.005535322E+28","3.797802882E+28","-2.2077324400000005E+28","-36.761626093721276","accepted SSF rows"
"terminal","Tmax","100ps","K","325.9896072","318.1301723","-7.859434899999997","-2.410946461608543","accepted SSF rows"
"terminal","JouleMax","100ps","ATLAS raw unit","2012459680000","2663521514000","651061834000","32.35154674005691","accepted SSF rows"
"terminal","Id","50ns","A/um","5.453764043E-06","4.08296604E-06","-1.3707980030000001E-06","-25.134897516504097","accepted SSF rows"
"terminal","ImpactMax","50ns","cm^-3 s^-1","2.977609286E+26","1.947008655E+25","-2.7829084205000002E+26","-93.46116811176549","accepted SSF rows"
"terminal","Tmax","50ns","K","342.1811259","332.2487081","-9.932417799999996","-2.902678449571372","accepted SSF rows"
"terminal","JouleMax","50ns","ATLAS raw unit","122695882900","98149548980","-24546333920","-20.005833398668994","accepted SSF rows"
"terminal","Id","100ns","A/um","2.251180402E-06","1.689163037E-06","-5.620173650000001E-07","-24.965452102403297","accepted SSF rows"
"terminal","ImpactMax","100ns","cm^-3 s^-1","1.174447516E+26","8.08561918E+24","-1.0935913242000001E+26","-93.1153848342764","accepted SSF rows"
"terminal","Tmax","100ns","K","332.3224853","324.7359143","-7.586570999999992","-2.282894277572378","accepted SSF rows"
"terminal","JouleMax","100ns","ATLAS raw unit","51118979120","40973574410","-10145404710","-19.846649687944705","accepted SSF rows"
"terminal","Id","500ns","A/um","6.572656656E-07","5.375394559E-07","-1.1972620969999998E-07","-18.215801610556536","accepted SSF rows"
"terminal","ImpactMax","500ns","cm^-3 s^-1","3.108374192E+25","2.521804966E+24","-2.8561936953999998E+25","-91.88706117657793","accepted SSF rows"
"terminal","Tmax","500ns","K","319.1241633","315.2053748","-3.918788500000005","-1.2279823813642232","accepted SSF rows"
"terminal","JouleMax","500ns","ATLAS raw unit","14913356710","13055626990","-1857729720","-12.456818113619706","accepted SSF rows"
"connectivity","signed_widest_path_capacity","50ns","A/cm^2","189.65565","27.7551267","-161.9005233","-85.3655155013837","native-vertex Delaunay, drain-to-source, x=2..18 um"
"connectivity","signed_widest_path_capacity","100ns","A/cm^2","62.8017656","10.7975804","-52.0041852","-82.80688401537552","native-vertex Delaunay, drain-to-source, x=2..18 um"
"connectivity","signed_widest_path_capacity","500ns","A/cm^2","13.6063851","3.59746125","-10.00892385","-73.56049219862226","native-vertex Delaunay, drain-to-source, x=2..18 um"
"execution","static_last_VDS_V","run","V","","1000.0","","","execution audit"
"execution","static_last_Id_A_per_um","run","A/um","","-2.086305028e-15","","","execution audit"
"execution","static_max_abs_Id_A_per_um","run","A/um","","2.184003738e-15","","","execution audit"
"execution","deposited_charge_pC_per_um","run","pC/um","","2.4355067009072506","","","execution audit"
"execution","charge_delta_pct","run","percent","","0.5155436886379539","","","execution audit"
"execution","rejected_smaller_timestep_trials","run","count","","65","","","execution audit"
"execution","rejected_temperature_limit_trials","run","count","","17","","","execution audit"
