time_label,zone,field,max_value,x_at_max_um,y_at_max_um
prestrike,shallow,efield,3631813.33,9.0,0.0
prestrike,shallow,temperature,300.0,0.0,0.0
prestrike,shallow,current,2.14535523e-07,15.04,0.0
prestrike,shallow,impact,1245541900000.0,15.24,0.0
prestrike,substrate,efield,1680197.04,15.65,0.85
prestrike,substrate,temperature,300.0,0.0,0.35
prestrike,substrate,current,9.79789483e-09,18.0,0.35
prestrike,substrate,impact,21598601000.0,15.55,0.45
t100ns,shallow,efield,2504476.11,15.68,0.35
t100ns,shallow,temperature,324.73472,15.02,0.0
t100ns,shallow,current,21636.0122,11.16,0.0
t100ns,shallow,impact,8.04984305e+24,15.46,0.0
t100ns,substrate,efield,2504439.3,15.7,0.35
t100ns,substrate,temperature,320.109561,14.9,0.35
t100ns,substrate,current,131.600765,17.4,0.35
t100ns,substrate,impact,2.50994722e+19,13.8,0.35
t500ns,shallow,efield,2496011.88,15.68,0.35
t500ns,shallow,temperature,313.728414,14.5,0.0
t500ns,shallow,current,6869.35571,11.16,0.0
t500ns,shallow,impact,2.5096538e+24,15.46,0.0
t500ns,substrate,efield,2495935.3,15.7,0.35
t500ns,substrate,temperature,312.243538,14.35,0.35
t500ns,substrate,current,42.8838811,17.4,0.35
t500ns,substrate,impact,7.47039349e+18,13.8,0.35
