milestone,requested_time_s,RUN096_actual_time_s,RUN096_Id,RUN096_Tmax,RUN096_ImpactMax,RUN096_HoleMax,RUN096_JouleMax,RUN108_actual_time_s,RUN108_Id,RUN108_Tmax,RUN108_ImpactMax,RUN108_HoleMax,RUN108_JouleMax,RUN109_actual_time_s,RUN109_Id,RUN109_Tmax,RUN109_ImpactMax,RUN109_HoleMax,RUN109_JouleMax,RUN108_minus_RUN096_Id,RUN108_over_RUN096_Id,RUN108_minus_RUN096_Tmax,RUN108_over_RUN096_Tmax,RUN108_minus_RUN096_ImpactMax,RUN108_over_RUN096_ImpactMax,RUN108_minus_RUN096_HoleMax,RUN108_over_RUN096_HoleMax,RUN108_minus_RUN096_JouleMax,RUN108_over_RUN096_JouleMax,RUN109_minus_RUN096_Id,RUN109_over_RUN096_Id,RUN109_minus_RUN096_Tmax,RUN109_over_RUN096_Tmax,RUN109_minus_RUN096_ImpactMax,RUN109_over_RUN096_ImpactMax,RUN109_minus_RUN096_HoleMax,RUN109_over_RUN096_HoleMax,RUN109_minus_RUN096_JouleMax,RUN109_over_RUN096_JouleMax
100ps,1e-10,1e-10,0.0004383505145,325.9896072,6.005535322e+28,2.220605747e+19,2012459680000.0,1e-10,0.0004497179019,322.113849,9.263195157e+28,2.223468206e+19,2717133336000.0,1e-10,0.0004423050364,324.5134559,7.088877228e+28,2.220295921e+19,2177983291000.0,1.136738740000002e-05,1.0259321867409374,-3.875758200000007,0.9881107921406151,3.2576598350000004e+28,1.5424428731717317,2.8624590000001024e+16,1.001289044218618,704673656000.0,1.3501554157845288,3.95452190000002e-06,1.0090213693589722,-1.4761513000000264,0.9954717841691978,1.083341906e+28,1.1803905643567538,-3098260000002048.0,0.9998604768088983,165523611000.0,1.0822494048675797
400ps,4e-10,4e-10,0.0002793758119,374.4694005,3.138951205e+28,8.91857786e+19,2344092279000.0,4e-10,0.0002783914818,366.1382023,3.718675321e+28,9.227241817e+19,2004192362000.0,4e-10,0.0002789454999,371.4383307,3.340529228e+28,9.032475933e+19,2212725204000.0,-9.843301000000038e-07,0.9964766810222199,-8.331198200000017,0.9777519920482795,5.797241159999999e+27,1.1846872022338428,3.086639570000003e+18,1.0346091004468734,-339899917000.0,0.8549972114813659,-4.3031199999999433e-07,0.9984597378095351,-3.0310698000000116,0.9919056943078584,2.015780229999997e+27,1.0642182722301985,1.138980729999999e+18,1.0127708783606448,-131367075000.0,0.9439582322859569
1ns,1e-09,1e-09,2.785278635e-06,366.8318697,3.589689338e+23,9.731633649e+19,53326677520.0,1e-09,2.733142681e-06,363.9237313,1.880062333e+24,9.953890416e+19,60986785170.0,1e-09,2.747658204e-06,365.7300051,6.537930777e+23,9.806906857e+19,54792853060.0,-5.213595400000008e-08,0.9812816020110677,-2.908138400000041,0.992072285315945,1.5210933992e+24,5.237395651757094,2.2225676699999928e+18,1.0228385875400106,7660107650.0,1.1436449448238568,-3.7620430999999964e-08,0.986493117590729,-1.101864599999999,0.9969962680698896,2.9482414390000005e+23,1.8213082418554407,7.527320799999918e+17,1.0077348994747386,1466175540.0,1.0274942225577455
10ns,1e-08,1e-08,9.277464891e-06,330.8322528,6.551602996e+26,4.192445628e+19,211998168500.0,1e-08,7.830431216e-06,328.2593367,4.146778202e+26,4.265408526e+19,173718213000.0,1e-08,8.551569141e-06,329.6434818,5.472351771e+26,4.218501202e+19,193412135100.0,-1.4470336750000002e-06,0.8440270384204033,-2.5729160999999863,0.9922228982264453,-2.404824794000001e+26,0.6329410076483211,7.29628979999998e+17,1.0174034214093808,-38279955500.0,0.8194326122208928,-7.25895750000001e-07,0.9217571008321264,-1.1887709999999743,0.9964067257955087,-1.0792512250000007e+26,0.8352691355598127,2.6055573999999386e+17,1.0062148865631035,-18586033400.0,0.9123292737314379
50ns,5e-08,5e-08,5.453764043e-06,342.1811259,2.977609286e+26,2.402611368e+19,122695882900.0,5e-08,5.627530142e-06,340.5589428,2.252542719e+26,2.449761543e+19,122305628000.0,5e-08,5.491708556e-06,341.4717825,2.650367778e+26,2.417342935e+19,121834757400.0,1.7376609899999988e-07,1.0318616826158864,-1.6221830999999725,0.9952592852813453,-7.2506656700000005e+25,0.7564937178262144,4.71501750000001e+17,1.0196245533622232,-390254900.0,0.9968193317430376,3.79445130000001e-08,1.006957490771663,-0.7093433999999661,0.9979269943713749,-3.2724150800000014e+25,0.8900992452103738,1.4731567000000102e+17,1.006131481435661,-861125500.0,0.9929816267698091
100ns,1e-07,1e-07,2.251180402e-06,332.3224853,1.174447516e+26,1.73619065e+19,51118979120.0,1e-07,2.24170864e-06,331.2234428,8.47784294e+25,1.74691622e+19,49125032940.0,1e-07,2.238200858e-06,331.8136397,1.030716074e+26,1.738755448e+19,50031738220.0,-9.471761999999925e-09,0.9957925353332034,-1.099042499999996,0.9966928434017702,-3.2666322200000006e+25,0.7218579650859426,1.072557e+17,1.0061776452948874,-1993946180.0,0.9609940140760777,-1.2979544000000041e-08,0.9942343385770112,-0.5088455999999724,0.9984688198286052,-1.4373144200000004e+25,0.8776178245158807,2.564798e+16,1.0014772559684042,-1087240900.0,0.9787311695437473
500ns,5e-07,5e-07,6.572656656e-07,319.1241633,3.108374192e+25,1.161361597e+19,14913356710.0,5e-07,6.179950466e-07,318.3508985,2.094956924e+25,1.155153587e+19,13522834200.0,5e-07,6.383882264e-07,318.7790542,2.661759957e+25,1.158152876e+19,14264289140.0,-3.927061900000003e-08,0.9402515283311643,-0.7732647999999926,0.9975769155428288,-1.013417268e+25,0.6739719205595566,-6.208009999999795e+16,0.9946545416896545,-1390522510.0,0.9067599242048842,-1.8877439199999985e-08,0.9712788295692164,-0.34510910000000194,0.9989185742112684,-4.4661423500000005e+24,0.8563190248621135,-3.2087209999998976e+16,0.9972371042677073,-649067570.0,0.9564774327724104
1us,1e-06,1e-06,5.557138903e-07,315.0676498,2.462403031e+25,1.114130548e+19,12517210680.0,1e-06,5.179266912e-07,314.2793891,1.633678027e+25,1.107494409e+19,11242438110.0,1e-06,5.383984134e-07,314.7067408,2.097458291e+25,1.111105922e+19,11935857550.0,-3.7787199099999995e-08,0.9320024211026996,-0.7882607000000235,0.9974981223857784,-8.287250040000001e+24,0.6634486744992965,-6.636139000000102e+16,0.9940436612101582,-1274772570.0,0.8981584154338129,-1.731547689999998e-08,0.968841021967883,-0.3609090000000492,0.9988545031512148,-3.6494474e+24,0.8517932542294698,-3.024626e+16,0.9972852140124606,-581353130.0,0.9535556966434314
10us,1e-05,1e-05,3.862836529e-07,322.3700538,1.22761284e+25,1.012707896e+19,8380727068.0,1e-05,3.468834118e-07,320.3222435,7.362286598e+24,1.003384287e+19,7214611458.0,1e-05,3.68613976e-07,321.4586466,1.001061792e+25,1.008635943e+19,7883423717.0,-3.940024109999999e-08,0.8980017901244197,-2.0478102999999805,0.993647641039045,-4.913841802e+24,0.5997238183008904,-9.323608999999898e+16,0.9907933876719769,-1166115610.0,0.8608574649265741,-1.7669676899999997e-08,0.9542572491293742,-0.9114071999999851,0.9971727919846878,-2.2655104799999994e+24,0.8154539928076999,-4.071952999999898e+16,0.995979143624649,-497303351.0,0.9406610730829255
100us,0.0001,0.0001,2.190005015e-07,378.6807832,4.917798909e+24,8.554309989e+18,4534864283.0,0.0001,1.879617013e-07,368.8682377,2.557551283e+24,8.540952462e+18,3664786035.0,0.0001,2.040481659e-07,374.1166569,3.838460013e+24,8.541664467e+18,4141426706.0,-3.10388002e-08,0.8582706432752164,-9.812545499999999,0.9740875535930813,-2.3602476259999994e+24,0.5200601590926093,-1.3357526999999488e+16,0.9984385032787945,-870078248.0,0.8081357690765538,-1.4952335600000008e-08,0.9317246513245998,-4.564126299999998,0.9879472988794642,-1.0793388959999998e+24,0.7805239872609033,-1.2645521999998976e+16,0.9985217367600356,-393437577.0,0.9132415983263507
