case,vth_cc_at_1e-9_A_per_um_V,sample_gate_voltage_V,abs_drain_current_A_per_um
"RUN052, WF=5.23 eV",0.3477828831930998,0.0,1.383977626e-13
"RUN052, WF=5.23 eV",0.3477828831930998,0.9,1.622907153e-07
"RUN052, WF=5.23 eV",0.3477828831930998,1.2,4.194671029e-07
"RUN052, WF=5.23 eV",0.3477828831930998,3.0,4.366691441e-06
"RUN052, WF=5.23 eV",0.3477828831930998,10.0,9.525062393e-06
"RUN053, WF=5.78 eV",0.9089206962575487,0.0,1.866573402e-17
"RUN053, WF=5.78 eV",0.9089206962575487,0.9,6.410826462e-10
"RUN053, WF=5.78 eV",0.9089206962575487,1.2,4.259053795e-08
"RUN053, WF=5.78 eV",0.9089206962575487,3.0,2.953323979e-06
"RUN053, WF=5.78 eV",0.9089206962575487,10.0,9.493693959e-06
