state,quantity,value,unit,x_um,y_um,trust
V2700,Emax,3425750.0,V/cm,11.0,-0.42,converged
V2700,ImpactMax,2.39579e+16,cm^-3 s^-1,26.2422,0.0,converged
V2700,Tmax,300.0,K,31.0,5.35,converged
V2700,JouleMax,18.3008,W/cm^3,26.0469,0.0,converged
V2700,Jmax,6.79743e-06,A/cm^2,25.8516,0.0,converged
Vlast,Emax,3438020.0,V/cm,11.0,-0.42,failed-solve snapshot; provenance only
Vlast,ImpactMax,3.71855e+16,cm^-3 s^-1,26.2422,0.0,failed-solve snapshot; provenance only
Vlast,Tmax,300.0,K,31.0,5.35,failed-solve snapshot; provenance only
Vlast,JouleMax,0.0,W/cm^3,31.0,5.35,failed-solve snapshot; provenance only
Vlast,Jmax,1.37824e-05,A/cm^2,27.4141,0.05625,failed-solve snapshot; provenance only
