metric,value,unit
ssf_points,314,count
last_converged_Vd_internal,2707.192902,V
last_converged_abs_Id,2.920164569e-15,A/um
last_converged_abs_Id,2.920164569e-09,mA/mm
Tmax_over_converged_points,300.0000036,K
Tmin_over_converged_points,300.0,K
converged_temperature_at_or_below_120p1K,False,boolean
bias_cutback_messages,26,count
cannot_trap_messages,2,count
atlas_finished_messages,1,count
first_1_mA_per_mm_crossing,,V
first_5_mA_per_mm_crossing,,V
first_16_mA_per_mm_crossing,,V
nearest_to_2400V_actual_Vd,2400.0,V
nearest_to_2400V_abs_Id,2.988573846e-15,A/um
nearest_to_2400V_Tmax,300.0,K
nearest_to_2400V_Tmin,300.0,K
nearest_to_2600V_actual_Vd,2600.0,V
nearest_to_2600V_abs_Id,3.191985152e-15,A/um
nearest_to_2600V_Tmax,300.0000004,K
nearest_to_2600V_Tmin,300.0000003,K
nearest_to_2700V_actual_Vd,2700.0,V
nearest_to_2700V_abs_Id,1.418076612e-14,A/um
nearest_to_2700V_Tmax,300.0000021,K
nearest_to_2700V_Tmin,300.000002,K
nearest_to_2720V_actual_Vd,2707.192902,V
nearest_to_2720V_abs_Id,2.920164569e-15,A/um
nearest_to_2720V_Tmax,300.0000036,K
nearest_to_2720V_Tmin,300.0000035,K
probe_order,Field_GateRight|Field_FP_End|Field_DrainEdge|ImpactMax|Tmax|Tmin|JouleMax|HeatMax|Tsource|Tdrain|Tbottom,SSF header
