"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
-0.42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2702.3, 0, 0, 2058.59, 0, 0, 0, 0, 0, 0, 0, 0, -2051.72, -168.092, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2702.3, 0, 0, 2209.97, 0, 0, 0, 0, 0, 0, 0, 0, -2180.53, -359.527, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2702.3, 0, 0, 2220.24, 0, 0, 0, 0, 0, 0, 0, 0, -2095.02, -735.081, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2702.31, 0, 0, 2239.5, 0, 0, 0, 0, 0, 0, 0, 0, -1955.34, -1091.79, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2702.31, 0, 0, 2271.38, 0, 0, 0, 0, 0, 0, 0, 0, -1770.09, -1423.36, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2702.32, 0, 0, 2323.39, 0, 0, 0, 0, 0, 0, 0, 0, -1551.61, -1729.35, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2702.33, 0, 0, 2410.6, 0, 0, 0, 0, 0, 0, 0, 0, -1315.84, -2019.79, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2702.34, 0, 0, 2563.23, 0, 0, 0, 0, 0, 0, 0, 0, -1082.05, -2323.65, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2702.36, 0, 0, 2838.79, 0, 0, 0, 0, 0, 0, 0, 0, -1286.92, -2530.33, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2702.36, 0, 0, 838.519, 0, 0, 0, 0, 0, 0, 0, 0, -717.227, -434.396, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.015, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2702.36, 0, 0, 1141.19, 0, 0, 0, 0, 0, 0, 0, 0, -1044.83, -458.968, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2702.36, 0, 0, 1158.54, 0, 0, 0, 0, 0, 0, 0, 0, -1045.09, -500.009, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2702.36, 0, 0, 1178.74, 0, 0, 0, 0, 0, 0, 0, 0, -1046.89, -541.7, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8.80643e-15, -8.80643e-15, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-3.55271e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2702.36, 0, 0, 1493.61, 0, 0, 0, 0, 0, 0, 0, 0, -1402.33, -514.138, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.00968255, -0.00968255, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-3.55271e-15, 0, 0, 1.005e+19, 0, 8.94266e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2702.36, 12.1073, 0.0128089, 13773.2, 0, 2.84482e+18, -2.48399e-34, 5.99043e-07, -2700, -2700, 1.005e+19, -4.16074e-26, -706.37, 13755.1, 300, 12.1235, 12.1073, 0.0129082, 0.0128089, 1.005e+19, 7.70131e-38, 5.99043e-07, 0.147895, 5.99043e-07, -1.55998e-07, 7.50982e-38, -1.55998e-07, -5.78374e-07, -1.70668e-38, -5.78374e-07, 1.2e-08, 1.2e-08, -0.00968255, -0.00968255, 0, 0.27, 3.332, 0, -1.55998e-07, -5.78374e-07, 0, 4.70293e+17, 0, 0, 0, 0
0.01875, 0, 0, 1.005e+19, 0, 8.94266e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2702.33, 12.1073, 0.0128089, 4729.82, 0, 1.22133e+18, 1.31097e-21, 2.06164e-07, -2700, -2702.34, 1.005e+19, 2.19589e-13, -372.291, 4715.14, 300, 12.1235, 12.1073, 0.0129082, 0.0128089, 1.005e+19, 1.62734e-37, 2.06164e-07, 0.232904, 2.06164e-07, -1.56019e-07, 1.62077e-37, -1.56019e-07, -1.34765e-07, -1.46169e-38, -1.34765e-07, 1.2e-08, 1.2e-08, -0.00496916, -0.00496916, 0, 0.27, 3.332, 0, -1.56019e-07, -1.34765e-07, 0, 1.18078e+18, 0, 0, 0, 0
0.0375, 0, 0, 1.005e+19, 0, 8.94266e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2702.33, 12.1073, 0.0128089, 89.4817, 0, 1.20108e+18, 1.6073e-21, 4.34759e-07, -2700, -2702.35, 1.005e+19, 2.69181e-13, -15.8266, 88.071, 300, 12.1235, 12.1073, 0.0129082, 0.0128089, 1.005e+19, 1.60695e-37, 4.34759e-07, 0.275634, 4.34759e-07, -1.73617e-07, 1.60625e-37, -1.73617e-07, 3.98588e-07, -4.74026e-39, 3.98588e-07, 1.2e-08, 1.2e-08, 6.31007e-05, 6.31007e-05, 0, 0.27, 3.332, 0, -1.73617e-07, 3.98588e-07, 0, 1.20033e+18, 0, 0, 0, 0
0.05625, 0, 0, 1.005e+19, 0, 8.94266e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2702.33, 12.1073, 0.0128089, 9.31902, 0, 1.2007e+18, 1.67377e-21, 2.27561e-07, -2700, -2702.35, 1.005e+19, 2.80312e-13, -9.17259, 1.64552, 300, 12.1235, 12.1073, 0.0129082, 0.0128089, 1.005e+19, 1.55966e-37, 2.27561e-07, 0.296335, 2.27561e-07, -1.40745e-07, 1.55965e-37, -1.40745e-07, 1.78815e-07, -5.63826e-40, 1.78815e-07, 1.2e-08, 1.2e-08, 2.8953e-06, 2.8953e-06, 0, 0.27, 3.332, 0, -1.40745e-07, 1.78815e-07, 0, 1.2007e+18, 0, 0, 0, 0
0.075, 0, 0, 1.005e+19, 0, 8.94266e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2702.33, 12.1073, 0.0128089, 9.04839, 0, 1.2007e+18, 1.64773e-21, 1.7946e-07, -2700, -2702.35, 1.005e+19, 2.75952e-13, -9.04834, 0.0308571, 300, 12.1235, 12.1073, 0.0129082, 0.0128089, 1.005e+19, 1.49479e-37, 1.7946e-07, 0.324174, 1.7946e-07, -1.66575e-07, 1.49473e-37, -1.66575e-07, 6.67715e-08, 1.40819e-39, 6.67715e-08, 1.2e-08, 1.2e-08, 2.17335e-06, 2.17335e-06, 0, 0.27, 3.332, 0, -1.66575e-07, 6.67715e-08, 0, 1.20071e+18, 0, 0, 0, 0
0.09375, 0, 0, 1.005e+19, 0, 8.94266e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2702.33, 12.1073, 0.0128089, 9.04602, 0, 1.2007e+18, 1.57424e-21, 2.21393e-07, -2700, -2702.35, 1.005e+19, 2.63645e-13, -9.04602, 0.00656184, 300, 12.1235, 12.1073, 0.0129082, 0.0128089, 1.005e+19, 1.41206e-37, 2.21393e-07, 0.334713, 2.21393e-07, -1.50331e-07, 1.41184e-37, -1.50331e-07, 1.62527e-07, 2.47791e-39, 1.62527e-07, 1.2e-08, 1.2e-08, 1.98035e-06, 1.98035e-06, 0, 0.27, 3.332, 0, -1.50331e-07, 1.62527e-07, 0, 1.20071e+18, 0, 0, 0, 0
0.1125, 0, 0, 1.005e+19, 0, 8.94266e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2702.33, 12.1073, 0.0128089, 9.05167, 0, 1.2007e+18, 1.47259e-21, 3.43995e-07, -2700, -2702.34, 1.005e+19, 2.4662e-13, -9.046, 0.320377, 300, 12.1235, 12.1073, 0.0129082, 0.0128089, 1.005e+19, 1.31306e-37, 3.43995e-07, 0.329976, 3.43995e-07, -1.68798e-07, 1.31269e-37, -1.68798e-07, 2.99733e-07, 3.12952e-39, 2.99733e-07, 1.2e-08, 1.2e-08, 2.20607e-06, 2.20607e-06, 0, 0.27, 3.332, 0, -1.68798e-07, 2.99733e-07, 0, 1.20071e+18, 0, 0, 0, 0
0.13125, 0, 0, 1.005e+19, 0, 8.94266e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2702.33, 12.1073, 0.0128089, 19.3827, 0, 1.20065e+18, 1.35311e-21, 1.61426e-07, -2700, -2702.34, 1.005e+19, 2.2661e-13, -9.04675, 17.142, 300, 12.1235, 12.1073, 0.0129082, 0.0128089, 1.005e+19, 1.20115e-37, 1.61426e-07, 0.326437, 1.61426e-07, -1.44749e-07, 1.20063e-37, -1.44749e-07, 7.14556e-08, 3.53223e-39, 7.14556e-08, 1.2e-08, 1.2e-08, -2.50844e-06, -2.50844e-06, 0, 0.27, 3.332, 0, -1.44749e-07, 7.14556e-08, 0, 1.20075e+18, 0, 0, 0, 0
0.15, 0, 0, 1.005e+19, 0, 8.94266e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2702.33, 12.112, 0.0128374, 35.9192, 0, 1.19802e+18, 1.22642e-21, 1.46319e-07, -2700, -2702.34, 1.005e+19, 2.0539e-13, -12.0864, 33.8247, 300, 12.1329, 12.112, 0.0129661, 0.0128374, 1.005e+19, 1.08877e-37, 1.46319e-07, 0.347498, 1.46319e-07, -1.40773e-07, 1.08809e-37, -1.40773e-07, -3.99033e-08, 3.85588e-39, -3.99033e-08, 1.2e-08, 1.2e-08, -1.69337e-06, -1.69337e-06, 0, 0.27, 3.332, 0, -1.40773e-07, -3.99033e-08, 0, 1.19795e+18, 0, 0, 0, 0
0.15, 0, 0, 1.0005e+19, 0, 8.94266e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2702.33, 12.112, 0.0128374, 7.30345, 0, 1.19802e+18, 1.22642e-21, 1.46319e-07, -2700, -2702.34, 1.0005e+19, 2.0539e-13, -6.06023, 4.07603, 300, 12.1329, 12.112, 0.0129661, 0.0128374, 1.0005e+19, 1.08877e-37, 1.46319e-07, 0.347498, 1.46319e-07, -1.40773e-07, 1.08809e-37, -1.40773e-07, -3.99033e-08, 3.85588e-39, -3.99033e-08, 1.2e-08, 1.2e-08, -1.69337e-06, -1.69337e-06, 0, 0.27, 3.332, 0, -1.40773e-07, -3.99033e-08, 0, 1.19795e+18, 0, 0, 0, 0
0.175, 0, 0, 9.99875e+18, 0, 8.94266e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2702.33, 12.1173, 0.0128699, 11.7757, 0, 1.19759e+18, 1.03991e-21, 1.50768e-07, -2700, -2702.34, 9.99875e+18, 1.74154e-13, -9.08707, 7.48952, 300, 12.1342, 12.1173, 0.0129742, 0.0128699, 9.99875e+18, 9.17445e-38, 1.50768e-07, 0.313908, 1.50768e-07, -1.22239e-07, 9.16567e-38, -1.22239e-07, 8.82534e-08, 4.01278e-39, 8.82534e-08, 1.2e-08, 1.2e-08, 2.14402e-06, 2.14402e-06, 0, 0.27, 3.332, 0, -1.22239e-07, 8.82534e-08, 0, 1.19762e+18, 0, 0, 0, 0
0.2, 0, 0, 9.98003e+18, 0, 8.94266e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2702.33, 12.1199, 0.0128858, 17.1371, 0, 1.19646e+18, 8.51716e-22, 1.60133e-07, -2700, -2702.33, 9.98003e+18, 1.42636e-13, -9.08752, 14.5292, 300, 12.1382, 12.1199, 0.0129982, 0.0128858, 9.98003e+18, 7.46814e-38, 1.60133e-07, 0.31102, 1.60133e-07, -1.46708e-07, 7.45762e-38, -1.46708e-07, 6.41829e-08, 3.961e-39, 6.41829e-08, 1.2e-08, 1.2e-08, 2.60184e-06, 2.60184e-06, 0, 0.27, 3.332, 0, -1.46708e-07, 6.41829e-08, 0, 1.19648e+18, 0, 0, 0, 0
0.225, 0, 0, 9.94891e+18, 0, 8.94266e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2702.33, 12.1251, 0.0129177, 23.6098, 0, 1.19457e+18, 6.71628e-22, 2.05316e-07, -2700, -2702.32, 9.94891e+18, 1.12475e-13, -9.08772, 21.7908, 300, 12.1447, 12.1251, 0.0130385, 0.0129177, 9.94891e+18, 5.85641e-38, 2.05316e-07, 0.304658, 2.05316e-07, -1.05992e-07, 5.84441e-38, -1.05992e-07, 1.75842e-07, 3.74715e-39, 1.75842e-07, 1.2e-08, 1.2e-08, 5.68851e-06, 5.68851e-06, 0, 0.27, 3.332, 0, -1.05992e-07, 1.75842e-07, 0, 1.1946e+18, 0, 0, 0, 0
0.25, 0, 0, 9.9055e+18, 0, 8.94266e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2702.33, 12.1329, 0.0129658, 30.4491, 0, 1.19194e+18, 5.04958e-22, 1.16653e-07, -2700, -2702.32, 9.9055e+18, 8.45614e-14, -9.08801, 29.0613, 300, 12.1539, 12.1329, 0.0130951, 0.0129658, 9.9055e+18, 4.38485e-38, 1.16653e-07, 0.278362, 1.16653e-07, -1.09736e-07, 4.37117e-38, -1.09736e-07, 3.9573e-08, 3.46197e-39, 3.9573e-08, 1.2e-08, 1.2e-08, 1.29798e-06, 1.29798e-06, 0, 0.27, 3.332, 0, -1.09736e-07, 3.9573e-08, 0, 1.19196e+18, 0, 0, 0, 0
0.275, 0, 0, 9.84996e+18, 0, 8.94266e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2702.33, 12.1434, 0.0130301, 37.9868, 0, 1.18855e+18, 3.52873e-22, 1.44154e-07, -2700, -2702.31, 9.84996e+18, 5.90913e-14, -9.08842, 36.8836, 300, 12.1658, 12.1434, 0.0131681, 0.0130301, 9.84996e+18, 3.06017e-38, 1.44154e-07, 0.287616, 1.44154e-07, -1.35984e-07, 3.04355e-38, -1.35984e-07, -4.78404e-08, 3.18449e-39, -4.78404e-08, 1.2e-08, 1.2e-08, 5.66069e-07, 5.66069e-07, 0, 0.27, 3.332, 0, -1.35984e-07, -4.78404e-08, 0, 1.18858e+18, 0, 0, 0, 0
0.3, 0, 0, 9.78251e+18, 0, 8.94266e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2702.33, 12.1565, 0.013111, 96.0023, 0, 1.18431e+18, 2.13291e-22, 1.72787e-07, -2700, -2702.29, 9.78251e+18, 3.5716e-14, -9.0907, 95.5709, 300, 12.1805, 12.1565, 0.013258, 0.013111, 9.78251e+18, 1.86056e-38, 1.72787e-07, 0.272308, 1.72787e-07, -1.25004e-07, 1.83667e-38, -1.25004e-07, 1.19287e-07, 2.97202e-39, 1.19287e-07, 1.2e-08, 1.2e-08, 1.32841e-05, 1.32841e-05, 0, 0.27, 3.332, 0, -1.25004e-07, 1.19287e-07, 0, 1.18457e+18, 0, 0, 0, 0
0.325, 0, 0, 9.70339e+18, 0, 8.94266e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2702.33, 12.1724, 0.0132086, 4830.33, 0, 1.16894e+18, 8.34963e-23, 1.6405e-07, -2700, -2702.27, 9.70339e+18, 1.39799e-14, -9.19997, 4830.32, 300, 12.1979, 12.1724, 0.013365, 0.0132086, 9.70339e+18, 7.73153e-39, 1.6405e-07, 0.258142, 1.6405e-07, -1.1177e-07, 7.18576e-39, -1.1177e-07, 1.20083e-07, 2.85332e-39, 1.20083e-07, 1.2e-08, 1.2e-08, 0.000558781, 0.000558781, 0, 0.27, 3.332, 0, -1.1177e-07, 1.20083e-07, 0, 1.19006e+18, 0, 0, -1.34102e-11, -1.34102e-11
