"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
-7.10543e-15, 0, 0, 5e+15, 0, 8.94266e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.06938, 115.366, 1.2381, 36591.5, 0, 5.19378e+13, 1.96751e-10, 2.74506e-11, -2.37695e-13, -2.74456, 5e+15, 0.0327919, 3.15369, 36591.5, 300, 115.366, 115.366, 1.2381, 1.2381, 5e+15, 7.15354e-27, 2.74506e-11, 0.170151, 2.74506e-11, 1.21057e-12, -6.85467e-27, 1.21057e-12, -2.74239e-11, -2.0461e-27, -2.74239e-11, 1.2e-08, 1.2e-08, -9.93637e-07, -9.93637e-07, 0, 0.27, 3.332, 0, 1.21057e-12, -2.74239e-11, 0, 4.99858e+15, 0, 0, 0, 0
0.125, 0, 0, 5e+15, 0, 8.94266e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.06935, 115.366, 1.2381, 36228.2, 0, 5.18729e+13, 2.13716e-10, 2.722e-11, -2.37511e-13, -2.74666, 5e+15, 0.0356194, -0.584884, 36228.2, 300, 115.366, 115.366, 1.2381, 1.2381, 5e+15, 1.16166e-26, 2.722e-11, 0.170162, 2.722e-11, 2.38556e-12, -1.1256e-26, 2.38556e-12, -2.71153e-11, -2.87176e-27, -2.71153e-11, 1.2e-08, 1.2e-08, -9.82639e-07, -9.82639e-07, 0, 0.27, 3.332, 0, 2.38556e-12, -2.71153e-11, 0, 4.99858e+15, 0, 0, 0, 0
0.25, 0, 0, 5e+15, 0, 8.94266e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.06938, 115.366, 1.2381, 36225.3, 0, 5.19417e+13, 2.51573e-10, 2.7937e-11, -2.37649e-13, -2.75091, 5e+15, 0.0419289, 0.286261, 36225.3, 300, 115.366, 115.366, 1.2381, 1.2381, 5e+15, 2.01406e-26, 2.7937e-11, 0.170175, 2.7937e-11, 4.77348e-12, -1.98164e-26, 4.77348e-12, -2.75261e-11, -3.59939e-27, -2.75261e-11, 1.2e-08, 1.2e-08, -9.9715e-07, -9.9715e-07, 0, 0.27, 3.332, 0, 4.77348e-12, -2.75261e-11, 0, 4.99858e+15, 0, 0, 0, 0
0.375, 0, 0, 5e+15, 0, 8.94266e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.06935, 115.366, 1.2381, 36227.2, 0, 5.18831e+13, 3.10331e-10, 2.83295e-11, -2.37465e-13, -2.75631, 5e+15, 0.0517218, -0.837295, 36227.2, 300, 115.366, 115.366, 1.2381, 1.2381, 5e+15, 2.88073e-26, 2.83295e-11, 0.170187, 2.83295e-11, 7.17692e-12, -2.84406e-26, 7.17692e-12, -2.74053e-11, -4.58189e-27, -2.74053e-11, 1.2e-08, 1.2e-08, -9.932e-07, -9.932e-07, 0, 0.27, 3.332, 0, 7.17692e-12, -2.74053e-11, 0, 4.99858e+15, 0, 0, 0, 0
0.5, 0, 0, 5e+15, 0, 8.94266e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.06939, 115.366, 1.2381, 36223.9, 0, 5.19582e+13, 3.90033e-10, 2.95996e-11, -2.37603e-13, -2.76226, 5e+15, 0.0650054, 0.0923292, 36223.9, 300, 115.366, 115.366, 1.2381, 1.2381, 5e+15, 3.92011e-26, 2.95996e-11, 0.170196, 2.95996e-11, 9.60262e-12, -3.87841e-26, 9.60262e-12, -2.79987e-11, -5.70266e-27, -2.79987e-11, 1.2e-08, 1.2e-08, -1.0144e-06, -1.0144e-06, 0, 0.27, 3.332, 0, 9.60262e-12, -2.79987e-11, 0, 4.99858e+15, 0, 0, 0, 0
0.625, 0, 0, 5e+15, 0, 8.94266e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.06936, 115.366, 1.2381, 36225.4, 0, 5.19034e+13, 4.99367e-10, 3.04858e-11, -2.37235e-13, -2.76862, 5e+15, 0.0832277, -0.991574, 36225.4, 300, 115.366, 115.366, 1.2381, 1.2381, 5e+15, 5.05097e-26, 3.04858e-11, 0.170204, 3.04858e-11, 1.20556e-11, -4.99056e-26, 1.20556e-11, -2.80008e-11, -7.78835e-27, -2.80008e-11, 1.2e-08, 1.2e-08, -1.01468e-06, -1.01468e-06, 0, 0.27, 3.332, 0, 1.20556e-11, -2.80008e-11, 0, 4.99858e+15, 0, 0, 0, 0
0.75, 0, 0, 5e+15, 0, 8.94266e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.0694, 115.366, 1.2381, 36221.7, 0, 5.19825e+13, 6.32931e-10, 3.21437e-11, -2.37327e-13, -2.77479, 5e+15, 0.105489, -0.123792, 36221.7, 300, 115.366, 115.366, 1.2381, 1.2381, 5e+15, 6.02386e-26, 3.21437e-11, 0.17021, 3.21437e-11, 1.45391e-11, -5.93345e-26, 1.45391e-11, -2.86676e-11, -1.03973e-26, -2.86676e-11, 1.2e-08, 1.2e-08, -1.03872e-06, -1.03872e-06, 0, 0.27, 3.332, 0, 1.45391e-11, -2.86676e-11, 0, 4.99858e+15, 0, 0, 0, 0
0.875, 0, 0, 5e+15, 0, 8.94266e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.06938, 115.366, 1.2381, 36222.7, 0, 5.19342e+13, 7.88423e-10, 3.3539e-11, -2.3696e-13, -2.78044, 5e+15, 0.131404, -1.25284, 36222.7, 300, 115.366, 115.366, 1.2381, 1.2381, 5e+15, 7.07415e-26, 3.3539e-11, 0.170214, 3.3539e-11, 1.70686e-11, -6.95791e-26, 1.70686e-11, -2.88708e-11, -1.27715e-26, -2.88708e-11, 1.2e-08, 1.2e-08, -1.04615e-06, -1.04615e-06, 0, 0.27, 3.332, 0, 1.70686e-11, -2.88708e-11, 0, 4.99858e+15, 0, 0, 0, 0
1, 0, 0, 5e+15, 0, 8.94266e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.06942, 115.366, 1.2381, 36218.4, 0, 5.20198e+13, 9.71342e-10, 3.56666e-11, -2.36868e-13, -2.78588, 5e+15, 0.16189, -0.32704, 36218.4, 300, 115.366, 115.366, 1.2381, 1.2381, 5e+15, 8.21578e-26, 3.56666e-11, 0.170216, 3.56666e-11, 1.9651e-11, -8.05277e-26, 1.9651e-11, -2.97649e-11, -1.62847e-26, -2.97649e-11, 1.2e-08, 1.2e-08, -1.0783e-06, -1.0783e-06, 0, 0.27, 3.332, 0, 1.9651e-11, -2.97649e-11, 0, 4.99858e+15, 0, 0, 0, 0
1.125, 0, 0, 5e+15, 0, 8.94266e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.0694, 115.366, 1.2381, 36219, 0, 5.19756e+13, 1.18046e-09, 3.74388e-11, -2.36501e-13, -2.7909, 5e+15, 0.196744, -1.41893, 36219, 300, 115.366, 115.366, 1.2381, 1.2381, 5e+15, 9.49043e-26, 3.74388e-11, 0.170216, 3.74388e-11, 2.22901e-11, -9.28867e-26, 2.22901e-11, -3.00801e-11, -1.94652e-26, -3.00801e-11, 1.2e-08, 1.2e-08, -1.08977e-06, -1.08977e-06, 0, 0.27, 3.332, 0, 2.22901e-11, -3.00801e-11, 0, 4.99858e+15, 0, 0, 0, 0
