"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
-7.10543e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35836, 0, 0, 0.131566, 0, 0, 0, 0, 0, 0, 0, 0, 0.120252, -0.052788, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0025, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35836, 0, 0, 0.133742, 0, 0, 0, 0, 0, 0, 0, 0, 0.122897, -0.0527488, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35836, 0, 0, 0.305519, 0, 0, 0, 0, 0, 0, 0, 0, 0.299084, -0.0616388, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1275, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35836, 0, 0, 0.311643, 0, 0, 0, 0, 0, 0, 0, 0, 0.305275, -0.0625031, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35835, 0, 0, 0.636012, 0, 0, 0, 0, 0, 0, 0, 0, 0.630003, -0.086361, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.2525, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35835, 0, 0, 0.64497, 0, 0, 0, 0, 0, 0, 0, 0, 0.638837, -0.0879776, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35834, 0, 0, 1.11782, 0, 0, 0, 0, 0, 0, 0, 0, 1.10992, -0.131506, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.3775, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35834, 0, 0, 1.13166, 0, 0, 0, 0, 0, 0, 0, 0, 1.12348, -0.134257, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35833, 0, 0, 1.86414, 0, 0, 0, 0, 0, 0, 0, 0, 1.85232, -0.207746, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.5025, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35833, 0, 0, 1.88612, 0, 0, 0, 0, 0, 0, 0, 0, 1.87382, -0.212282, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
