"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
-7.10543e-15, 0, 0, 5e+15, 0, 8.94267e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.06937, 115.366, 1.2381, 36594.2, 0, 5.19079e+13, 1.74379e-10, 2.76241e-11, -1.09139e-12, -2.74146, 5e+15, 0.0290632, 3.15418, 36594.2, 300, 115.366, 115.366, 1.2381, 1.2381, 5e+15, 6.42248e-27, 2.76241e-11, 0.443208, 2.76241e-11, 1.27061e-12, -6.16688e-27, 1.27061e-12, -2.75949e-11, -1.79384e-27, -2.75949e-11, 1.2e-08, 1.2e-08, 0, 0, 0, 0.27, 3.332, 0, 1.27061e-12, -2.75949e-11, 0, 4.99858e+15, 0, 0, 0, 0
0.125, 0, 0, 5e+15, 0, 8.94267e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.06933, 115.366, 1.2381, 36230.8, 0, 5.1843e+13, 1.89639e-10, 2.74086e-11, -1.09222e-12, -2.7436, 5e+15, 0.0316065, -0.581291, 36230.8, 300, 115.366, 115.366, 1.2381, 1.2381, 5e+15, 1.04487e-26, 2.74086e-11, 0.443209, 2.74086e-11, 2.51289e-12, -1.01367e-26, 2.51289e-12, -2.72932e-11, -2.53444e-27, -2.72932e-11, 1.2e-08, 1.2e-08, 0, 0, 0, 0.27, 3.332, 0, 2.51289e-12, -2.72932e-11, 0, 4.99858e+15, 0, 0, 0, 0
0.25, 0, 0, 5e+15, 0, 8.94267e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.06937, 115.366, 1.2381, 36228, 0, 5.19116e+13, 2.2375e-10, 2.81233e-11, -1.10177e-12, -2.74791, 5e+15, 0.0372917, 0.293976, 36228, 300, 115.366, 115.366, 1.2381, 1.2381, 5e+15, 1.82039e-26, 2.81233e-11, 0.443213, 2.81233e-11, 5.02865e-12, -1.79248e-26, 5.02865e-12, -2.76701e-11, -3.17575e-27, -2.76701e-11, 1.2e-08, 1.2e-08, 0, 0, 0, 0.27, 3.332, 0, 5.02865e-12, -2.76701e-11, 0, 4.99858e+15, 0, 0, 0, 0
0.375, 0, 0, 5e+15, 0, 8.94267e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.06934, 115.366, 1.2381, 36229.9, 0, 5.18528e+13, 2.77033e-10, 2.86317e-11, -1.11647e-12, -2.7534, 5e+15, 0.0461722, -0.825047, 36229.9, 300, 115.366, 115.366, 1.2381, 1.2381, 5e+15, 2.61689e-26, 2.86317e-11, 0.443218, 2.86317e-11, 7.55428e-12, -2.58514e-26, 7.55428e-12, -2.76172e-11, -4.06408e-27, -2.76172e-11, 1.2e-08, 1.2e-08, 0, 0, 0, 0.27, 3.332, 0, 7.55428e-12, -2.76172e-11, 0, 4.99858e+15, 0, 0, 0, 0
0.5, 0, 0, 5e+15, 0, 8.94267e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.06938, 115.366, 1.2381, 36226.6, 0, 5.19275e+13, 3.49609e-10, 2.99303e-11, -1.13998e-12, -2.75945, 5e+15, 0.0582682, 0.107215, 36226.6, 300, 115.366, 115.366, 1.2381, 1.2381, 5e+15, 3.58513e-26, 2.99303e-11, 0.443222, 2.99303e-11, 1.01022e-11, -3.54932e-26, 1.01022e-11, -2.81739e-11, -5.05507e-27, -2.81739e-11, 1.2e-08, 1.2e-08, 0, 0, 0, 0.27, 3.332, 0, 1.01022e-11, -2.81739e-11, 0, 4.99858e+15, 0, 0, 0, 0
0.625, 0, 0, 5e+15, 0, 8.94267e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.06935, 115.366, 1.2381, 36228.2, 0, 5.18723e+13, 4.50037e-10, 3.09139e-11, -1.16501e-12, -2.76595, 5e+15, 0.0750061, -0.973134, 36228.2, 300, 115.366, 115.366, 1.2381, 1.2381, 5e+15, 4.64447e-26, 3.09139e-11, 0.443227, 3.09139e-11, 1.26698e-11, -4.59167e-26, 1.26698e-11, -2.81984e-11, -6.98363e-27, -2.81984e-11, 1.2e-08, 1.2e-08, 0, 0, 0, 0.27, 3.332, 0, 1.26698e-11, -2.81984e-11, 0, 4.99858e+15, 0, 0, 0, 0
0.75, 0, 0, 5e+15, 0, 8.94267e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.06939, 115.366, 1.2381, 36224.5, 0, 5.19508e+13, 5.73106e-10, 3.26661e-11, -1.19945e-12, -2.77224, 5e+15, 0.0955176, -0.101127, 36224.5, 300, 115.366, 115.366, 1.2381, 1.2381, 5e+15, 5.5664e-26, 3.26661e-11, 0.443232, 3.26661e-11, 1.52678e-11, -5.48722e-26, 1.52678e-11, -2.88786e-11, -9.35546e-27, -2.88786e-11, 1.2e-08, 1.2e-08, 0, 0, 0, 0.27, 3.332, 0, 1.52678e-11, -2.88786e-11, 0, 4.99858e+15, 0, 0, 0, 0
0.875, 0, 0, 5e+15, 0, 8.94267e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.06936, 115.366, 1.2381, 36225.6, 0, 5.19019e+13, 7.17375e-10, 3.41911e-11, -1.23977e-12, -2.77801, 5e+15, 0.119562, -1.22541, 36225.6, 300, 115.366, 115.366, 1.2381, 1.2381, 5e+15, 6.56874e-26, 3.41911e-11, 0.443237, 3.41911e-11, 1.79029e-11, -6.46593e-26, 1.79029e-11, -2.91293e-11, -1.15758e-26, -2.91293e-11, 1.2e-08, 1.2e-08, 0, 0, 0, 0.27, 3.332, 0, 1.79029e-11, -2.91293e-11, 0, 4.99858e+15, 0, 0, 0, 0
1, 0, 0, 5e+15, 0, 8.94267e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.06941, 115.366, 1.2381, 36221.4, 0, 5.19868e+13, 8.87618e-10, 3.64173e-11, -1.29065e-12, -2.78356, 5e+15, 0.147936, -0.296654, 36221.4, 300, 115.366, 115.366, 1.2381, 1.2381, 5e+15, 7.66792e-26, 3.64173e-11, 0.443242, 3.64173e-11, 2.05827e-11, -7.52378e-26, 2.05827e-11, -3.00429e-11, -1.47977e-26, -3.00429e-11, 1.2e-08, 1.2e-08, 0, 0, 0, 0.27, 3.332, 0, 2.05827e-11, -3.00429e-11, 0, 4.99858e+15, 0, 0, 0, 0
1.125, 0, 0, 5e+15, 0, 8.94267e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.06938, 115.366, 1.2381, 36222, 0, 5.19418e+13, 1.0837e-09, 3.82867e-11, -1.34438e-12, -2.7887, 5e+15, 0.180617, -1.38449, 36222, 300, 115.366, 115.366, 1.2381, 1.2381, 5e+15, 8.89897e-26, 3.82867e-11, 0.443248, 3.82867e-11, 2.32983e-11, -8.71875e-26, 2.32983e-11, -3.03819e-11, -1.7819e-26, -3.03819e-11, 1.2e-08, 1.2e-08, 0, 0, 0, 0.27, 3.332, 0, 2.32983e-11, -3.03819e-11, 0, 4.99858e+15, 0, 0, 0, 0
