run,time,profile,field,peak_abs_or_value,x_um,y_um
RUN092,100ps,surface,electric field,1843806.87,9.0,
RUN092,100ps,surface,impact gen rate,6.83465034e+22,9.125,
RUN092,100ps,surface,hole conc,1.82846713e+19,11.0087891,
RUN092,100ps,surface,total current density,180345.717,13.184375,
RUN092,100ps,surface,joule heat power,153433719000.0,10.25,
RUN092,100ps,surface,lattice temperature,302.684786,10.7833333,
RUN094,100ps,surface,electric field,4982971.64,9.0,
RUN094,100ps,surface,impact gen rate,3.55380427e+28,9.125,
RUN094,100ps,surface,hole conc,2.09956488e+19,11.0048829,
RUN094,100ps,surface,total current density,782516.551,12.2458333,
RUN094,100ps,surface,joule heat power,1364478710000.0,14.921875,
RUN094,100ps,surface,lattice temperature,328.334062,15.03125,
RUN092,100ps,uid_sub,electric field,880404.518,9.125,
RUN092,100ps,uid_sub,impact gen rate,8.03938537e+18,9.75,
RUN092,100ps,uid_sub,hole conc,4.34905034e+18,11.0,
RUN092,100ps,uid_sub,total current density,42517.3685,11.0,
RUN092,100ps,uid_sub,joule heat power,3998150530.0,10.375,
RUN092,100ps,uid_sub,lattice temperature,300.216037,11.0175781,
RUN094,100ps,uid_sub,electric field,2179791.3,9.25,
RUN094,100ps,uid_sub,impact gen rate,1.20508536e+26,9.375,
RUN094,100ps,uid_sub,hole conc,3.86289515e+18,10.9980469,
RUN094,100ps,uid_sub,total current density,285954.788,11.0117188,
RUN094,100ps,uid_sub,joule heat power,102262087000.0,9.375,
RUN094,100ps,uid_sub,lattice temperature,300.633424,16.125,
RUN092,100ps,track,electric field,6937137.82,,-0.42
RUN092,100ps,track,impact gen rate,0.0,,-0.42
RUN092,100ps,track,hole conc,2.83405555e+19,,3.55271368e-15
RUN092,100ps,track,total current density,42932.9392,,0.4160938
RUN092,100ps,track,joule heat power,1350016170.0,,0.34375
RUN092,100ps,track,lattice temperature,300.688153,,0.009375
RUN094,100ps,track,electric field,405245.801,,-0.37
RUN094,100ps,track,impact gen rate,0.0,,-0.42
RUN094,100ps,track,hole conc,2.21921648e+19,,0.0
RUN094,100ps,track,total current density,248139.898,,0.35
RUN094,100ps,track,joule heat power,16281128500.0,,0.4349773
RUN094,100ps,track,lattice temperature,300.333419,,0.4821875
