RUN094_time_s,RUN094_Id,RUN094_ImpactMax,RUN094_HoleMax,RUN094_Tmax,RUN094_JouleMax,RUN092_nearest_time_s,RUN092_Id,RUN092_ImpactMax,RUN092_HoleMax,RUN092_Tmax,RUN092_JouleMax
2e-13,1.489119366e-13,1955215753000000.0,1.74395777e+18,300.0,164.0434916,2e-13,5.161851966e-14,235165535700000.0,39038192.05,300.0,151.4153207
6e-13,6.282528232e-13,2684441731000000.0,1.74395777e+18,300.0,2348.927353,6e-13,7.445444074e-14,2068278353000000.0,608718143.2,300.0,1676.603587
1.4e-12,2.629758217e-11,1.284597654e+17,1.74395777e+18,300.0,115087.3358,1.4e-12,1.129205301e-11,8.288973964e+16,35409330760.0,300.0,71824.69517
2e-12,3.13606423e-10,1.452304439e+18,1.74395777e+18,300.0000001,1303604.449,2e-12,1.343162848e-10,9.803375215e+17,400537026100.0,300.0000001,835719.2105
2.1e-12,4.667483928e-10,2.054349664e+18,1.74395777e+18,300.0000002,1841436.696,2.1e-12,1.98606671e-10,1.406903075e+18,566339919100.0,300.0000001,1187921.655
2.3e-12,1.006827292e-09,4.321087707e+18,1.74395777e+18,300.0000003,3856774.809,2.3e-12,4.279946812e-10,3.0696344e+18,1179247052000.0,300.0000002,2546136.125
2.7e-12,4.519524064e-09,2.067126961e+19,1.74395777e+18,300.0000015,18508797.09,2.7e-12,1.929992893e-09,1.416915701e+19,5554677734000.0,300.000001,12023861.77
3.5e-12,7.545780382e-08,4.101563809e+20,1.74395777e+18,300.0000372,363266602.5,3.5e-12,3.280350477e-08,2.400739649e+20,118009956300000.0,300.0000229,214098180.7
5.06628176921715e-12,7.720330169e-06,5.673297259e+22,1.743957759e+18,300.0075468,47557024200.0,5.1e-12,3.830912786e-06,2.460320532e+22,2.101421746e+16,300.0041876,24371976330.0
6e-12,5.583399126e-05,4.126877971e+23,1.743957776e+18,300.0597193,422854658200.0,6e-12,2.645561691e-05,1.444288887e+23,1.405243599e+17,300.0269023,166883081100.0
6.1e-12,6.394710766e-05,4.89451174e+23,1.743957792e+18,300.0731867,525062640700.0,6.1e-12,3.144103253e-05,1.686148112e+23,1.69888477e+17,300.0323833,199560437200.0
6.3e-12,9.021907993e-05,6.825002757e+23,1.743957867e+18,300.1113168,830884719900.0,6.3e-12,4.546630079e-05,2.361480227e+23,2.492605667e+17,300.0468015,284085084700.0
6.7e-12,0.000169423832,1.536207706e+24,1.743958457e+18,300.2715857,2105522122000.0,6.7e-12,9.02985769e-05,4.941440023e+23,5.381930238e+17,300.0950834,530523714200.0
7.5e-12,0.0003504399298,8.670081207e+24,1.743966036e+18,301.3241489,7777218479000.0,7.5e-12,0.0001162522483,8.600452268e+24,2.380387245e+18,300.2823533,1188228068000.0
7.86658883326768e-12,0.0002062120907,1.642212067e+25,2.689736093e+18,302.0730056,7140119833000.0,7.5e-12,0.0001162522483,8.600452268e+24,2.380387245e+18,300.2823533,1188228068000.0
8.23317766653535e-12,0.0002297267885,2.777303035e+25,4.459296406e+18,302.4569356,6153579397000.0,8.25007076732763e-12,0.0001146841335,2.424788254e+26,7.596115869e+18,300.5632841,2044850043000.0
8.59976649980303e-12,0.0001984235234,3.936537669e+25,6.562517144e+18,302.4597344,6135044504000.0,8.62510615099144e-12,9.973625572e-05,4.891698083e+26,1.195098801e+19,300.7381063,2739667760000.0
8.9663553330707e-12,0.0001853939271,4.984614283e+25,8.828269001e+18,302.5828281,6033530029000.0,9.00014153465526e-12,8.931681249e-05,5.830068353e+26,1.686899762e+19,300.9180065,3434025836000.0
9.33294416633838e-12,0.0001744117544,5.968365062e+25,1.145129324e+19,302.9471906,5959963407000.0,9.37517691831907e-12,8.304930377e-05,5.710035066e+26,2.129082476e+19,301.2440169,3943968747000.0
9.8e-12,0.0001603287488,7.255929258e+25,1.53633447e+19,303.3006008,5714134313000.0,9.8e-12,7.868448466e-05,5.040172181e+26,2.500747093e+19,301.6111697,4292794443000.0
9.9e-12,0.0001590379312,7.419871447e+25,1.624929154e+19,303.3867451,5623129171000.0,9.9e-12,7.784486514e-05,4.818215142e+26,2.566483567e+19,301.6988461,4315462669000.0
1.01e-11,0.0001526989559,8.190651453e+25,1.802678998e+19,303.5335281,5500776453000.0,1.01e-11,7.590216647e-05,4.372440012e+26,2.707672851e+19,301.8542549,4456153871000.0
1.05e-11,0.0001440817121,9.542655748e+25,2.147698601e+19,303.7449806,5275837055000.0,1.05e-11,7.149588877e-05,3.978073868e+26,3.02102144e+19,302.1686334,4578959763000.0
1.09e-11,0.0001355284385,1.103356812e+26,2.458771194e+19,304.0081119,5145258534000.0,1.09e-11,6.737370209e-05,4.038638409e+26,3.317078185e+19,302.4553237,4633575327000.0
1.13e-11,0.0001283346228,1.266498452e+26,2.717312023e+19,304.2012366,4979416037000.0,1.13e-11,6.349601572e-05,3.987307963e+26,3.561594159e+19,302.7038173,4632058551000.0
1.17e-11,0.0001217849325,1.445434227e+26,2.915011144e+19,304.3814999,4791157399000.0,1.17e-11,5.981760747e-05,3.862345302e+26,3.746072306e+19,302.9421968,4589537592000.0
1.21e-11,0.0001159246639,1.643195404e+26,3.053580895e+19,304.5650715,4627449314000.0,1.21e-11,5.646379227e-05,3.696504734e+26,3.872481983e+19,303.1513335,4516413680000.0
1.25e-11,0.0001109327705,1.886673145e+26,3.14190958e+19,304.7018051,4507711743000.0,1.25e-11,5.338537757e-05,3.535533602e+26,3.949797778e+19,303.3311376,4423510489000.0
1.33e-11,0.0001031229868,2.456737144e+26,3.219221343e+19,305.0055952,4219700613000.0,1.33e-11,4.797833088e-05,3.30880625e+26,4.005642283e+19,303.6370904,4273307917000.0
1.4e-11,9.817829912e-05,3.088659889e+26,3.228178853e+19,305.2268217,4035341650000.0,1.4e-11,4.396931177e-05,2.32532206e+26,4.000483126e+19,303.8464648,4115160164000.0
1.42e-11,9.709259408e-05,3.28258947e+26,3.226246694e+19,305.2920878,3981003763000.0,1.42e-11,4.293435167e-05,2.089284115e+26,3.995256395e+19,303.8919183,4091084470000.0
1.46e-11,9.523958817e-05,3.759139156e+26,3.219929278e+19,305.4073994,3879774855000.0,1.46e-11,4.099435087e-05,1.789115368e+26,3.982885352e+19,303.9806031,4036547682000.0
1.54e-11,9.307419472e-05,4.940317985e+26,3.20311385e+19,305.6339332,3695620294000.0,1.54e-11,3.759431356e-05,1.081394513e+26,3.955787054e+19,304.1191702,3814723589000.0
1.62e-11,9.290183919e-05,6.549746677e+26,3.184768721e+19,305.8390349,3561679292000.0,1.62e-11,3.475204475e-05,5.421639338e+25,3.929112667e+19,304.2289142,3578377502000.0
1.7e-11,9.467724896e-05,8.777311389e+26,3.166358792e+19,306.0468426,3443823753000.0,1.7e-11,3.238803423e-05,3.457625881e+25,3.903836699e+19,304.3100417,3380961959000.0
1.78e-11,9.859405809e-05,1.188733468e+27,3.14812858e+19,306.2352688,3372398195000.0,1.78e-11,3.04325931e-05,2.186517586e+25,3.879832983e+19,304.3676411,3107751905000.0
1.86e-11,0.0001051190567,1.62494255e+27,3.130136136e+19,306.4260567,3335036061000.0,1.86e-11,2.883308222e-05,1.274745826e+25,3.85688215e+19,304.4035421,2816737163000.0
1.88549933809347e-11,0.0001078048251,1.79994793e+27,3.124456028e+19,306.4862123,3329392009000.0,1.89240856758876e-11,2.827724006e-05,1.006056994e+25,3.847844164e+19,304.4155194,2701173780000.0
1.93649801428041e-11,0.0001142628718,2.187654043e+27,3.113180533e+19,306.6021425,3334135638000.0,1.95722570276627e-11,2.730407784e-05,6.119640034e+24,3.830157374e+19,304.421997,2480907549000.0
2e-11,0.0001243561108,2.764618026e+27,3.099303934e+19,306.739824,3362814702000.0,2e-11,2.675708281e-05,5.225468227e+24,3.818746911e+19,304.4167401,2345073008000.0
2.1e-11,0.0001453818352,3.836244382e+27,3.077832796e+19,306.9699861,3467636345000.0,2.1e-11,2.573628351e-05,3.821956658e+24,3.79277913e+19,304.4062402,2060159221000.0
2.2e-11,0.0001728530461,4.983702978e+27,3.056839357e+19,307.1872789,3616653072000.0,2.3e-11,2.456846547e-05,1.700524151e+24,3.74335085e+19,304.4145635,1617384868000.0
2.3e-11,0.0002072033892,6.077222176e+27,3.036329387e+19,307.4103013,3785103561000.0,2.3e-11,2.456846547e-05,1.700524151e+24,3.74335085e+19,304.4145635,1617384868000.0
2.4e-11,0.0002483328817,6.929961943e+27,3.016302432e+19,307.6265837,3924109216000.0,2.3e-11,2.456846547e-05,1.700524151e+24,3.74335085e+19,304.4145635,1617384868000.0
2.5e-11,0.0003007757685,7.294253588e+27,2.996754263e+19,307.8470391,3994325467000.0,2.5e-11,2.426141144e-05,6.385159122e+23,3.696687161e+19,304.3534229,1306962485000.0
2.6e-11,0.0003686450319,7.367269682e+27,2.977676892e+19,308.0627037,3971563205000.0,2.6e-11,2.432804678e-05,4.846061939e+23,3.674242234e+19,304.3024612,1187944805000.0
2.7e-11,0.0004487044262,6.889535117e+27,2.959058828e+19,308.2849336,3900063204000.0,2.7e-11,2.449076182e-05,4.110663838e+23,3.652330148e+19,304.2458217,1087085951000.0
2.8e-11,0.0005312089814,6.263617985e+27,2.940887847e+19,308.5062362,3757287428000.0,2.8e-11,2.47260742e-05,3.366795932e+23,3.630922114e+19,304.1866332,1001067662000.0
2.9e-11,0.0005984515521,5.591364865e+27,2.923154694e+19,308.8600921,3597536011000.0,2.9e-11,2.500826312e-05,2.674940271e+23,3.609995019e+19,304.1269466,927231384500.0
3e-11,0.0006462459773,4.956477787e+27,2.905854189e+19,309.4595282,3453554724000.0,3e-11,2.532372629e-05,2.069895901e+23,3.589529768e+19,304.0680742,863449772200.0
3.1e-11,0.0006711695786,4.437541135e+27,2.8889826e+19,310.0592311,3338419567000.0,3.1e-11,2.566464138e-05,1.565496371e+23,3.569510149e+19,304.0108269,808018131200.0
3.3e-11,0.0006691775026,3.765721092e+27,2.856494252e+19,311.2083947,3188583931000.0,3.3e-11,2.642013688e-05,8.463644899e+22,3.530752976e+19,303.9028796,716983713100.0
3.5e-11,0.0006395341014,3.424227233e+27,2.825582453e+19,312.3067192,3109459288000.0,3.5e-11,2.729352578e-05,5.213793431e+22,3.493627007e+19,303.8090279,645996378700.0
3.7e-11,0.0006117213662,3.175398992e+27,2.796074202e+19,313.3399693,3063128100000.0,3.7e-11,2.830493988e-05,4.260748177e+22,3.458050071e+19,303.7918416,589635401100.0
3.9e-11,0.0005923324853,2.9496416e+27,2.767790264e+19,314.3224625,3013631182000.0,3.9e-11,2.943220171e-05,3.225978193e+22,3.423948414e+19,303.7625565,544204466900.0
4.1e-11,0.0005793206105,2.733597979e+27,2.740589845e+19,315.2675198,2958905020000.0,4.1e-11,3.058338801e-05,2.294740104e+22,3.391254038e+19,303.7256309,507127877500.0
