label,requested_time_s,RUN094_actual_time_s,RUN092_actual_time_s,RUN094_Id,RUN092_Id,RUN094_over_RUN092_Id_ratio,RUN094_ImpactMax,RUN092_ImpactMax,RUN094_over_RUN092_ImpactMax_ratio,RUN094_HoleMax,RUN092_HoleMax,RUN094_over_RUN092_HoleMax_ratio,RUN094_Tmax,RUN092_Tmax,RUN094_over_RUN092_deltaT_ratio,RUN094_JouleMax,RUN092_JouleMax,RUN094_over_RUN092_JouleMax_ratio
20 ps,2e-11,2e-11,2e-11,0.0001243561108,2.675708281e-05,4.647595991051912,2.764618026e+27,5.225468227e+24,529.0660866934786,3.099303934e+19,3.818746911e+19,0.8116023413524406,306.739824,304.4167401,1.5259725153399806,3362814702000.0,2345073008000.0,1.4339914751174347
100 ps,1e-10,1e-10,1e-10,0.000437397088,0.0001582375403,2.7641802771374344,6.007553894e+28,2.089717639e+23,287481.60908833676,2.220972423e+19,2.848970819e+19,0.7795700848138452,331.6867485,303.2316223,9.805214087054592,2008581621000.0,373479854100.0,5.378018650671846
400 ps,4e-10,4e-10,4e-10,0.0002791565514,0.0001086818042,2.568567511874265,3.137674034e+28,2.452586768e+27,12.793325296126689,8.907202652e+19,3.368623012e+19,2.644167251802886,385.6714175,321.8682206,3.917621788578451,2338771084000.0,1569849526000.0,1.4898058987597516
1 ns,1e-09,1e-09,1e-09,2.7772005e-06,9.826622185e-05,0.028262005475689304,3.595601791e+23,1.354963476e+27,0.0002653652186710308,9.722922968e+19,6.588096384e+19,1.4758319249264948,373.0077174,338.8245948,1.8804502088454504,53205878200.0,1392295785000.0,0.03821449348135461
4 ns,4e-09,4e-09,4e-09,4.376508356e-08,5.176923388e-08,0.8453878931538092,1.684614484e+23,374566016.2,449751021486289.4,5.750936266e+19,4.652069932e+19,1.2362101924653526,332.6819933,312.8205827,2.549181582830866,2962333092.0,2549570859.0,1.1618947877219992
10 ns,1e-08,1e-08,1e-08,9.251273565e-06,1.634467054e-06,5.660116269923909,6.52487203e+26,5.096346144e+17,1280303936.5137756,4.189310746e+19,3.206484745e+19,1.3065119840450075,331.7931042,305.8932647,5.394820327686987,211380636200.0,7889310988.0,26.793294943185728
20 ns,2e-08,2e-08,2e-08,1.145037752e-05,4.186377999e-06,2.735151370166562,7.018788605e+26,1.251726736e+18,560728504.3242857,3.396602918e+19,2.525745458e+19,1.3447922502410774,342.9276052,304.9427419,8.684978109012759,257329350600.0,19436371610.0,13.23957762093848
50 ns,5e-08,5e-08,5e-08,5.44619087e-06,2.470893937e-06,2.204137858143929,2.972005837e+26,7.896605571e+17,376364984.9644997,2.401515366e+19,1.867080301e+19,1.2862410709993348,342.6372162,305.7416876,7.425903178710068,122473837000.0,11694129460.0,10.473104254482916
100 ns,1e-07,1e-07,1e-07,2.249387013e-06,1.176914789e-06,1.9112573263789616,1.173279927e+26,3.933738517e+17,298260782.18711454,1.735803975e+19,1.469948214e+19,1.1808606306453189,332.4085997,305.1186076,6.331526507325919,51045673330.0,5660629497.0,9.017667267757588
500 ns,5e-07,5e-07,5e-07,6.572989822e-07,4.177876363e-07,1.5732849062292846,3.107391406e+25,1.439923291e+17,215802565.6937582,1.161366524e+19,1.106388603e+19,1.049691329837388,319.1428994,304.0736866,4.699158595067205,14905943420.0,2033372266.0,7.330651484355398
1 us,1e-06,1e-06,1e-06,5.557545315e-07,3.400616093e-07,1.634276014408075,2.461670028e+25,1.176397468e+17,209254958.03600284,1.114140613e+19,1.064449799e+19,1.0466821582818484,315.0453154,304.1019219,3.6678697856241653,12512717720.0,1657437512.0,7.549435577152546
10 us,1e-05,1e-05,1e-05,3.86268199e-07,1.978070622e-07,1.9527523168482708,1.227298557e+25,6.863436824e+16,178816908.856565,1.012692122e+19,9.660680004e+18,1.0482617389052276,322.3967905,307.3491815,3.047521754633499,8379063434.0,962793135.4,8.702869937391952
100 us,0.0001,0.0001,0.0001,2.187538853e-07,9.955765935e-08,2.197258219289383,4.912442634e+24,3.373492806e+16,145618885.7217323,8.551065558e+18,8.582599638e+18,0.9963258125358218,378.8772603,324.1193967,3.27028330273286,4529111858.0,471530020.8,9.605139987303222
