time,run,profile,field,peak_abs_or_value,x_um,y_um
100ps,RUN092,surface,electric field,1843806.87,9.0,
100ps,RUN092,surface,impact gen rate,6.83465034e+22,9.125,
100ps,RUN092,surface,electron conc,1.81960132e+19,11.0087891,
100ps,RUN092,surface,hole conc,1.82846713e+19,11.0087891,
100ps,RUN092,surface,total current density,180345.717,13.184375,
100ps,RUN092,surface,joule heat power,153433719000.0,10.25,
100ps,RUN092,surface,lattice temperature,302.684786,10.7833333,
100ps,RUN092,surface,acceptor trap ionized density #1,0.0,3.55271368e-15,
100ps,RUN094,surface,electric field,4982971.64,9.0,
100ps,RUN094,surface,impact gen rate,3.55380427e+28,9.125,
100ps,RUN094,surface,electron conc,2.09739507e+19,11.0048829,
100ps,RUN094,surface,hole conc,2.09956488e+19,11.0048829,
100ps,RUN094,surface,total current density,782516.551,12.2458333,
100ps,RUN094,surface,joule heat power,1364478710000.0,14.921875,
100ps,RUN094,surface,lattice temperature,328.334062,15.03125,
100ps,RUN094,surface,acceptor trap ionized density #1,0.0,-1.77635684e-15,
100ps,RUN092,uid_sub,electric field,880404.518,9.125,
100ps,RUN092,uid_sub,impact gen rate,8.03938537e+18,9.75,
100ps,RUN092,uid_sub,electron conc,2.81740969e+18,11.0,
100ps,RUN092,uid_sub,hole conc,4.34905034e+18,11.0,
100ps,RUN092,uid_sub,total current density,42517.3685,11.0,
100ps,RUN092,uid_sub,joule heat power,3998150530.0,10.375,
100ps,RUN092,uid_sub,lattice temperature,300.216037,11.0175781,
100ps,RUN092,uid_sub,acceptor trap ionized density #1,2e+18,27.8046875,
100ps,RUN094,uid_sub,electric field,2179791.3,9.25,
100ps,RUN094,uid_sub,impact gen rate,1.20508536e+26,9.375,
100ps,RUN094,uid_sub,electron conc,2.29446538e+18,11.0048829,
100ps,RUN094,uid_sub,hole conc,3.86289515e+18,10.9980469,
100ps,RUN094,uid_sub,total current density,285954.788,11.0117188,
100ps,RUN094,uid_sub,joule heat power,102262087000.0,9.375,
100ps,RUN094,uid_sub,lattice temperature,300.633424,16.125,
