metric,value
VDS_absolute_V,1000.0
geometry,Wang_20um_noFP_Lgd9_xion11
static_prestrike_A_per_um,1.489119366e-13
final_time_s,0.0001
Id_peak_A_per_um,0.0006711695786
Id_peak_time_s,3.1e-11
Tmax_peak_K,405.9017438
Tmax_peak_time_s,6.72838570804577e-10
Id_0p5us_A_per_um,6.572989822e-07
Id_1us_A_per_um,5.557545315e-07
Id_10us_A_per_um,3.86268199e-07
Id_100us_A_per_um,2.187538853e-07
Tmax_0p5us_K,319.1428994
Tmax_1us_K,315.0453154
Tmax_10us_K,322.3967905
Tmax_100us_K,378.8772603
delayed_rebound_min_A_per_um,4.376508356e-08
delayed_rebound_min_time_s,4e-09
delayed_rebound_max_after_min_A_per_um,1.177882408e-05
delayed_rebound_max_after_min_time_s,1.625e-08
delayed_rebound_ratio,269.13747494282177
port_energy_to_1ns_J_per_um_RUN094,2.129525020537948e-10
port_energy_to_1ns_J_per_um_RUN092,1.0471028797991558e-10
port_energy_to_100us_J_per_um_RUN094,3.0686512297091e-08
absolute_platform_below_1e-4_at_0p5_1us,True
decaying_0p5us_to_100us,True
project_v0p2_strict_10x_dark_pass,False
mechanical_screen,RECOVERABLE_SET_ENVELOPE_WITH_DELAYED_TRAP_REBOUND_NOT_10X_DARK
source_area_time_integral_cm_inv,152057066576.391
source_charge_pC_per_um,2.4362227910327596
accepted_bias_halvings,0
transient_smaller_time_retries,69
rejected_temperature_limit_trials,4
hard_errors,0
