"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "seu generation rate", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
-0.42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.578372644, 0, 0, 6937137.82, 0, 0, 0, 0, 0, 0, 0, 0, -4444032.95, -5326767.52, 300, 0, 0, 0, 0, 0, 0, 0, 0.966890043, 16535.4445, 0, 0, 8789.65018, 0, 0, 14005.8193, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36.5986982, 0, 0, 5872951.85, 0, 0, 0, 0, 0, 0, 0, 0, -2541175.45, -5294713.47, 300, 0, 0, 0, 0, 0, 0, 0, 0.941523886, 13162.8037, 0, 0, 5980.99407, 0, 0, 11725.4898, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60.6734385, 0, 0, 4593622.02, 0, 0, 0, 0, 0, 0, 0, 0, -2108507.19, -4081122.48, 300, 0, 0, 0, 0, 0, 0, 0, 0.934912867, 9520.50172, 0, 0, 4287.89516, 0, 0, 8500.22988, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79.7890174, 0, 0, 3877198.29, 0, 0, 0, 0, 0, 0, 0, 0, -1669718.06, -3499243.94, 300, 0, 0, 0, 0, 0, 0, 0, 0.930185546, 7777.31618, 0, 0, 3156.54993, 0, 0, 7107.94201, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96.5752552, 0, 0, 3446014.99, 0, 0, 0, 0, 0, 0, 0, 0, -1290374.17, -3195301.83, 300, 0, 0, 0, 0, 0, 0, 0, 0.926829864, 6832.13252, 0, 0, 2327.93981, 0, 0, 6423.29596, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112.170827, 0, 0, 3231176.86, 0, 0, 0, 0, 0, 0, 0, 0, -913517.585, -3099353.09, 300, 0, 0, 0, 0, 0, 0, 0, 0.924828371, 6674.13692, 0, 0, 1630.86962, 0, 0, 6471.81334, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 127.315354, 0, 0, 3047360.29, 0, 0, 0, 0, 0, 0, 0, 0, -567680.161, -2994018.03, 300.000005, 0, 0, 0, 0, 0, 0, 0, 0.923949719, 6095.63828, 0, 0, 1153.73678, 0, 0, 5985.45716, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142.230598, 0, 0, 3006680.3, 0, 0, 0, 0, 0, 0, 0, 0, -256417.102, -2995726.41, 300.000806, 0, 0, 0, 0, 0, 0, 0, 0.923422937, 5855.8499, 0, 0, 656.879766, 0, 0, 5818.89053, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 157.249604, 0, 0, 3004020.13, 0, 0, 0, 0, 0, 0, 0, 0, -36255.9396, -3003801.33, 300.092247, 0, 0, 0, 0, 0, 0, 0, 0.923254123, 5794.85681, 0, 0, 198.173971, 0, 0, 5791.46722, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 157.249604, 0, 0, 472828.529, 0, 0, 0, 0, 0, 0, 0, 0, -32721.9979, -471694.911, 300.092247, 0, 0, 0, 0, 0, 0, 0, 0.923254123, 5794.85681, 0, 0, 198.173971, 0, 0, 5791.46722, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
