"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "seu generation rate", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
3.55271368e-15, 0, 0, 1e+19, 0, 8.94256573e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458314, 12.1176471, 0.0128722772, 8976.96488, 0, 1.80985696e+18, 2.16804268e-25, 8.63293482, -2.7284921e-06, -1.13789668, 1e+19, 1.81571401e-17, 0.000249166104, 8976.96488, 299.999968, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 1.36337279e-41, 8.63293482, 0.368875799, 8.62290296, 0.000283993745, -4.32732408e-44, 0.000284811335, -8.63293481, -1.3633644e-41, -8.62290295, 0, 1.19999982e-08, 1.19999982e-08, -97455.8354, -97455.8354, 0, 0.27, 3.332, 0, 0.000283993745, -8.63293481, 0, 7.65559419e+17, 0, 0, 0, 0
0.0666666667, 0, 0, 1e+19, 0, 8.94256571e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458314, 12.1176471, 0.0128722772, 10180.0966, 0, 1.80985696e+18, 2.26949604e-25, 8.62976983, -2.72698732e-06, -1.13852723, 1e+19, 1.90068018e-17, -0.00112538392, 10180.0966, 299.999968, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 1.44434994e-41, 8.62976983, 0.3690055, 8.61973065, -0.00176354266, -8.86074997e-44, -0.00176557975, -8.62976952, -1.44431713e-41, -8.61973035, 0, 1.19999982e-08, 1.19999982e-08, -97435.9858, -97435.9858, 0, 0.27, 3.332, 0, -0.00176354266, -8.62976952, 0, 7.65559419e+17, 0, 0, 0, 0
0.125, 0, 0, 1e+19, 0, 8.94256568e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458314, 12.1176471, 0.0128722772, 10180.0938, 0, 1.80985696e+18, 2.26949604e-25, 8.62782489, -2.72698732e-06, -1.13852723, 1e+19, 1.90068018e-17, -0.00165257081, 10180.0938, 299.999968, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 1.45594702e-41, 8.62782489, 0.369105129, 8.61778284, -0.00176459863, -8.86074997e-44, -0.00176663573, -8.62782459, -1.4559142e-41, -8.61778254, 0, 1.19999982e-08, 1.19999982e-08, -97402.0218, -97402.0218, 0, 0.27, 3.332, 0, -0.00176459863, -8.62782459, 0, 7.65559419e+17, 0, 0, 0, 0
0.191666667, 0, 0, 1e+19, 0, 8.94256554e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458316, 12.1176471, 0.0128722772, 10180.0826, 0, 1.80985696e+18, 2.5835158e-25, 8.66583087, -2.74711261e-06, -1.14031406, 1e+19, 2.16366858e-17, -0.00204821836, 10180.0826, 299.999967, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 1.69188594e-41, 8.66583087, 0.369541583, 8.65582967, -0.00354329165, -1.41891409e-43, -0.00354721416, -8.66582965, -1.69181566e-41, -8.65582845, 0, 1.19999981e-08, 1.19999981e-08, -97666.4179, -97666.4179, 0, 0.27, 3.332, 0, -0.00354329165, -8.66582965, 0, 7.65559414e+17, 0, 0, 0, 0
0.25, 0, 0, 1e+19, 0, 8.94256542e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458316, 12.1176471, 0.0128722772, 10180.0736, 0, 1.80985696e+18, 2.5835158e-25, 8.69184551, -2.74711261e-06, -1.14031406, 1e+19, 2.16366858e-17, -0.00198123936, 10180.0736, 299.999967, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 1.72778162e-41, 8.69184551, 0.369764628, 8.68186972, -0.00354475486, -1.41891409e-43, -0.00354867737, -8.69184429, -1.72771134e-41, -8.6818685, 0, 1.19999981e-08, 1.19999981e-08, -98120.7165, -98120.7165, 0, 0.27, 3.332, 0, -0.00354475486, -8.69184429, 0, 7.65559413e+17, 0, 0, 0, 0
0.316666667, 0, 0, 1e+19, 0, 8.94256523e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458318, 12.1176471, 0.0128722772, 10180.0588, 0, 1.80985697e+18, 2.93481119e-25, 8.72380689, -2.76439273e-06, -1.1420719, 1e+19, 2.45787495e-17, -0.0033376819, 10180.0588, 299.999967, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 1.99440371e-41, 8.72380689, 0.370341399, 8.71385482, -0.00550479599, -1.91453893e-43, -0.00551038213, -8.72380396, -1.99429584e-41, -8.71385188, 0, 1.19999981e-08, 1.19999981e-08, -98347.5654, -98347.5654, 0, 0.27, 3.332, 0, -0.00550479599, -8.72380396, 0, 7.65559409e+17, 0, 0, 0, 0
0.375, 0, 0, 1e+19, 0, 8.94256507e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458318, 12.1176471, 0.0128722772, 10180.047, 0, 1.80985697e+18, 2.93481119e-25, 8.74614379, -2.76439273e-06, -1.1420719, 1e+19, 2.45787495e-17, -0.00389223282, 10180.047, 299.999967, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 2.03456037e-41, 8.74614379, 0.370639362, 8.73621087, -0.00550630327, -1.91453893e-43, -0.0055118894, -8.74614086, -2.0344525e-41, -8.73620793, 0, 1.19999981e-08, 1.19999981e-08, -98737.639, -98737.639, 0, 0.27, 3.332, 0, -0.00550630327, -8.74614086, 0, 7.65559409e+17, 0, 0, 0, 0
0.441666667, 0, 0, 1e+19, 0, 8.94256476e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458322, 12.1176471, 0.0128722772, 10180.022, 0, 1.809857e+18, 3.48122112e-25, 8.82289365, -2.80521916e-06, -1.14442606, 1e+19, 2.91548779e-17, -0.00442578061, 10180.022, 299.999967, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 2.80132556e-41, 8.82289365, 0.371345857, 8.81302897, -0.00760383618, -2.62704911e-43, -0.00761062556, -8.82288816, -2.80118561e-41, -8.81302345, 0, 1.19999981e-08, 1.19999981e-08, -99273.8996, -99273.8996, 0, 0.27, 3.332, 0, -0.00760383618, -8.82288816, 0, 7.65559398e+17, 0, 0, 0, 0
0.5, 0, 0, 1e+19, 0, 8.94256449e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458322, 12.1176471, 0.0128722772, 10180.003, 0, 1.809857e+18, 3.48122112e-25, 8.87566723, -2.80521916e-06, -1.14442606, 1e+19, 2.91548779e-17, -0.00439296304, 10180.003, 299.999967, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 2.86378616e-41, 8.87566723, 0.371712352, 8.86584994, -0.00760538772, -2.62704911e-43, -0.0076121771, -8.87566173, -2.86364622e-41, -8.86584442, 0, 1.19999981e-08, 1.19999981e-08, -100195.489, -100195.489, 0, 0.27, 3.332, 0, -0.00760538772, -8.87566173, 0, 7.65559398e+17, 0, 0, 0, 0
0.566666667, 0, 0, 1e+19, 0, 8.94256412e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458326, 12.1176471, 0.0128722772, 10179.973, 0, 1.80985702e+18, 4.16660167e-25, 8.94904424, -2.84465316e-06, -1.14690401, 1e+19, 3.48948714e-17, -0.00605118518, 10179.973, 299.999967, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 1.12900955e-40, 8.94904424, 0.372546852, 8.93927045, -0.0101140263, -3.54186839e-43, -0.0101213364, -8.94903464, -1.12900379e-40, -8.93926083, 0, 1.19999981e-08, 1.19999981e-08, -100713.264, -100713.264, 0, 0.27, 3.332, 0, -0.0101140263, -8.94903464, 0, 7.65559388e+17, 0, 0, 0, 0
