"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "seu generation rate", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
-7.10542736e-15, 0, 0, 5e+15, 0, 8.94265554e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.90170435, 116.280936, 1.25944174, 23939.1521, 0, 2.20897802e+10, 1.7184097e-07, 0.0116086874, -0.0330040536, -2.75196123, 5e+15, 4.82528093e+21, 117.014028, 23938.8661, 300, 117.19603, 116.280936, 1.28078819, 1.25944174, 5e+15, 9.2748145e-22, 0.0116086874, 0.320202609, 59.4845108, -2.40448991e-05, -1.72563807e-24, -0.0286233469, -0.0116086625, -9.27479844e-22, -59.4845039, 0, 1.2e-08, 1.2e-08, 198.756378, 198.756378, 0, 0.27, 3.332, 0, -2.40448991e-05, -0.0116086625, 0, 1.49999982e+15, 0, 0, 2e+18, 2.06403895e+16
3.55271368e-15, 0, 0, 1.5e+15, 0, 8.94265554e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.90170435, 116.280936, 1.25944174, 25462.3395, 0, 2.20897802e+10, 1.7184097e-07, 0.0116086874, -0.0330040536, -2.75196123, 1.5e+15, 4.82528093e+21, 117.014028, -25462.0706, 300, 117.19603, 116.280936, 1.28078819, 1.25944174, 1.5e+15, 9.2748145e-22, 0.0116086874, 0.320202609, 59.4845108, -2.40448991e-05, -1.72563807e-24, -0.0286233469, -0.0116086625, -9.27479844e-22, -59.4845039, 0, 1.2e-08, 1.2e-08, 198.756378, 198.756378, 0, 0.27, 3.332, 0, -2.40448991e-05, -0.0116086625, 0, 1.49999982e+15, 0, 0, 2e+18, 2.06403895e+16
0.125, 0, 0, 1.5e+15, 0, 8.94265555e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.90024168, 116.280936, 1.25944174, 25531.7877, 0, 2.02726862e+10, 1.860271e-07, 0.00979016686, -0.0337605334, -2.75254921, 1.5e+15, 4.43153228e+21, -81.4603199, -25531.6577, 300, 117.19603, 116.280936, 1.28078819, 1.25944174, 1.5e+15, 9.59303342e-22, 0.00979016686, 0.319847021, 54.0347244, -1.11640329e-05, -6.35403994e-23, -0.0694110384, -0.00979016049, -9.57196698e-22, -54.0346798, 0, 1.2e-08, 1.2e-08, 165.073707, 165.073707, 0, 0.27, 3.332, 0, -1.11640329e-05, -0.00979016049, 0, 1.49999983e+15, 0, 0, 2e+18, 1.92205856e+16
0.125, 0, 0, 5e+15, 0, 8.94265555e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.90024168, 116.280936, 1.25944174, 24084.195, 0, 2.02726862e+10, 1.860271e-07, 0.00979016686, -0.0337605334, -2.75254921, 5e+15, 4.43153228e+21, -9.58023727, 24084.1931, 300, 117.19603, 116.280936, 1.28078819, 1.25944174, 5e+15, 9.59303342e-22, 0.00979016686, 0.319847021, 54.0347244, -1.11640329e-05, -6.35403994e-23, -0.0694110384, -0.00979016049, -9.57196698e-22, -54.0346798, 0, 1.2e-08, 1.2e-08, 165.073707, 165.073707, 0, 0.27, 3.332, 0, -1.11640329e-05, -0.00979016049, 0, 1.49999983e+15, 0, 0, 2e+18, 1.92205856e+16
0.25, 0, 0, 5e+15, 0, 8.94265554e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.90298131, 116.280936, 1.25944174, 23962.9563, 0, 2.31244543e+10, 2.11602953e-07, 0.0121898856, -0.0330976182, -2.75861909, 5e+15, 5.05128322e+21, -121.349014, 23962.6491, 300, 117.19603, 116.280936, 1.28078819, 1.25944174, 5e+15, 1.17611187e-21, 0.0121898856, 0.320835918, 59.6194504, -3.64961672e-06, -1.59511344e-23, -0.0752271241, -0.012189885, -1.1760037e-21, -59.619403, 0, 1.2e-08, 1.2e-08, 209.882461, 209.882461, 0, 0.27, 3.332, 0, -3.64961672e-06, -0.012189885, 0, 1.49999981e+15, 0, 0, 2e+18, 2.06448724e+16
0.25, 0, 0, 1.5e+15, 0, 8.94265554e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.90298131, 116.280936, 1.25944174, 25548.4625, 0, 2.31244543e+10, 2.11602953e-07, 0.0121898856, -0.0330976182, -2.75861909, 1.5e+15, 5.05128322e+21, -101.569305, -25548.2607, 300, 117.19603, 116.280936, 1.28078819, 1.25944174, 1.5e+15, 1.17611187e-21, 0.0121898856, 0.320835918, 59.6194504, -3.64961672e-06, -1.59511344e-23, -0.0752271241, -0.012189885, -1.1760037e-21, -59.619403, 0, 1.2e-08, 1.2e-08, 209.882461, 209.882461, 0, 0.27, 3.332, 0, -3.64961672e-06, -0.012189885, 0, 1.49999981e+15, 0, 0, 2e+18, 2.06448724e+16
0.375, 0, 0, 1.5e+15, 0, 8.94265555e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.90278091, 116.280936, 1.25944174, 25704.8091, 0, 2.22058405e+10, 2.41861639e-07, 0.0107890023, -0.0339451391, -2.76187392, 1.5e+15, 4.85408895e+21, -243.048134, -25703.6601, 300, 117.19603, 116.280936, 1.28078819, 1.25944174, 1.5e+15, 1.25634956e-21, 0.0107890023, 0.32119188, 54.2671536, -3.65372803e-05, -1.08397785e-22, -0.192397939, -0.0107889404, -1.25166455e-21, -54.2668126, 0, 1.2e-08, 1.2e-08, 184.01552, 184.01552, 0, 0.27, 3.332, 0, -3.65372803e-05, -0.0107889404, 0, 1.49999982e+15, 0, 0, 2e+18, 1.92301925e+16
0.375, 0, 0, 5e+15, 0, 8.94265555e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.90278091, 116.280936, 1.25944174, 23963.2266, 0, 2.22058405e+10, 2.41861639e-07, 0.0107890023, -0.0339451391, -2.76187392, 5e+15, 4.85408895e+21, -105.855389, 23962.9928, 300, 117.19603, 116.280936, 1.28078819, 1.25944174, 5e+15, 1.25634956e-21, 0.0107890023, 0.32119188, 54.2671536, -3.65372803e-05, -1.08397785e-22, -0.192397939, -0.0107889404, -1.25166455e-21, -54.2668126, 0, 1.2e-08, 1.2e-08, 184.01552, 184.01552, 0, 0.27, 3.332, 0, -3.65372803e-05, -0.0107889404, 0, 1.49999982e+15, 0, 0, 2e+18, 1.92301925e+16
0.5, 0, 0, 5e+15, 0, 8.94265553e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.90678586, 116.280937, 1.25944174, 23770.3435, 0, 2.65021831e+10, 2.83652582e-07, 0.0140989024, -0.0333775924, -2.76999928, 5e+15, 5.78906243e+21, -218.408359, 23769.3401, 300, 117.19603, 116.280937, 1.28078819, 1.25944174, 5e+15, 1.57414923e-21, 0.0140989024, 0.322296058, 59.9992603, -8.47192903e-06, -3.03994158e-23, -0.136823006, -0.0140988999, -1.57385567e-21, -59.9991043, 0, 1.2e-08, 1.2e-08, 246.804602, 246.804602, 0, 0.27, 3.332, 0, -8.47192903e-06, -0.0140988999, 0, 1.49999978e+15, 0, 0, 2e+18, 2.06614821e+16
0.5, 0, 0, 1.5e+15, 0, 8.94265553e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.90678586, 116.280937, 1.25944174, 25806.8414, 0, 2.65021831e+10, 2.83652582e-07, 0.0140989024, -0.0333775924, -2.76999928, 1.5e+15, 5.78906243e+21, -203.770983, -25806.0369, 300, 117.19603, 116.280937, 1.28078819, 1.25944174, 1.5e+15, 1.57414923e-21, 0.0140989024, 0.322296058, 59.9992603, -8.47192903e-06, -3.03994158e-23, -0.136823006, -0.0140988999, -1.57385567e-21, -59.9991043, 0, 1.2e-08, 1.2e-08, 246.804602, 246.804602, 0, 0.27, 3.332, 0, -8.47192903e-06, -0.0140988999, 0, 1.49999978e+15, 0, 0, 2e+18, 2.06614821e+16
