"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "seu generation rate", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
-0.42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 177.319733, 0, 0, 1036754.59, 0, 0, 0, 0, 0, 0, 0, 0, -1036745.39, 4368.59327, 376.627814, 0, 0, 0, 0, 0, 0, 0, 0.949043897, 0.000180600727, 0, 0, 0.000180587892, 0, 0, -2.1494602e-06, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.405714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 177.313538, 0, 0, 1036331.64, 0, 0, 0, 0, 0, 0, 0, 0, -1036314.74, 5607.10416, 376.628216, 0, 0, 0, 0, 0, 0, 0, 0.950427202, 0.000180669293, 0, 0, 0.000180647248, 0, 0, -2.71799036e-06, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 177.297753, 0, 0, 1035256.54, 0, 0, 0, 0, 0, 0, 0, 0, -1035219.44, 8763.4135, 376.629222, 0, 0, 0, 0, 0, 0, 0, 0.954101414, 0.000180844224, 0, 0, 0.000180792901, 0, 0, -4.30080014e-06, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.355714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 177.279175, 0, 0, 1035350.81, 0, 0, 0, 0, 0, 0, 0, 0, -1035282.91, 11238.5554, 376.630427, 0, 0, 0, 0, 0, 0, 0, 0.955238947, 0.000181059318, 0, 0, 0.000180971264, 0, 0, -5.43909166e-06, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 177.23183, 0, 0, 1035599.92, 0, 0, 0, 0, 0, 0, 0, 0, -1035451.23, 17547.3096, 376.633444, 0, 0, 0, 0, 0, 0, 0, 0.958207633, 0.000181613833, 0, 0, 0.000181408964, 0, 0, -8.60913558e-06, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.305714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 177.200889, 0, 0, 1035757.67, 0, 0, 0, 0, 0, 0, 0, 0, -1035557.76, 20017.3179, 376.635453, 0, 0, 0, 0, 0, 0, 0, 0.959456281, 0.000181972961, 0, 0, 0.000181707251, 0, 0, -9.75064301e-06, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 177.122023, 0, 0, 1036175.36, 0, 0, 0, 0, 0, 0, 0, 0, -1035841.09, 26315.5054, 376.640479, 0, 0, 0, 0, 0, 0, 0, 0.962649124, 0.000182898759, 0, 0, 0.000182439383, 0, 0, -1.29325684e-05, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.255714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 177.07875, 0, 0, 1036396.88, 0, 0, 0, 0, 0, 0, 0, 0, -1035991.26, 28777.2828, 376.643289, 0, 0, 0, 0, 0, 0, 0, 0.964041062, 0.000183403018, 0, 0, 0.000182859265, 0, 0, -1.40786598e-05, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 176.96843, 0, 0, 1036986.27, 0, 0, 0, 0, 0, 0, 0, 0, -1036393.38, 35058.413, 376.65032, 0, 0, 0, 0, 0, 0, 0, 0.967498374, 0.000184703198, 0, 0, 0.000183890435, 0, 0, -1.72784918e-05, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.205714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 176.912878, 0, 0, 1037126.88, 0, 0, 0, 0, 0, 0, 0, 0, -1036434.09, 37718.1267, 376.653929, 0, 0, 0, 0, 0, 0, 0, 0.969026942, 0.000183335316, 0, 0, 0.000182389083, 0, 0, -1.85624235e-05, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
