"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "seu generation rate", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
-0.42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88.2361237, 0, 0, 660360.301, 0, 0, 0, 0, 0, 0, 0, 0, -660286.676, 9860.62096, 300.000571, 0, 0, 0, 0, 0, 0, 0, 0.790086656, 4.10338448, 0, 0, 4.10032721, 0, 0, 0.158227091, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.405714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88.2218533, 0, 0, 659299.661, 0, 0, 0, 0, 0, 0, 0, 0, -659161.777, 12716.1528, 300.00082, 0, 0, 0, 0, 0, 0, 0, 0.790502274, 4.10646144, 0, 0, 4.10059136, 0, 0, 0.203732223, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88.1873682, 0, 0, 656719.576, 0, 0, 0, 0, 0, 0, 0, 0, -656426.557, 19615.7399, 300.001529, 0, 0, 0, 0, 0, 0, 0, 0.791575135, 4.11372031, 0, 0, 4.10149679, 0, 0, 0.316604615, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.355714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88.1445368, 0, 0, 656720.734, 0, 0, 0, 0, 0, 0, 0, 0, -656171.416, 25333.2003, 300.002934, 0, 0, 0, 0, 0, 0, 0, 0.791907967, 4.12572628, 0, 0, 4.10230421, 0, 0, 0.407762721, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88.0410489, 0, 0, 656672.517, 0, 0, 0, 0, 0, 0, 0, 0, -655504.876, 39142.7244, 300.006895, 0, 0, 0, 0, 0, 0, 0, 0.79274366, 4.15378702, 0, 0, 4.10505959, 0, 0, 0.633811565, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.305714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87.9695952, 0, 0, 656670.557, 0, 0, 0, 0, 0, 0, 0, 0, -655073.891, 44877.2292, 300.012623, 0, 0, 0, 0, 0, 0, 0, 0.793107103, 4.17367256, 0, 0, 4.10645731, 0, 0, 0.725364968, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87.7970083, 0, 0, 656580.636, 0, 0, 0, 0, 0, 0, 0, 0, -653950.19, 58713.5215, 300.028566, 0, 0, 0, 0, 0, 0, 0, 0.79399092, 4.22020293, 0, 0, 4.11117968, 0, 0, 0.952222056, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.255714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87.69683, 0, 0, 656571.212, 0, 0, 0, 0, 0, 0, 0, 0, -653335.241, 64473.4991, 300.048853, 0, 0, 0, 0, 0, 0, 0, 0.794396158, 4.24780359, 0, 0, 4.11325419, 0, 0, 1.04436742, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87.4549898, 0, 0, 656429.202, 0, 0, 0, 0, 0, 0, 0, 0, -651736.899, 78347.3428, 300.104416, 0, 0, 0, 0, 0, 0, 0, 0.795336031, 4.31246493, 0, 0, 4.12013732, 0, 0, 1.27241883, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.205714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87.3259461, 0, 0, 655846.315, 0, 0, 0, 0, 0, 0, 0, 0, -650321.701, 84393.1175, 300.166622, 0, 0, 0, 0, 0, 0, 0, 0.795788236, 4.31244189, 0, 0, 4.08030196, 0, 0, 1.3759017, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87.0146552, 0, 0, 654270.091, 0, 0, 0, 0, 0, 0, 0, 0, -646754.069, 98886.3293, 300.333521, 0, 0, 0, 0, 0, 0, 0, 0.796792252, 4.29565521, 0, 0, 3.97313809, 0, 0, 1.63170705, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.141428624, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86.7001695, 0, 0, 654850.506, 0, 0, 0, 0, 0, 0, 0, 0, -645386.418, 110471.093, 300.658958, 0, 0, 0, 0, 0, 0, 0, 0.797585301, 4.55640278, 0, 0, 4.21373878, 0, 0, 1.7331424, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86.4745029, 0, 0, 655081.226, 0, 0, 0, 0, 0, 0, 0, 0, -644063.784, 119635.971, 300.911678, 0, 0, 0, 0, 0, 0, 0, 0.798228629, 4.66026162, 0, 0, 4.27409662, 0, 0, 1.8562106, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0771427527, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85.9266437, 0, 0, 654766.586, 0, 0, 0, 0, 0, 0, 0, 0, -640427.223, 136092.092, 302.060026, 0, 0, 0, 0, 0, 0, 0, 0.79891877, 4.77659626, 0, 0, 4.25989598, 0, 0, 2.15643094, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85.8349138, 0, 0, 654624.014, 0, 0, 0, 0, 0, 0, 0, 0, -639642.333, 139246.889, 302.251156, 0, 0, 0, 0, 0, 0, 0, 0.799061672, 4.77369656, 0, 0, 4.22596914, 0, 0, 2.21984508, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0557145992, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85.6232196, 0, 0, 654465.702, 0, 0, 0, 0, 0, 0, 0, 0, -638987.203, 141435.333, 303.031109, 0, 0, 0, 0, 0, 0, 0, 0.799146174, 5.33271188, 0, 0, 4.81566409, 0, 0, 2.27357028, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85.0972397, 0, 0, 652623.508, 0, 0, 0, 0, 0, 0, 0, 0, -635736.93, 147499.104, 304.977381, 0, 0, 0, 0, 0, 0, 0, 0.799446162, 6.72273401, 0, 0, 6.26696683, 0, 0, 2.43316123, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85.0972397, 0, 0, 636170.956, 0, 0, 0, 0, 0, 0, 0, 0, -635654.39, 25631.6499, 304.977381, 0, 0, 0, 0, 0, 0, 0, 0.799446162, 6.72273401, 0, 0, 6.26696683, 0, 0, 2.43316123, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0185714599, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85.0935705, 0, 0, 636032.832, 0, 0, 0, 0, 0, 0, 0, 0, -635504.802, 25907.5703, 305.046399, 0, 0, 0, 0, 0, 0, 0, 0.799544678, 12.4831204, 0, 0, 12.1153944, 0, 0, 2.54093318, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.015, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85.0844463, 0, 0, 635687.185, 0, 0, 0, 0, 0, 0, 0, 0, -635130.709, 26592.8332, 305.218293, 0, 0, 0, 0, 0, 0, 0, 0.799729077, 27.0552425, 0, 0, 26.9103116, 0, 0, 2.79660805, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0135714599, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85.0804895, 0, 0, 635681.65, 0, 0, 0, 0, 0, 0, 0, 0, -635100.135, 27168.5604, 305.287226, 0, 0, 0, 0, 0, 0, 0, 0.799792359, 27.0629423, 0, 0, 26.9113672, 0, 0, 2.85803996, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85.0706496, 0, 0, 635667.985, 0, 0, 0, 0, 0, 0, 0, 0, -635024.323, 28598.8766, 305.458947, 0, 0, 0, 0, 0, 0, 0, 0.799946225, 27.0820238, 0, 0, 26.9140726, 0, 0, 3.01137995, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00857145992, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85.0664049, 0, 0, 635661.583, 0, 0, 0, 0, 0, 0, 0, 0, -634991.044, 29174.8003, 305.527801, 0, 0, 0, 0, 0, 0, 0, 0.800010856, 27.0903459, 0, 0, 26.9152618, 0, 0, 3.07286311, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85.0558498, 0, 0, 635644.988, 0, 0, 0, 0, 0, 0, 0, 0, -634907.772, 30605.0917, 305.69934, 0, 0, 0, 0, 0, 0, 0, 0.800168195, 27.1109488, 0, 0, 26.9183024, 0, 0, 3.22617273, 0, 0, 0, -0.0138413641, -0.0138413641, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00357145992, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85.051317, 0, 0, 635503.574, 0, 0, 0, 0, 0, 0, 0, 0, -634752.913, 30875.995, 305.768119, 0, 0, 0, 0, 0, 0, 0, 0.708922873, 24.2404409, 0, 0, 23.9729714, 0, 0, 3.41645298, 0, 0, 0, 2.53015002e+10, 2.53015002e+10, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85.0400467, 0, 0, 635151.792, 0, 0, 0, 0, 0, 0, 0, 0, -634367.799, 31548.285, 305.939477, 0, 0, 0, 0, 0, 0, 0, 0.481267792, 16.9801783, 0, 0, 16.5283926, 0, 0, 3.89078353, 0, 0, 0, 8.81550825e+10, 8.81550825e+10, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 5e+16, 0, 5.52525457e-21, 3.718e+18, 6.44e+20, 4.85, 4, 85.0400467, 31.5742433, 0.866667, 640277.253, 9.48283304e+17, 4.33770976e+16, 2.67721239e+09, 90553.3745, -82.7996897, -86.8400021, 5e+16, 2.17099414e+17, -635036.759, 81751.2912, 305.939477, 31.5742433, 96.3885118, 0.866667, 0.866667, 5e+16, 0.000160153432, 90553.3743, 0.481267792, 90569.897, -90553.282, -0.000159922977, -90569.8105, 129.251537, 8.5885254e-06, 125.168738, 0, 1.23387596e-08, 1.23387596e-08, 8.81550825e+10, 8.81550825e+10, 0, 0.27, 3.332, 0, -90553.2821, 129.251547, 0, 4.09339491e+16, 1.7131947e-06, 1.88834276e-06, 0, 0
0.00267851265, 0, 0, 5e+16, 0, 5.47692402e-21, 3.718e+18, 6.44e+20, 4.85, 4, 85.0181041, 31.5828893, 0.866667, 640243.11, 4.78594165e+17, 1.92107698e+16, 5.28991686e+09, 66960.495, -82.7992253, -86.8360784, 5e+16, 8.60777501e+17, -634787.197, 83364.3567, 305.909935, 31.5828893, 96.3827687, 0.866667, 0.866667, 5e+16, 0.000921058759, 66960.494, 0.424456231, 66975.4341, -66960.2273, -0.00091908479, -66975.1889, 123.731713, 6.01346523e-05, 119.483071, 0, 1.23370678e-08, 1.23370678e-08, 6.43299032e+10, 6.43299032e+10, 0, 0.27, 3.332, 0, -66960.2282, 123.731774, 0, 4.31880512e+16, 1.72202802e-06, 1.89824262e-06, 0, 0
0.009375, 0, 0, 5e+16, 0, 5.35696986e-21, 3.718e+18, 6.44e+20, 4.85, 4, 84.9635438, 31.6047461, 0.866667, 640156.862, 8.77638701e+16, 2.53906432e+15, 2.87750787e+10, 8201.44425, -82.7980322, -86.8263312, 5e+16, 2.33497429e+18, -634164.596, 87384.6272, 305.836632, 31.6047461, 96.3827687, 0.866667, 0.866667, 5e+16, 0.00265674401, 8201.44159, 0.282346804, 8212.3805, -8200.70899, -0.00265081291, -8211.70978, 109.611724, 0.000177425054, 104.948514, 0, 1.23328702e-08, 1.23328702e-08, 5.20956798e+09, 5.20956798e+09, 0, 0.27, 3.332, 0, -8200.71164, 109.611902, 0, 4.93616457e+16, 1.74262247e-06, 1.92024366e-06, 0, 0
0.0120535127, 0, 0, 5e+16, 0, 5.3045865e-21, 3.718e+18, 6.44e+20, 4.85, 4, 84.9385004, 31.6140774, 0.866667, 640464.143, 3.59465887e+16, 1.02114346e+15, 4.00543559e+10, 5981.12507, -82.7969622, -86.8100728, 5e+16, 3.88133946e+18, -633977.572, 90763.8815, 305.803564, 31.6140774, 96.3827687, 0.866667, 0.866667, 5e+16, 0.00441653632, 5981.12066, 0.273905901, 5992.04471, -5980.53439, -0.00440021461, -5991.53988, 82.4221149, 0.000373391841, 77.6823497, 0, 1.23309767e-08, 1.23309767e-08, 3.79497593e+09, 3.79497593e+09, 0, 0.27, 3.332, 0, -5980.53879, 82.4224886, 0, 4.95337218e+16, 1.77163012e-06, 1.96784845e-06, 0, 0
0.01875, 0, 0, 5e+16, 0, 5.17420891e-21, 3.718e+18, 6.44e+20, 4.85, 4, 84.8762109, 31.6376852, 0.866667, 641226.621, 3.92863464e+15, 1.06428353e+14, 9.20262539e+10, 348.051551, -82.7941862, -86.7698781, 5e+16, 7.46424698e+18, -633508.394, 99190.186, 305.721299, 31.6376852, 96.3689351, 0.866667, 0.866667, 5e+16, 0.00847638781, 348.043092, 0.252442347, 358.926456, -347.844337, -0.00843630367, -358.861429, 11.7595919, 0.000823364502, 6.82762927, 0, 1.23262665e-08, 1.23262665e-08, 221463361, 221463361, 0, 0.27, 3.332, 0, -347.852774, 11.7604152, 0, 4.99728753e+16, 1.83670513e-06, 2.07296745e-06, 0, 0
0.0214285127, 0, 0, 5e+16, 0, 5.12513906e-21, 3.718e+18, 6.44e+20, 4.85, 4, 84.8479315, 31.647572, 0.866667, 641597.757, 1.65899103e+15, 4.15473857e+13, 1.1583051e+11, 255.007053, -82.7906457, -86.747724, 5e+16, 9.99123794e+18, -633310.228, 102645.329, 305.689265, 31.647572, 96.3269294, 0.866667, 0.866667, 5e+16, 0.0116480562, 254.995419, 0.252151493, 265.943255, -254.809213, -0.0115773401, -265.832432, 9.10198986, 0.0012732394, 4.12144726, 0, 1.23244326e-08, 1.23244326e-08, 162099753, 162099753, 0, 0.27, 3.332, 0, -254.820791, 9.10326307, 0, 4.99801344e+16, 1.87856607e-06, 2.11757065e-06, 0, 0
