"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "seu generation rate", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
-1.77635684e-15, 0, 0, 5e+15, 0, 8.94340045e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.44890552, 116.280023, 1.25944174, 47160.2005, 0, 1754.91108, 1245.8176, 6.17804002e-10, -0.00284070901, -2.88611262, 5e+15, -1.86050722e+13, 238.74401, 47159.5962, 300.000266, 117.19603, 116.280023, 1.28078819, 1.25944174, 5e+15, 2.62565612e-11, 5.91958267e-10, 0.129443541, 157.287025, 1.18011913e-12, -4.67494173e-12, 0.214093184, -5.91957091e-10, -2.58370263e-11, 157.286879, 0, 1.20000151e-08, 1.20000151e-08, 9.1302009e-06, 9.1302009e-06, 0, 0.27, 3.332, 0, -3.4948226e-12, -6.17794117e-10, 0, 1.5e+15, 0, 0, 2e+18, 2.68648978e+16
-1.77635684e-15, 0, 0, 1.5e+15, 0, 8.94340045e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.44890552, 116.280023, 1.25944174, 18501.8397, 0, 1754.91108, 1245.8176, 6.17804002e-10, -0.00284070901, -2.88611262, 1.5e+15, -1.86050722e+13, 238.74401, -18500.2993, 300.000266, 117.19603, 116.280023, 1.28078819, 1.25944174, 1.5e+15, 2.62565612e-11, 5.91958267e-10, 0.129443541, 157.287025, 1.18011913e-12, -4.67494173e-12, 0.214093184, -5.91957091e-10, -2.58370263e-11, 157.286879, 0, 1.20000151e-08, 1.20000151e-08, 9.1302009e-06, 9.1302009e-06, 0, 0.27, 3.332, 0, -3.4948226e-12, -6.17794117e-10, 0, 1.5e+15, 0, 0, 2e+18, 2.68648978e+16
0.125, 0, 0, 1.5e+15, 0, 8.94339182e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.44592122, 116.279969, 1.25944174, 18531.233, 0, 1592.2844, 13074.6304, 8.33124312e-10, -0.00237047347, -2.94390349, 1.5e+15, -2.57677556e+13, 72.3284471, -18531.0918, 300.000263, 117.19603, 116.279969, 1.28078819, 1.25944174, 1.5e+15, 3.65194795e-10, 4.87037624e-10, 0.128074273, 142.963185, 1.06299569e-12, -1.5111159e-10, 0.486478673, -4.87036464e-10, -3.32464323e-10, 142.962357, 0, 1.2000015e-08, 1.2000015e-08, 1.3467054e-05, 1.3467054e-05, 0, 0.27, 3.332, 0, -1.50048594e-10, -8.19500787e-10, 0, 1.5e+15, 0, 0, 2e+18, 2.49972475e+16
0.125, 0, 0, 5e+15, 0, 8.94339182e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.44592122, 116.279969, 1.25944174, 47395.4254, 0, 1592.2844, 13074.6304, 8.33124312e-10, -0.00237047347, -2.94390349, 5e+15, -2.57677556e+13, 106.642963, 47395.3054, 300.000263, 117.19603, 116.279969, 1.28078819, 1.25944174, 5e+15, 3.65194795e-10, 4.87037624e-10, 0.128074273, 142.963185, 1.06299569e-12, -1.5111159e-10, 0.486478673, -4.87036464e-10, -3.32464323e-10, 142.962357, 0, 1.2000015e-08, 1.2000015e-08, 1.3467054e-05, 1.3467054e-05, 0, 0.27, 3.332, 0, -1.50048594e-10, -8.19500787e-10, 0, 1.5e+15, 0, 0, 2e+18, 2.49972475e+16
0.25, 0, 0, 5e+15, 0, 8.94340877e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.4470068, 116.280009, 1.25944174, 47339.4526, 0, 1670.25119, 27577.0838, 1.26525827e-09, -0.00222023165, -2.96428275, 5e+15, -3.75850987e+13, 89.274776, 47339.3685, 300.000269, 117.19603, 116.280009, 1.28078819, 1.25944174, 5e+15, 7.05298391e-10, 5.59977873e-10, 0.127171435, 157.714693, 1.60288904e-12, -5.55337136e-12, 0.732018503, -5.59975579e-10, -7.05276528e-10, 157.712995, 0, 1.20000153e-08, 1.20000153e-08, 2.1471332e-05, 2.1471332e-05, 0, 0.27, 3.332, 0, -3.95048232e-12, -1.26525211e-09, 0, 1.5e+15, 0, 0, 2e+18, 2.69056516e+16
0.25, 0, 0, 1.5e+15, 0, 8.94340877e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.4470068, 116.280009, 1.25944174, 18511.188, 0, 1670.25119, 27577.0838, 1.26525827e-09, -0.00222023165, -2.96428275, 1.5e+15, -3.75850987e+13, 151.266604, -18510.5699, 300.000269, 117.19603, 116.280009, 1.28078819, 1.25944174, 1.5e+15, 7.05298391e-10, 5.59977873e-10, 0.127171435, 157.714693, 1.60288904e-12, -5.55337136e-12, 0.732018503, -5.59975579e-10, -7.05276528e-10, 157.712995, 0, 1.20000153e-08, 1.20000153e-08, 2.1471332e-05, 2.1471332e-05, 0, 0.27, 3.332, 0, -3.95048232e-12, -1.26525211e-09, 0, 1.5e+15, 0, 0, 2e+18, 2.69056516e+16
0.375, 0, 0, 1.5e+15, 0, 8.94340871e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.44213956, 116.279941, 1.25944174, 18563.4635, 0, 1450.2231, 45187.1497, 1.59159076e-09, -0.00100476336, -2.97218197, 1.5e+15, -5.78818779e+13, 208.062954, -18562.2975, 300.000269, 117.19603, 116.279941, 1.28078819, 1.25944174, 1.5e+15, 1.16095477e-09, 4.37978834e-10, 0.126054979, 143.710952, 2.9572599e-12, -2.40094506e-10, 1.43348135, -4.3796885e-10, -1.13585677e-09, 143.703803, 0, 1.20000153e-08, 1.20000153e-08, 2.80701678e-05, 2.80701678e-05, 0, 0.27, 3.332, 0, -2.37137246e-10, -1.57382562e-09, 0, 1.5e+15, 0, 0, 2e+18, 2.50734593e+16
0.375, 0, 0, 5e+15, 0, 8.94340871e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.44213956, 116.279941, 1.25944174, 47549.576, 0, 1450.2231, 45187.1497, 1.59159076e-09, -0.00100476336, -2.97218197, 5e+15, -5.78818779e+13, 251.099015, 47548.913, 300.000269, 117.19603, 116.279941, 1.28078819, 1.25944174, 5e+15, 1.16095477e-09, 4.37978834e-10, 0.126054979, 143.710952, 2.9572599e-12, -2.40094506e-10, 1.43348135, -4.3796885e-10, -1.13585677e-09, 143.703803, 0, 1.20000153e-08, 1.20000153e-08, 2.80701678e-05, 2.80701678e-05, 0, 0.27, 3.332, 0, -2.37137246e-10, -1.57382562e-09, 0, 1.5e+15, 0, 0, 2e+18, 2.50734593e+16
0.5, 0, 0, 5e+15, 0, 8.94343487e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.44134618, 116.279968, 1.25944174, 47583.1082, 0, 1451.40512, 81139.4613, 2.27674335e-09, -0.00019035536, -2.98652125, 5e+15, -8.71019365e+13, 236.49457, 47582.5205, 300.000279, 117.19603, 116.279968, 1.28078819, 1.25944174, 5e+15, 1.80048629e-09, 4.77771218e-10, 0.125192441, 158.927922, 3.21410484e-12, -1.48989439e-10, 1.46384459, -4.77760407e-10, -1.7943113e-09, 158.921181, 0, 1.20000158e-08, 1.20000158e-08, 4.1063476e-05, 4.1063476e-05, 0, 0.27, 3.332, 0, -1.45775334e-10, -2.27207171e-09, 0, 1.5e+15, 0, 0, 2e+18, 2.7028385e+16
0.5, 0, 0, 1.5e+15, 0, 8.94343487e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.44134618, 116.279968, 1.25944174, 18565.1792, 0, 1451.40512, 81139.4613, 2.27674335e-09, -0.00019035536, -2.98652125, 1.5e+15, -8.71019365e+13, 305.814931, -18562.6602, 300.000279, 117.19603, 116.279968, 1.28078819, 1.25944174, 1.5e+15, 1.80048629e-09, 4.77771218e-10, 0.125192441, 158.927922, 3.21410484e-12, -1.48989439e-10, 1.46384459, -4.77760407e-10, -1.7943113e-09, 158.921181, 0, 1.20000158e-08, 1.20000158e-08, 4.1063476e-05, 4.1063476e-05, 0, 0.27, 3.332, 0, -1.45775334e-10, -2.27207171e-09, 0, 1.5e+15, 0, 0, 2e+18, 2.7028385e+16
