"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "seu generation rate", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
-1.77635684e-15, 0, 0, 1e+19, 0, 9.2382071e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34457699, 12.1176471, 0.0128722772, 8982.37687, 0, 1.81088352e+18, 1.49074782e-07, 0.0288732658, -1.04248203e-08, -1.70387236, 1e+19, 12.478818, 0.0011881569, 8982.37687, 300.104026, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 6.02354689e-24, 0.0288732658, 0.111422879, 0.028881862, 0.0157307234, -1.30972975e-25, 0.0157307262, 0.0240398392, -6.02156056e-24, 0.0240503323, 0, 1.20059091e-08, 1.20059091e-08, 281.958937, 281.958937, 0, 0.27, 3.332, 0, 0.0157307234, 0.0240398392, 0, 7.66088228e+17, 0, 0, 0, 0
0.0666666667, 0, 0, 1e+19, 0, 9.23869298e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34457698, 12.1176471, 0.0128722772, 10185.6988, 0, 1.81088531e+18, 1.79770544e-07, 0.0334177629, -1.04402777e-08, -1.70645383, 1e+19, 15.0482903, 0.00187876222, 10185.6988, 300.104194, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 6.91900105e-24, 0.0334177629, 0.111369151, 0.0334255013, 0.0230780804, -2.88456101e-25, 0.0230780859, 0.0240821443, -6.91101643e-24, 0.0240926466, 0, 1.20059187e-08, 1.20059187e-08, 282.265415, 282.265415, 0, 0.27, 3.332, 0, 0.0230780804, 0.0240821443, 0, 7.66088999e+17, 0, 0, 0, 0
0.125, 0, 0, 1e+19, 0, 9.2391176e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34457698, 12.1176471, 0.0128722772, 10185.706, 0, 1.81088664e+18, 1.79770544e-07, 0.0398751716, -1.04402777e-08, -1.70645383, 1e+19, 15.0482903, 0.00224110773, 10185.706, 300.104341, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 7.2699866e-24, 0.0398751716, 0.111331313, 0.0398813834, 0.0314833599, -2.88456101e-25, 0.0314833654, 0.0241122952, -7.26200198e-24, 0.0241228099, 0, 1.2005927e-08, 1.2005927e-08, 282.792424, 282.792424, 0, 0.27, 3.332, 0, 0.0314833599, 0.0241122952, 0, 7.66089829e+17, 0, 0, 0, 0
0.191666667, 0, 0, 1e+19, 0, 9.24057674e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34457695, 12.1176471, 0.0128722772, 10185.7125, 0, 1.81089199e+18, 2.84283926e-07, 0.0522682774, -1.04723063e-08, -1.71277204, 1e+19, 23.7968252, 0.00362628935, 10185.7125, 300.104846, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 1.03123169e-23, 0.0522682774, 0.111183948, 0.0522733731, 0.0462248127, -8.27465685e-25, 0.0462248237, 0.0242588453, -1.02707493e-23, 0.0242693875, 0, 1.20059557e-08, 1.20059557e-08, 283.864453, 283.864453, 0, 0.27, 3.332, 0, 0.0462248127, 0.0242588453, 0, 7.66092142e+17, 0, 0, 0, 0
0.25, 0, 0, 1e+19, 0, 9.24185197e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34457695, 12.1176471, 0.0128722772, 10185.7302, 0, 1.81089599e+18, 2.84283926e-07, 0.0678126863, -1.04723063e-08, -1.71277204, 1e+19, 23.7968252, 0.00411201479, 10185.7302, 300.105288, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 1.15073623e-23, 0.0678126863, 0.111097036, 0.0678164106, 0.0630897479, -8.27465685e-25, 0.0630897589, 0.024364352, -1.14657948e-23, 0.0243749312, 0, 1.20059808e-08, 1.20059808e-08, 285.708537, 285.708537, 0, 0.27, 3.332, 0, 0.0630897479, 0.024364352, 0, 7.66094636e+17, 0, 0, 0, 0
0.316666667, 0, 0, 1e+19, 0, 9.24429155e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.3445769, 12.1176471, 0.0128722772, 10185.7422, 0, 1.81090495e+18, 5.67630624e-07, 0.0817389504, -1.05319549e-08, -1.72230494, 1e+19, 47.5148471, 0.00550882729, 10185.7422, 300.106133, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 1.97706742e-23, 0.0817389504, 0.110899093, 0.0817421448, 0.0779470147, -2.18433545e-24, 0.0779470311, 0.0246013031, -1.96256277e-23, 0.0246119281, 0, 1.20060288e-08, 1.20060288e-08, 287.435017, 287.435017, 0, 0.27, 3.332, 0, 0.0779470147, 0.0246013031, 0, 7.66098502e+17, 0, 0, 0, 0
0.375, 0, 0, 1e+19, 0, 9.24642361e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.3445769, 12.1176471, 0.0128722772, 10185.7697, 0, 1.81091163e+18, 5.67630624e-07, 0.0982627371, -1.05319549e-08, -1.72230494, 1e+19, 47.5148471, 0.00599929508, 10185.7697, 300.106871, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 2.30105865e-23, 0.0982627371, 0.11078278, 0.0982653886, 0.0949445962, -2.18433545e-24, 0.0949446127, 0.024771191, -2.286554e-23, 0.0247818776, 0, 1.20060707e-08, 1.20060707e-08, 290.404424, 290.404424, 0, 0.27, 3.332, 0, 0.0949445962, 0.024771191, 0, 7.66102669e+17, 0, 0, 0, 0
0.441666667, 0, 0, 1e+19, 0, 9.24985406e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34457682, 12.1176471, 0.0128722772, 10185.7873, 0, 1.81092422e+18, 1.30814809e-06, 0.112823833, -1.06090506e-08, -1.73381396, 1e+19, 109.500457, 0.00741167504, 10185.7873, 300.108058, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 4.46290407e-23, 0.112823833, 0.110537462, 0.112826202, 0.109974444, -6.39062715e-24, 0.109974466, 0.0251113059, -4.40898108e-23, 0.0251220566, 0, 1.20061382e-08, 1.20061382e-08, 292.887343, 292.887343, 0, 0.27, 3.332, 0, 0.109974444, 0.0251113059, 0, 7.66108103e+17, 0, 0, 0, 0
0.5, 0, 0, 1e+19, 0, 9.25285212e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34457682, 12.1176471, 0.0128722772, 10185.8246, 0, 1.81093361e+18, 1.30814809e-06, 0.129789354, -1.06090506e-08, -1.73381396, 1e+19, 109.500457, 0.0079084152, 10185.8246, 300.109096, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 5.30965241e-23, 0.129789354, 0.11039378, 0.129791448, 0.127171899, -6.39062715e-24, 0.127171921, 0.0253556452, -5.25572942e-23, 0.0253664816, 0, 1.20061971e-08, 1.20061971e-08, 297.158074, 297.158074, 0, 0.27, 3.332, 0, 0.127171899, 0.0253556452, 0, 7.6611396e+17, 0, 0, 0, 0
0.566666667, 0, 0, 1e+19, 0, 9.25728955e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34457673, 12.1176471, 0.0128722772, 10185.8479, 0, 1.81094988e+18, 3.56308902e-06, 0.14476339, -1.07358223e-08, -1.74762633, 1e+19, 298.249612, 0.00933820293, 10185.8479, 300.110629, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 1.19132447e-22, 0.14476339, 0.110101774, 0.144765314, 0.142424286, -2.07895884e-23, 0.142424313, 0.0257469633, -1.17036932e-22, 0.0257578823, 0, 1.20062842e-08, 1.20062842e-08, 300.013138, 300.013138, 0, 0.27, 3.332, 0, 0.142424286, 0.0257469633, 0, 7.66120983e+17, 0, 0, 0, 0
