"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "seu generation rate", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
-1.77635684e-15, 0, 0, 5e+15, 0, 9.24621218e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.47613063, 116.280168, 1.25944174, 46093.1122, 0, 3968.01684, 1.4693379e+10, 9.7777946e-06, -0.00930470067, -3.33405127, 5e+15, 5.61325517e+14, -106.650705, 46092.9889, 300.106798, 117.19603, 116.280168, 1.28078819, 1.25944174, 5e+15, 9.77752394e-06, 2.72345325e-10, 0.0230262018, 0.00225213247, -5.99506728e-12, -1.30067883e-06, -2.9554035e-06, -2.72279333e-10, -9.6906248e-06, -0.00225213053, 0, 1.20060666e-08, 1.20060666e-08, 0.0177718362, 0.0177718362, 0, 0.27, 3.332, 0, -1.30068483e-06, -9.69089708e-06, 0, 1.5e+15, 0, 0, 2e+18, 2.02615551e+16
-1.77635684e-15, 0, 0, 1.5e+15, 0, 9.24621218e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.47613063, 116.280168, 1.25944174, 1820.79432, 0, 3968.01684, 1.4693379e+10, 9.7777946e-06, -0.00930470067, -3.33405127, 1.5e+15, 5.61325517e+14, -106.650705, -1817.66818, 300.106798, 117.19603, 116.280168, 1.28078819, 1.25944174, 1.5e+15, 9.77752394e-06, 2.72345325e-10, 0.0230262018, 0.00225213247, -5.99506728e-12, -1.30067883e-06, -2.9554035e-06, -2.72279333e-10, -9.6906248e-06, -0.00225213053, 0, 1.20060666e-08, 1.20060666e-08, 0.0177718362, 0.0177718362, 0, 0.27, 3.332, 0, -1.30068483e-06, -9.69089708e-06, 0, 1.5e+15, 0, 0, 2e+18, 2.02615551e+16
0.125, 0, 0, 1.5e+15, 0, 9.24717822e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.47746377, 116.280171, 1.25944174, 1879.08064, 0, 4019.56111, 1.69411601e+10, 1.16347259e-05, -0.0103050979, -3.33906498, 1.5e+15, 5.98225392e+14, -295.340255, -1855.72578, 300.107132, 117.19603, 116.280171, 1.28078819, 1.25944174, 1.5e+15, 1.16344659e-05, 2.7028681e-10, 0.0230701484, 0.00204503997, -5.77981162e-12, -3.41095677e-06, -5.28898202e-06, -2.70225005e-10, -1.11232266e-05, -0.00204503313, 0, 1.20060856e-08, 1.20060856e-08, 0.0224796724, 0.0224796724, 0, 0.27, 3.332, 0, -3.41096255e-06, -1.11234968e-05, 0, 1.5e+15, 0, 0, 2e+18, 1.86101688e+16
0.125, 0, 0, 5e+15, 0, 9.24717822e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.47746377, 116.280171, 1.25944174, 46077.5704, 0, 4019.56111, 1.69411601e+10, 1.16347259e-05, -0.0103050979, -3.33906498, 5e+15, 5.98225392e+14, -226.447417, 46077.0139, 300.107132, 117.19603, 116.280171, 1.28078819, 1.25944174, 5e+15, 1.16344659e-05, 2.7028681e-10, 0.0230701484, 0.00204503997, -5.77981162e-12, -3.41095677e-06, -5.28898202e-06, -2.70225005e-10, -1.11232266e-05, -0.00204503313, 0, 1.20060856e-08, 1.20060856e-08, 0.0224796724, 0.0224796724, 0, 0.27, 3.332, 0, -3.41096255e-06, -1.11234968e-05, 0, 1.5e+15, 0, 0, 2e+18, 1.86101688e+16
0.25, 0, 0, 5e+15, 0, 9.24992499e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.48334918, 116.280209, 1.25944174, 45867.692, 0, 5069.54995, 2.07377316e+10, 1.45884765e-05, -0.0101915725, -3.35017767, 5e+15, 8.03434951e+14, -542.098825, 45864.4884, 300.108083, 117.19603, 116.280209, 1.28078819, 1.25944174, 5e+15, 1.45881319e-05, 3.6687031e-10, 0.0229861765, 0.00225410941, -7.17494463e-12, -5.2724233e-06, -7.70709767e-06, -3.66800142e-10, -1.36020272e-05, -0.00225409623, 0, 1.20061396e-08, 1.20061396e-08, 0.0284679723, 0.0284679723, 0, 0.27, 3.332, 0, -5.27243048e-06, -1.3602394e-05, 0, 1.5e+15, 0, 0, 2e+18, 2.01678841e+16
0.25, 0, 0, 1.5e+15, 0, 9.24992499e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.48334918, 116.280209, 1.25944174, 1934.54937, 0, 5069.54995, 2.07377316e+10, 1.45884765e-05, -0.0101915725, -3.35017767, 1.5e+15, 8.03434951e+14, -608.412296, -1836.3866, 300.108083, 117.19603, 116.280209, 1.28078819, 1.25944174, 1.5e+15, 1.45881319e-05, 3.6687031e-10, 0.0229861765, 0.00225410941, -7.17494463e-12, -5.2724233e-06, -7.70709767e-06, -3.66800142e-10, -1.36020272e-05, -0.00225409623, 0, 1.20061396e-08, 1.20061396e-08, 0.0284679723, 0.0284679723, 0, 0.27, 3.332, 0, -5.27243048e-06, -1.3602394e-05, 0, 1.5e+15, 0, 0, 2e+18, 2.01678841e+16
0.375, 0, 0, 1.5e+15, 0, 9.25461588e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.49267407, 116.280257, 1.25944174, 2091.85932, 0, 6801.30306, 2.8511809e+10, 2.19237763e-05, -0.0119217424, -3.36773234, 1.5e+15, 1.21013788e+15, -947.560296, -1864.94099, 300.109706, 117.19603, 116.280257, 1.28078819, 1.25944174, 1.5e+15, 2.19233465e-05, 5.00344896e-10, 0.022933558, 0.00204672724, -2.51231463e-11, -1.21567782e-05, -9.34559715e-06, -4.9971376e-10, -1.82440638e-05, -0.00204670591, 0, 1.20062318e-08, 1.20062318e-08, 0.047098712, 0.047098712, 0, 0.27, 3.332, 0, -1.21568034e-05, -1.82445635e-05, 0, 1.5e+15, 0, 0, 2e+18, 1.83777794e+16
0.375, 0, 0, 5e+15, 0, 9.25461588e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.49267407, 116.280257, 1.25944174, 45491.7117, 0, 6801.30306, 2.8511809e+10, 2.19237763e-05, -0.0119217424, -3.36773234, 5e+15, 1.21013788e+15, -854.217072, 45483.691, 300.109706, 117.19603, 116.280257, 1.28078819, 1.25944174, 5e+15, 2.19233465e-05, 5.00344896e-10, 0.022933558, 0.00204672724, -2.51231463e-11, -1.21567782e-05, -9.34559715e-06, -4.9971376e-10, -1.82440638e-05, -0.00204670591, 0, 1.20062318e-08, 1.20062318e-08, 0.047098712, 0.047098712, 0, 0.27, 3.332, 0, -1.21568034e-05, -1.82445635e-05, 0, 1.5e+15, 0, 0, 2e+18, 1.83777794e+16
0.5, 0, 0, 5e+15, 0, 9.26111947e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.50710191, 116.280335, 1.25944174, 44882.2618, 0, 11831.2635, 3.6022843e+10, 2.70828389e-05, -0.0120386049, -3.38820263, 5e+15, 2.28745541e+15, -1225.72188, 44865.5216, 300.111954, 117.19603, 116.280335, 1.28078819, 1.25944174, 5e+15, 2.70820254e-05, 9.38627955e-10, 0.0228041659, 0.00225637273, -2.07984023e-11, -1.4026167e-05, -4.00423643e-06, -9.38397498e-10, -2.31668457e-05, -0.00225636918, 0, 1.20063595e-08, 1.20063595e-08, 0.0616908015, 0.0616908015, 0, 0.27, 3.332, 0, -1.40261878e-05, -2.31677841e-05, 0, 1.5e+15, 0, 0, 2e+18, 1.97598808e+16
0.5, 0, 0, 1.5e+15, 0, 9.26111947e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.50710191, 116.280335, 1.25944174, 2263.51771, 0, 11831.2635, 3.6022843e+10, 2.70828389e-05, -0.0120386049, -3.38820263, 1.5e+15, 2.28745541e+15, -1333.305, -1829.15559, 300.111954, 117.19603, 116.280335, 1.28078819, 1.25944174, 1.5e+15, 2.70820254e-05, 9.38627955e-10, 0.0228041659, 0.00225637273, -2.07984023e-11, -1.4026167e-05, -4.00423643e-06, -9.38397498e-10, -2.31668457e-05, -0.00225636918, 0, 1.20063595e-08, 1.20063595e-08, 0.0616908015, 0.0616908015, 0, 0.27, 3.332, 0, -1.40261878e-05, -2.31677841e-05, 0, 1.5e+15, 0, 0, 2e+18, 1.97598808e+16
0.625, 0, 0, 1.5e+15, 0, 9.26962454e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.5260067, 116.280423, 1.25944174, 2480.06798, 0, 23052.946, 4.59794384e+10, 3.84325664e-05, -0.0137010579, -3.41341244, 1.5e+15, 4.77462167e+15, -1687.37382, -1817.55517, 300.114892, 117.19603, 116.280423, 1.28078819, 1.25944174, 1.5e+15, 3.84311228e-05, 1.82698959e-09, 0.0227151255, 0.00204454552, -1.12796765e-10, -2.53854752e-05, 6.15370301e-06, -1.82350428e-09, -2.88535761e-05, -0.00204453626, 0, 1.20065264e-08, 1.20065264e-08, 0.0978136835, 0.0978136835, 0, 0.27, 3.332, 0, -2.5385588e-05, -2.88553996e-05, 0, 1.5e+15, 0, 0, 2e+18, 1.77849323e+16
0.625, 0, 0, 5e+15, 0, 9.26962454e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.5260067, 116.280423, 1.25944174, 44043.6896, 0, 23052.946, 4.59794384e+10, 3.84325664e-05, -0.0137010579, -3.41341244, 5e+15, 4.77462167e+15, -1588.65577, 44015.0289, 300.114892, 117.19603, 116.280423, 1.28078819, 1.25944174, 5e+15, 3.84311228e-05, 1.82698959e-09, 0.0227151255, 0.00204454552, -1.12796765e-10, -2.53854752e-05, 6.15370301e-06, -1.82350428e-09, -2.88535761e-05, -0.00204453626, 0, 1.20065264e-08, 1.20065264e-08, 0.0978136835, 0.0978136835, 0, 0.27, 3.332, 0, -2.5385588e-05, -2.88553996e-05, 0, 1.5e+15, 0, 0, 2e+18, 1.77849323e+16
0.75, 0, 0, 5e+15, 0, 9.28000652e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.55006312, 116.28052, 1.25944174, 42956.4944, 0, 59058.1035, 5.29175258e+10, 4.29057823e-05, -0.0134386881, -3.44109587, 5e+15, 1.26264891e+16, -1974.48686, 42911.0919, 300.118475, 117.19603, 116.28052, 1.28078819, 1.25944174, 5e+15, 4.2901908e-05, 4.85543926e-09, 0.0225461434, 0.00225150666, -9.34750221e-11, -2.65149921e-05, 2.52973132e-05, -4.8545394e-09, -3.37272724e-05, -0.00225136454, 0, 1.20067299e-08, 1.20067299e-08, 0.115683634, 0.115683634, 0, 0.27, 3.332, 0, -2.65150856e-05, -3.3732127e-05, 0, 1.5e+15, 0, 0, 2e+18, 1.8916005e+16
0.75, 0, 0, 1.5e+15, 0, 9.28000652e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.55006312, 116.28052, 1.25944174, 2742.67131, 0, 59058.1035, 5.29175258e+10, 4.29057823e-05, -0.0134386881, -3.44109587, 1.5e+15, 1.26264891e+16, -2119.23596, -1741.00111, 300.118475, 117.19603, 116.28052, 1.28078819, 1.25944174, 1.5e+15, 4.2901908e-05, 4.85543926e-09, 0.0225461434, 0.00225150666, -9.34750221e-11, -2.65149921e-05, 2.52973132e-05, -4.8545394e-09, -3.37272724e-05, -0.00225136454, 0, 1.20067299e-08, 1.20067299e-08, 0.115683634, 0.115683634, 0, 0.27, 3.332, 0, -2.65150856e-05, -3.3732127e-05, 0, 1.5e+15, 0, 0, 2e+18, 1.8916005e+16
0.875, 0, 0, 1.5e+15, 0, 9.29247192e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.5789876, 116.280617, 1.25944174, 2932.01329, 0, 171159.54, 6.03169867e+10, 5.53524865e-05, -0.014855727, -3.47339608, 1.5e+15, 3.72082207e+16, -2414.93187, -1662.77058, 300.122771, 117.19603, 116.280617, 1.28078819, 1.25944174, 1.5e+15, 5.53424988e-05, 1.36630517e-08, 0.0224250098, 0.0020288868, -1.01309913e-09, -4.0663629e-05, 6.24380749e-05, -1.36254399e-08, -3.75401313e-05, -0.00202792582, 0, 1.2006974e-08, 1.2006974e-08, 0.163497975, 0.163497975, 0, 0.27, 3.332, 0, -4.06646421e-05, -3.75537567e-05, 0, 1.5e+15, 0, 0, 2e+18, 1.67650144e+16
