"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "seu generation rate", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
-1.77635684e-15, 0, 0, 1e+19, 0, 8.94244221e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458612, 12.1176471, 0.0128722772, 8973.49822, 0, 1.80985824e+18, 4.15271782e-19, 17.9613284, -5.67600779e-06, -1.33734594, 1e+19, 3.47786033e-11, 0.00358167881, 8973.49822, 299.999923, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 1.81540639e-35, 17.9613284, 0.593606473, 17.8993126, 0.00426502799, -1.08732989e-37, 0.00425958763, -17.9613275, -1.8153623e-35, -17.8993117, 0, 1.19999956e-08, 1.19999956e-08, -202677.767, -202677.767, 0, 0.27, 3.332, 0, 0.00426502799, -17.9613275, 0, 7.65558479e+17, 0, 0, 0, 0
0.0666666667, 0, 0, 1e+19, 0, 8.94244227e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.3445861, 12.1176471, 0.0128722772, 10176.7573, 0, 1.80985822e+18, 4.40764688e-19, 17.9174456, -5.65348107e-06, -1.33816737, 1e+19, 3.69136091e-11, -0.00188092368, 10176.7573, 299.999923, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 1.90016998e-35, 17.9174456, 0.59372389, 17.8554771, -0.0029726317, -2.09708797e-37, -0.00296800158, -17.9174453, -1.9000157e-35, -17.8554767, 0, 1.19999956e-08, 1.19999956e-08, -202381.796, -202381.796, 0, 0.27, 3.332, 0, -0.0029726317, -17.9174453, 0, 7.65558484e+17, 0, 0, 0, 0
0.125, 0, 0, 1e+19, 0, 8.94244233e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.3445861, 12.1176471, 0.0128722772, 10176.7541, 0, 1.80985822e+18, 4.40764688e-19, 17.8883257, -5.65348107e-06, -1.33816737, 1e+19, 3.69136091e-11, -0.00394675207, 10176.7541, 299.999923, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 1.92931397e-35, 17.8883257, 0.593831547, 17.8263999, -0.00297787199, -2.09708797e-37, -0.00297324187, -17.8883253, -1.9291597e-35, -17.8263995, 0, 1.19999957e-08, 1.19999957e-08, -201873.489, -201873.489, 0, 0.27, 3.332, 0, -0.00297787199, -17.8883253, 0, 7.65558484e+17, 0, 0, 0, 0
0.191666667, 0, 0, 1e+19, 0, 8.94244178e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458615, 12.1176471, 0.0128722772, 10176.7308, 0, 1.80985826e+18, 5.13602099e-19, 17.990956, -5.70739627e-06, -1.34027609, 1e+19, 4.30136707e-11, -0.00319883639, 10176.7308, 299.999923, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 2.16891317e-35, 17.990956, 0.59431921, 17.9289069, -0.0059207492, -3.4860069e-37, -0.00591198717, -17.9909543, -2.16854821e-35, -17.9289053, 0, 1.19999957e-08, 1.19999957e-08, -202581.286, -202581.286, 0, 0.27, 3.332, 0, -0.0059207492, -17.9909543, 0, 7.6555847e+17, 0, 0, 0, 0
0.25, 0, 0, 1e+19, 0, 8.94244131e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458615, 12.1176471, 0.0128722772, 10176.7126, 0, 1.80985826e+18, 5.13602099e-19, 18.0606527, -5.70739627e-06, -1.34027609, 1e+19, 4.30136707e-11, -0.00213008551, 10176.7126, 299.999923, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 2.25218494e-35, 18.0606527, 0.594563189, 17.998593, -0.00592488495, -3.4860069e-37, -0.00591612292, -18.060651, -2.25181997e-35, -17.9985913, 0, 1.19999956e-08, 1.19999956e-08, -203797.889, -203797.889, 0, 0.27, 3.332, 0, -0.00592488495, -18.060651, 0, 7.65558469e+17, 0, 0, 0, 0
0.316666667, 0, 0, 1e+19, 0, 8.9424409e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458616, 12.1176471, 0.0128722772, 10176.6929, 0, 1.80985826e+18, 6.04219723e-19, 18.0748993, -5.71593243e-06, -1.34251646, 1e+19, 5.06028077e-11, -0.00559014021, 10176.6929, 299.999923, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 2.54676059e-35, 18.0748993, 0.595219963, 18.012819, -0.00887523636, -4.87984341e-37, -0.008863513, -18.0748956, -2.5461529e-35, -18.0128154, 0, 1.19999956e-08, 1.19999956e-08, -203909.472, -203909.472, 0, 0.27, 3.332, 0, -0.00887523636, -18.0748956, 0, 7.65558467e+17, 0, 0, 0, 0
0.375, 0, 0, 1e+19, 0, 8.94244055e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458616, 12.1176471, 0.0128722772, 10176.6769, 0, 1.80985825e+18, 6.04219723e-19, 18.0859345, -5.71593243e-06, -1.34251646, 1e+19, 5.06028077e-11, -0.00739249515, 10176.6769, 299.999923, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 2.65035848e-35, 18.0859345, 0.595554602, 18.0239512, -0.00887942717, -4.87984341e-37, -0.00886770381, -18.0859308, -2.64975079e-35, -18.0239475, 0, 1.19999956e-08, 1.19999956e-08, -204102.1, -204102.1, 0, 0.27, 3.332, 0, -0.00887942717, -18.0859308, 0, 7.65558466e+17, 0, 0, 0, 0
0.441666667, 0, 0, 1e+19, 0, 8.94243952e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458625, 12.1176471, 0.0128722772, 10176.6332, 0, 1.8098583e+18, 7.42411179e-19, 18.246878, -5.80098907e-06, -1.34535635, 1e+19, 6.21762064e-11, -0.00650849329, 10176.6332, 299.999923, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 3.10436103e-35, 18.246878, 0.596367431, 18.1847231, -0.0116149436, -6.40063173e-37, -0.0116020154, -18.2468719, -3.10351218e-35, -18.1847169, 0, 1.19999956e-08, 1.19999956e-08, -205218.46, -205218.46, 0, 0.27, 3.332, 0, -0.0116149436, -18.2468719, 0, 7.65558444e+17, 0, 0, 0, 0
0.5, 0, 0, 1e+19, 0, 8.94243865e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458625, 12.1176471, 0.0128722772, 10176.6006, 0, 1.8098583e+18, 7.42411179e-19, 18.3568317, -5.80098907e-06, -1.34535635, 1e+19, 6.21762064e-11, -0.00538620839, 10176.6006, 299.999922, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 3.26235008e-35, 18.3568317, 0.596784785, 18.2947706, -0.0116191835, -6.40063173e-37, -0.0116062553, -18.3568255, -3.26150123e-35, -18.2947644, 0, 1.19999956e-08, 1.19999956e-08, -207137.753, -207137.753, 0, 0.27, 3.332, 0, -0.0116191835, -18.3568255, 0, 7.65558442e+17, 0, 0, 0, 0
0.566666667, 0, 0, 1e+19, 0, 8.94243774e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458628, 12.1176471, 0.0128722772, 10176.5615, 0, 1.80985831e+18, 9.04335963e-19, 18.4250773, -5.83839552e-06, -1.34807668, 1e+19, 7.57372485e-11, -0.00877537894, 10176.5615, 299.999922, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 3.79380584e-35, 18.4250773, 0.597751276, 18.3629762, -0.0143379545, -8.18505104e-37, -0.0143266783, -18.4250679, -3.7926682e-35, -18.3629668, 0, 1.19999956e-08, 1.19999956e-08, -207628.095, -207628.095, 0, 0.27, 3.332, 0, -0.0143379545, -18.4250679, 0, 7.65558431e+17, 0, 0, 0, 0
