"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "seu generation rate", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
-7.10542736e-15, 0, 0, 5e+15, 0, 8.94265576e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.55470851, 116.280551, 1.25944174, 42087.4146, 0, 40160.0293, 8.58400475e-08, 8.25367282e-09, -0.0277142048, -2.3870219, 5e+15, 8.46461404e+15, 136.671504, 42087.1927, 300, 117.19603, 116.280551, 1.28078819, 1.25944174, 5e+15, 3.0819988e-22, 8.25367282e-09, 0.317370982, 350.580571, -5.79599057e-11, -1.93399124e-24, -0.513315663, -8.25346931e-09, -3.08193812e-22, -350.580195, 0, 1.2e-08, 1.2e-08, -9.65779956e-05, -9.65779956e-05, 0, 0.27, 3.332, 0, -5.79599057e-11, -8.25346931e-09, 0, 1.5e+15, 0, 0, 2e+18, 2.06401482e+16
3.55271368e-15, 0, 0, 1.5e+15, 0, 8.94265576e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.55470851, 116.280551, 1.25944174, 7359.84359, 0, 40160.0293, 8.58400475e-08, 8.25367282e-09, -0.0277142048, -2.3870219, 1.5e+15, 8.46461404e+15, 136.671504, -7358.57449, 300, 117.19603, 116.280551, 1.28078819, 1.25944174, 1.5e+15, 3.0819988e-22, 8.25367282e-09, 0.317370982, 350.580571, -5.79599057e-11, -1.93399124e-24, -0.513315663, -8.25346931e-09, -3.08193812e-22, -350.580195, 0, 1.2e-08, 1.2e-08, -9.65779956e-05, -9.65779956e-05, 0, 0.27, 3.332, 0, -5.79599057e-11, -8.25346931e-09, 0, 1.5e+15, 0, 0, 2e+18, 2.06401482e+16
0.125, 0, 0, 1.5e+15, 0, 8.94265576e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.55300012, 116.280534, 1.25944174, 7400.00764, 0, 36147.6445, 9.64152262e-08, 7.00055953e-09, -0.0287270083, -2.38831695, 1.5e+15, 7.61499568e+15, -30.4590468, -7399.94495, 300, 117.19603, 116.280534, 1.28078819, 1.25944174, 1.5e+15, 3.19594098e-22, 7.00055953e-09, 0.318114321, 318.746306, -8.24398441e-12, -2.12376353e-23, -1.18150281, -7.00055467e-09, -3.18887677e-22, -318.744116, 0, 1.2e-08, 1.2e-08, -8.75959451e-05, -8.75959451e-05, 0, 0.27, 3.332, 0, -8.24398441e-12, -7.00055467e-09, 0, 1.5e+15, 0, 0, 2e+18, 1.92203642e+16
0.125, 0, 0, 5e+15, 0, 8.94265576e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.55300012, 116.280534, 1.25944174, 42243.5803, 0, 36147.6445, 9.64152262e-08, 7.00055953e-09, -0.0287270083, -2.38831695, 5e+15, 7.61499568e+15, 17.5598302, 42243.5766, 300, 117.19603, 116.280534, 1.28078819, 1.25944174, 5e+15, 3.19594098e-22, 7.00055953e-09, 0.318114321, 318.746306, -8.24398441e-12, -2.12376353e-23, -1.18150281, -7.00055467e-09, -3.18887677e-22, -318.744116, 0, 1.2e-08, 1.2e-08, -8.75959451e-05, -8.75959451e-05, 0, 0.27, 3.332, 0, -8.24398441e-12, -7.00055467e-09, 0, 1.5e+15, 0, 0, 2e+18, 1.92203642e+16
0.25, 0, 0, 5e+15, 0, 8.94265576e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.55517197, 116.280553, 1.25944174, 42150.3181, 0, 40787.6678, 1.03455722e-07, 8.41253143e-09, -0.0277767627, -2.39231085, 5e+15, 8.60162828e+15, -65.5809952, 42150.2671, 300, 117.19603, 116.280553, 1.28078819, 1.25944174, 5e+15, 3.87785475e-22, 8.41253143e-09, 0.319496648, 351.72773, -4.17342827e-12, -6.66161106e-24, -1.74177137, -8.41253039e-09, -3.87728253e-22, -351.723417, 0, 1.2e-08, 1.2e-08, -9.79382241e-05, -9.79382241e-05, 0, 0.27, 3.332, 0, -4.17342827e-12, -8.41253039e-09, 0, 1.5e+15, 0, 0, 2e+18, 2.064462e+16
0.25, 0, 0, 1.5e+15, 0, 8.94265576e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.55517197, 116.280553, 1.25944174, 7392.48559, 0, 40787.6678, 1.03455722e-07, 8.41253143e-09, -0.0277767627, -2.39231085, 1.5e+15, 8.60162828e+15, -37.2225483, -7392.39188, 300, 117.19603, 116.280553, 1.28078819, 1.25944174, 1.5e+15, 3.87785475e-22, 8.41253143e-09, 0.319496648, 351.72773, -4.17342827e-12, -6.66161106e-24, -1.74177137, -8.41253039e-09, -3.87728253e-22, -351.723417, 0, 1.2e-08, 1.2e-08, -9.79382241e-05, -9.79382241e-05, 0, 0.27, 3.332, 0, -4.17342827e-12, -8.41253039e-09, 0, 1.5e+15, 0, 0, 2e+18, 2.064462e+16
0.375, 0, 0, 1.5e+15, 0, 8.94265576e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.55393068, 116.280538, 1.25944174, 7472.14051, 0, 37287.9471, 1.24886265e-07, 7.27465617e-09, -0.02885465, -2.39593646, 1.5e+15, 7.86407909e+15, -94.7942346, -7471.53919, 300, 117.19603, 116.280538, 1.28078819, 1.25944174, 1.5e+15, 4.18375281e-22, 7.27465617e-09, 0.320574538, 320.766187, -2.67159163e-11, -3.79575684e-23, -3.49349546, -7.27460711e-09, -4.16649852e-22, -320.747163, 0, 1.2e-08, 1.2e-08, -9.00966334e-05, -9.00966334e-05, 0, 0.27, 3.332, 0, -2.67159163e-11, -7.27460711e-09, 0, 1.5e+15, 0, 0, 2e+18, 1.92299503e+16
0.375, 0, 0, 5e+15, 0, 8.94265576e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.55393068, 116.280538, 1.25944174, 42205.7119, 0, 37287.9471, 1.24886265e-07, 7.27465617e-09, -0.02885465, -2.39593646, 5e+15, 7.86407909e+15, -18.5398788, 42205.7079, 300, 117.19603, 116.280538, 1.28078819, 1.25944174, 5e+15, 4.18375281e-22, 7.27465617e-09, 0.320574538, 320.766187, -2.67159163e-11, -3.79575684e-23, -3.49349546, -7.27460711e-09, -4.16649852e-22, -320.747163, 0, 1.2e-08, 1.2e-08, -9.00966334e-05, -9.00966334e-05, 0, 0.27, 3.332, 0, -2.67159163e-11, -7.27460711e-09, 0, 1.5e+15, 0, 0, 2e+18, 1.92299503e+16
0.5, 0, 0, 5e+15, 0, 8.94265576e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.55657904, 116.280557, 1.25944174, 42089.5009, 0, 42754.3289, 1.38938383e-07, 8.91886119e-09, -0.02796644, -2.40134135, 5e+15, 9.03089846e+15, -102.703945, 42089.3756, 300, 117.19603, 116.280557, 1.28078819, 1.25944174, 5e+15, 5.21409244e-22, 8.91886119e-09, 0.322013717, 355.009518, -8.84973846e-12, -1.17395763e-23, -3.5039067, -8.9188568e-09, -5.21277069e-22, -354.992226, 0, 1.2e-08, 1.2e-08, -0.00010210924, -0.00010210924, 0, 0.27, 3.332, 0, -8.84973846e-12, -8.9188568e-09, 0, 1.5e+15, 0, 0, 2e+18, 2.06611935e+16
0.5, 0, 0, 1.5e+15, 0, 8.94265576e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1.55657904, 116.280557, 1.25944174, 7502.03104, 0, 42754.3289, 1.38938383e-07, 8.91886119e-09, -0.02796644, -2.40134135, 1.5e+15, 9.03089846e+15, -76.1607997, -7501.64444, 300, 117.19603, 116.280557, 1.28078819, 1.25944174, 1.5e+15, 5.21409244e-22, 8.91886119e-09, 0.322013717, 355.009518, -8.84973846e-12, -1.17395763e-23, -3.5039067, -8.9188568e-09, -5.21277069e-22, -354.992226, 0, 1.2e-08, 1.2e-08, -0.00010210924, -0.00010210924, 0, 0.27, 3.332, 0, -8.84973846e-12, -8.9188568e-09, 0, 1.5e+15, 0, 0, 2e+18, 2.06611935e+16
