"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "seu generation rate", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
-1.77635684e-15, 0, 0, 1e+19, 0, 5.61766438e-14, 3.718e+18, 6.44e+20, 4.85, 4, 2.34187318, 12.1176471, 0.0128722772, 10731.9802, 0, 2.52840679e+18, 1.41129726e-06, 0.0840748065, -2.17353823e-08, -1.52872132, 1e+19, 88.1534592, 0.00307508544, 10731.9802, 371.020759, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 6.28968278e-23, 0.0840748065, 0.114001902, 0.0840994187, 0.042660917, -7.96739995e-25, 0.042660917, 0.0720324718, -6.28893703e-23, 0.0720616063, 0, 1.6226114e-08, 1.6226114e-08, 0.00166363721, 294.252061, -19.2604246, 0.27, 3.332, 313.510821, 0.042660917, 0.0720324718, 0, 1.12361758e+18, 0, 0, 0, 0
0.0666666667, 0, 0, 1e+19, 0, 5.61804206e-14, 3.718e+18, 6.44e+20, 4.85, 4, 2.34187316, 12.1176471, 0.0128722772, 12173.8563, 0, 2.5284102e+18, 1.56233716e-06, 0.0957469951, -2.17268868e-08, -1.53045324, 1e+19, 97.5876005, 0.00485728748, 12173.8563, 371.021088, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 6.74757302e-23, 0.0957469951, 0.113749467, 0.095769375, 0.0627410004, -1.66143393e-24, 0.0627410003, 0.0720588333, -6.74464451e-23, 0.0720879676, 0, 1.62261344e-08, 1.62261344e-08, 0.00256754946, 294.430858, -19.2603022, 0.27, 3.332, 313.688593, 0.0627410004, 0.0720588333, 0, 1.12361911e+18, 0, 0, 0, 0
0.125, 0, 0, 1e+19, 0, 5.61837251e-14, 3.718e+18, 6.44e+20, 4.85, 4, 2.34187316, 12.1176471, 0.0128722772, 12173.8749, 0, 2.52841314e+18, 1.56233716e-06, 0.112269115, -2.17268868e-08, -1.53045324, 1e+19, 97.5876005, 0.00579060468, 12173.8749, 371.021376, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 6.96517341e-23, 0.112269115, 0.11363654, 0.112287398, 0.0852977885, -1.66143393e-24, 0.0852977884, 0.0720760362, -6.9622449e-23, 0.0721051705, 0, 1.62261523e-08, 1.62261523e-08, 0.00256827523, 294.430859, -19.2603022, 0.27, 3.332, 313.688593, 0.0852977885, 0.0720760362, 0, 1.12362063e+18, 0, 0, 0, 0
0.191666667, 0, 0, 1e+19, 0, 5.61950534e-14, 3.718e+18, 6.44e+20, 4.85, 4, 2.34187308, 12.1176471, 0.0128722772, 12173.8918, 0, 2.52842338e+18, 2.04122071e-06, 0.144998529, -2.16726654e-08, -1.53500694, 1e+19, 127.499036, 0.00935484501, 12173.8918, 371.022362, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 8.41365792e-23, 0.144998529, 0.113286801, 0.145013631, 0.125469952, -4.06265699e-24, 0.125469952, 0.0722095929, -8.40025248e-23, 0.0722387271, 0, 1.62262135e-08, 1.62262135e-08, 0.00528319152, 295.396652, -19.2599351, 0.27, 3.332, 314.651303, 0.125469952, 0.0722095929, 0, 1.12362523e+18, 0, 0, 0, 0
0.25, 0, 0, 1e+19, 0, 5.6204965e-14, 3.718e+18, 6.44e+20, 4.85, 4, 2.34187308, 12.1176471, 0.0128722772, 12173.9375, 0, 2.5284322e+18, 2.04122071e-06, 0.185816117, -2.16726654e-08, -1.53500694, 1e+19, 127.499036, 0.0105997232, 12173.9375, 371.023225, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 9.10358037e-23, 0.185816117, 0.113049744, 0.185827195, 0.170599857, -4.06265699e-24, 0.170599857, 0.0723030991, -9.09017493e-23, 0.0723322331, 0, 1.62262671e-08, 1.62262671e-08, 0.0052871476, 295.396656, -19.2599351, 0.27, 3.332, 314.651303, 0.170599857, 0.0723030991, 0, 1.12362978e+18, 0, 0, 0, 0
0.316666667, 0, 0, 1e+19, 0, 5.62238586e-14, 3.718e+18, 6.44e+20, 4.85, 4, 2.34187294, 12.1176471, 0.0128722772, 12173.9687, 0, 2.52844928e+18, 3.10266491e-06, 0.222900426, -2.15975505e-08, -1.54213794, 1e+19, 193.796933, 0.0141649618, 12173.9687, 371.024869, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 1.23187762e-22, 0.222900426, 0.112648475, 0.222909876, 0.210779833, -8.36603877e-24, 0.210779833, 0.072497757, -1.22813855e-22, 0.0725268906, 0, 1.62263691e-08, 1.62263691e-08, 0.00981146418, 296.78299, -19.2593233, 0.27, 3.332, 316.032501, 0.210779833, 0.072497757, 0, 1.12363745e+18, 0, 0, 0, 0
0.375, 0, 0, 1e+19, 0, 5.62403892e-14, 3.718e+18, 6.44e+20, 4.85, 4, 2.34187294, 12.1176471, 0.0128722772, 12174.0393, 0, 2.52846398e+18, 3.10266491e-06, 0.266431623, -2.15975505e-08, -1.54213794, 1e+19, 193.796933, 0.0154099454, 12174.0393, 371.026307, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 1.38479999e-22, 0.266431623, 0.11238121, 0.266439392, 0.255918795, -8.36603877e-24, 0.255918795, 0.0726317961, -1.38106092e-22, 0.0726609294, 0, 1.62264585e-08, 1.62264585e-08, 0.009817155, 296.782995, -19.2593233, 0.27, 3.332, 316.032501, 0.255918795, 0.0726317961, 0, 1.12364504e+18, 0, 0, 0, 0
0.441666667, 0, 0, 1e+19, 0, 5.6266859e-14, 3.718e+18, 6.44e+20, 4.85, 4, 2.34187276, 12.1176471, 0.0128722772, 12174.085, 0, 2.52848787e+18, 5.21312454e-06, 0.305000062, -2.14786854e-08, -1.55097423, 1e+19, 325.61414, 0.0189753253, 12174.085, 371.028609, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 2.02369292e-22, 0.305000062, 0.111931827, 0.305006916, 0.29611094, -1.7196535e-23, 0.29611094, 0.0729286825, -2.01428702e-22, 0.0729578154, 0, 1.62266014e-08, 1.62266014e-08, 0.0161550118, 298.919855, -19.2584667, 0.27, 3.332, 318.162166, 0.29611094, 0.0729286825, 0, 1.12365577e+18, 0, 0, 0, 0
0.5, 0, 0, 1e+19, 0, 5.62900186e-14, 3.718e+18, 6.44e+20, 4.85, 4, 2.34187276, 12.1176471, 0.0128722772, 12174.1804, 0, 2.52850846e+18, 5.21312454e-06, 0.34933947, -2.14786854e-08, -1.55097423, 1e+19, 325.61414, 0.0202207362, 12174.1804, 371.030622, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 2.32775099e-22, 0.34933947, 0.1116366, 0.349345439, 0.341265972, -1.7196535e-23, 0.341265972, 0.0731354709, -2.31834508e-22, 0.0731646032, 0, 1.62267265e-08, 1.62267265e-08, 0.016163841, 298.919864, -19.2584667, 0.27, 3.332, 318.162166, 0.341265972, 0.0731354709, 0, 1.1236664e+18, 0, 0, 0, 0
0.566666667, 0, 0, 1e+19, 0, 5.63240919e-14, 3.718e+18, 6.44e+20, 4.85, 4, 2.34187252, 12.1176471, 0.0128722772, 12174.2404, 0, 2.52853919e+18, 9.62250187e-06, 0.388546138, -2.13555998e-08, -1.56141028, 1e+19, 601.013637, 0.0237855466, 12174.2404, 371.033582, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 3.66408049e-22, 0.388546138, 0.11113993, 0.38855153, 0.381468294, -3.56208108e-23, 0.381468294, 0.0734521815, -3.64221971e-22, 0.0734813134, 0, 1.62269103e-08, 1.62269103e-08, 0.0243121376, 301.177537, -19.2573652, 0.27, 3.332, 320.41059, 0.381468294, 0.0734521815, 0, 1.1236802e+18, 0, 0, 0, 0
