"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "seu generation rate", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
-1.77635684e-15, 0, 0, 1e+19, 0, 8.94248516e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34456597, 12.1176471, 0.0128722772, 8997.02714, 0, 1.80984674e+18, 1.47883833e-17, 45.1914094, 1.42842076e-05, -1.38658475, 1e+19, 1.23851231e-09, 0.00083095701, 8997.02714, 299.999939, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 2.34767251e-32, 45.1914094, 0.136496985, 45.0676025, 0.00101273346, -3.91681266e-36, 0.00100734458, 45.1914093, -2.34767247e-32, 45.0676025, 0, 1.19999965e-08, 1.19999965e-08, 803.322647, 159906.392, -232.642197, 0.27, 3.332, 159335.712, 0.00101273346, 45.1914093, 0, 7.65563402e+17, 0, 0, 0, 0
0.0666666667, 0, 0, 1e+19, 0, 8.94248512e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34456597, 12.1176471, 0.0128722772, 10199.4428, 0, 1.80984674e+18, 1.57066769e-17, 45.201358, 1.42895643e-05, -1.38741537, 1e+19, 1.31541849e-09, 0.0016174632, 10199.4428, 299.999939, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 2.48915082e-32, 45.201358, 0.136034093, 45.0775072, 0.00252035257, -8.54056309e-36, 0.00250695291, 45.2013579, -2.48915067e-32, 45.0775071, 0, 1.19999965e-08, 1.19999965e-08, 803.674943, 159966.34, -232.771811, 0.27, 3.332, 159395.437, 0.00252035257, 45.2013579, 0, 7.65563403e+17, 0, 0, 0, 0
0.125, 0, 0, 1e+19, 0, 8.9424851e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34456597, 12.1176471, 0.0128722772, 10199.4475, 0, 1.80984674e+18, 1.57066769e-17, 45.2082811, 1.42895643e-05, -1.38741537, 1e+19, 1.31541849e-09, 0.00192989629, 10199.4475, 299.999939, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 2.49019975e-32, 45.2082811, 0.135881639, 45.0844113, 0.00251841845, -8.54056309e-36, 0.00250501878, 45.208281, -2.4901996e-32, 45.0844112, 0, 1.19999965e-08, 1.19999965e-08, 803.922072, 159966.588, -232.771811, 0.27, 3.332, 159395.437, 0.00251841845, 45.208281, 0, 7.65563403e+17, 0, 0, 0, 0
0.191666667, 0, 0, 1e+19, 0, 8.94248487e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34456595, 12.1176471, 0.0128722772, 10199.4616, 0, 1.80984673e+18, 1.87930468e-17, 45.2482306, 1.43108713e-05, -1.38988889, 1e+19, 1.57389889e-09, 0.00298920413, 10199.4616, 299.999939, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 2.98231966e-32, 45.2482306, 0.135494651, 45.1241839, 0.00502105403, -1.3028276e-35, 0.00499425483, 45.2482301, -2.98231937e-32, 45.1241834, 0, 1.19999965e-08, 1.19999965e-08, 805.34078, 160205.129, -233.330411, 0.27, 3.332, 159633.119, 0.00502105403, 45.2482301, 0, 7.65563408e+17, 0, 0, 0, 0
0.25, 0, 0, 1e+19, 0, 8.94248466e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34456595, 12.1176471, 0.0128722772, 10199.4733, 0, 1.80984673e+18, 1.87930468e-17, 45.2757685, 1.43108713e-05, -1.38988889, 1e+19, 1.57389889e-09, 0.00323695163, 10199.4733, 299.999939, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 2.9858451e-32, 45.2757685, 0.135196469, 45.1516421, 0.00501868348, -1.3028276e-35, 0.00499188428, 45.2757681, -2.98584481e-32, 45.1516416, 0, 1.19999965e-08, 1.19999965e-08, 806.324738, 160206.113, -233.330411, 0.27, 3.332, 159633.119, 0.00501868348, 45.2757681, 0, 7.65563407e+17, 0, 0, 0, 0
0.316666667, 0, 0, 1e+19, 0, 8.94248436e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34456592, 12.1176471, 0.0128722772, 10199.4956, 0, 1.80984671e+18, 2.18156498e-17, 45.3352547, 1.43426996e-05, -1.39194517, 1e+19, 1.82703886e-09, 0.00446569221, 10199.4956, 299.999938, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 3.45473413e-32, 45.3352547, 0.134846417, 45.2108633, 0.00749353135, -1.8400778e-35, 0.00745329305, 45.3352537, -3.45473364e-32, 45.2108623, 0, 1.19999965e-08, 1.19999965e-08, 808.439804, 160562.4, -234.149153, 0.27, 3.332, 159988.109, 0.00749353135, 45.3352537, 0, 7.65563414e+17, 0, 0, 0, 0
0.375, 0, 0, 1e+19, 0, 8.94248411e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34456592, 12.1176471, 0.0128722772, 10199.513, 0, 1.80984671e+18, 2.18156498e-17, 45.3763886, 1.43426996e-05, -1.39194517, 1e+19, 1.82703886e-09, 0.00483431949, 10199.513, 299.999938, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 3.45818671e-32, 45.3763886, 0.134565773, 45.2518853, 0.00749121568, -1.8400778e-35, 0.00745097738, 45.3763876, -3.45818622e-32, 45.2518843, 0, 1.19999965e-08, 1.19999965e-08, 809.912303, 160563.872, -234.149153, 0.27, 3.332, 159988.109, 0.00749121568, 45.3763876, 0, 7.65563414e+17, 0, 0, 0, 0
0.441666667, 0, 0, 1e+19, 0, 8.94248362e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34456587, 12.1176471, 0.0128722772, 10199.5446, 0, 1.80984668e+18, 2.74212198e-17, 45.4653257, 1.43901838e-05, -1.39509824, 1e+19, 2.29649974e-09, 0.00585860277, 10199.5446, 299.999938, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 4.34725244e-32, 45.4653257, 0.134251518, 45.340424, 0.00992325856, -2.43489421e-35, 0.0098695056, 45.4653239, -4.34725176e-32, 45.3404222, 0, 1.19999965e-08, 1.19999965e-08, 813.084648, 161095.455, -235.401854, 0.27, 3.332, 160517.772, 0.00992325856, 45.4653239, 0, 7.65563425e+17, 0, 0, 0, 0
0.5, 0, 0, 1e+19, 0, 8.94248318e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34456587, 12.1176471, 0.0128722772, 10199.5685, 0, 1.80984668e+18, 2.74212198e-17, 45.5266948, 1.43901838e-05, -1.39509824, 1e+19, 2.29649974e-09, 0.00609574644, 10199.5685, 299.999938, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 4.35365541e-32, 45.5266948, 0.133988164, 45.4016331, 0.00992095885, -2.43489421e-35, 0.00986720589, 45.526693, -4.35365473e-32, 45.4016313, 0, 1.19999965e-08, 1.19999965e-08, 815.287597, 161097.658, -235.401854, 0.27, 3.332, 160517.772, 0.00992095885, 45.526693, 0, 7.65563424e+17, 0, 0, 0, 0
0.566666667, 0, 0, 1e+19, 0, 8.94248263e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34456581, 12.1176471, 0.0128722772, 10199.6079, 0, 1.80984664e+18, 3.32329699e-17, 45.6343221, 1.44477367e-05, -1.39774854, 1e+19, 2.78322801e-09, 0.00727404593, 10199.6079, 299.999938, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 5.27273224e-32, 45.6343221, 0.133710736, 45.5087726, 0.0122929721, -3.26106544e-35, 0.0122256097, 45.6343192, -5.27273123e-32, 45.5087698, 0, 1.19999965e-08, 1.19999965e-08, 819.139434, 161741.911, -236.922467, 0.27, 3.332, 161159.694, 0.0122929721, 45.6343192, 0, 7.65563437e+17, 0, 0, 0, 0
0.625, 0, 0, 1e+19, 0, 8.94248215e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34456581, 12.1176471, 0.0128722772, 10199.6374, 0, 1.80984664e+18, 3.32329699e-17, 45.7087027, 1.44477367e-05, -1.39774854, 1e+19, 2.78322801e-09, 0.00762763919, 10199.6374, 299.999938, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 5.27937069e-32, 45.7087027, 0.133465707, 45.5829838, 0.0122907357, -3.26106544e-35, 0.0122233733, 45.7086999, -5.27936967e-32, 45.582981, 0, 1.19999965e-08, 1.19999965e-08, 821.819205, 161744.591, -236.922467, 0.27, 3.332, 161159.694, 0.0122907357, 45.7086999, 0, 7.65563436e+17, 0, 0, 0, 0
0.691666667, 0, 0, 1e+19, 0, 8.94248142e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34456574, 12.1176471, 0.0128722772, 10199.6856, 0, 1.8098466e+18, 4.2712535e-17, 45.8445929, 1.45203105e-05, -1.40120851, 1e+19, 3.57713212e-09, 0.00858606495, 10199.6856, 299.999937, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 6.79986293e-32, 45.8445929, 0.133227787, 45.7182513, 0.0145865622, -3.70995064e-35, 0.014505417, 45.8445891, -6.79986191e-32, 45.7182474, 0, 1.19999964e-08, 1.19999964e-08, 826.705742, 162557.024, -238.888963, 0.27, 3.332, 161969.207, 0.0145865622, 45.8445891, 0, 7.65563452e+17, 0, 0, 0, 0
0.75, 0, 0, 1e+19, 0, 8.94248076e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34456574, 12.1176471, 0.0128722772, 10199.7212, 0, 1.80984659e+18, 4.2712535e-17, 45.9383883, 1.45203105e-05, -1.40120851, 1e+19, 3.57713212e-09, 0.00880422298, 10199.7212, 299.999937, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 6.81069089e-32, 45.9383883, 0.133002819, 45.8118674, 0.014584141, -3.70995064e-35, 0.0145029958, 45.9383844, -6.81068987e-32, 45.8118635, 0, 1.19999964e-08, 1.19999964e-08, 830.100233, 162560.418, -238.888963, 0.27, 3.332, 161969.207, 0.014584141, 45.9383844, 0, 7.65563451e+17, 0, 0, 0, 0
0.816666667, 0, 0, 1e+19, 0, 8.94247995e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34456565, 12.1176471, 0.0128722772, 10199.7768, 0, 1.80984654e+18, 5.0629239e-17, 46.0914548, 1.46021494e-05, -1.40355285, 1e+19, 4.24014818e-09, 0.00994839732, 10199.7768, 299.999937, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 8.05545702e-32, 46.0914548, 0.132808605, 45.9642191, 0.0168609327, -4.59195949e-35, 0.0167654035, 46.0914496, -8.05545569e-32, 45.9642139, 0, 1.19999964e-08, 1.19999964e-08, 835.632502, 163476.508, -241.140285, 0.27, 3.332, 162882.015, 0.0168609327, 46.0914496, 0, 7.6556347e+17, 0, 0, 0, 0
