"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "seu generation rate", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
-0.42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147.572194, 0, 0, 659071.406, 0, 0, 0, 0, 0, 0, 0, 0, -659029.306, 7448.22388, 300, 0, 0, 0, 0, 0, 0, 0, 0.160518358, 59.2590525, 0, 0, 58.9258958, 0, 0, -6.22671075, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.405714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147.561292, 0, 0, 658194.905, 0, 0, 0, 0, 0, 0, 0, 0, -658114.825, 9630.57375, 300, 0, 0, 0, 0, 0, 0, 0, 0.161414632, 59.5638035, 0, 0, 59.0139171, 0, 0, -7.91811461, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147.535731, 0, 0, 656102.45, 0, 0, 0, 0, 0, 0, 0, 0, -655936.646, 14747.0375, 300, 0, 0, 0, 0, 0, 0, 0, 0.163843134, 60.6006997, 0, 0, 59.2970574, 0, 0, -12.4110207, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.355714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147.502995, 0, 0, 655892.941, 0, 0, 0, 0, 0, 0, 0, 0, -655575.66, 19121.059, 300, 0, 0, 0, 0, 0, 0, 0, 0.164567127, 61.6803849, 0, 0, 59.5565029, 0, 0, -15.7635621, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147.426251, 0, 0, 655286.605, 0, 0, 0, 0, 0, 0, 0, 0, -654627.773, 29372.3954, 300, 0, 0, 0, 0, 0, 0, 0, 0.1665102, 65.2890251, 0, 0, 60.392802, 0, 0, -24.6534422, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.305714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147.371591, 0, 0, 654934.018, 0, 0, 0, 0, 0, 0, 0, 0, -654020.465, 33771.2538, 300, 0, 0, 0, 0, 0, 0, 0, 0.167303398, 66.9282221, 0, 0, 60.8097855, 0, 0, -27.9262272, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147.243486, 0, 0, 653915.393, 0, 0, 0, 0, 0, 0, 0, 0, -652428.147, 44070.696, 300, 0, 0, 0, 0, 0, 0, 0, 0.169396412, 72.2064168, 0, 0, 62.159825, 0, 0, -36.5626837, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.255714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147.166751, 0, 0, 653416.879, 0, 0, 0, 0, 0, 0, 0, 0, -651567.192, 48506.7235, 300.000001, 0, 0, 0, 0, 0, 0, 0, 0.170273996, 74.2311357, 0, 0, 62.7111069, 0, 0, -39.7185983, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 146.986998, 0, 0, 651979.559, 0, 0, 0, 0, 0, 0, 0, 0, -649314.949, 58875.2863, 300.000004, 0, 0, 0, 0, 0, 0, 0, 0.172540181, 80.5028256, 0, 0, 64.5094355, 0, 0, -47.9819012, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.205714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 146.887978, 0, 0, 650786.49, 0, 0, 0, 0, 0, 0, 0, 0, -647629.657, 63461.0224, 300.000029, 0, 0, 0, 0, 0, 0, 0, 0.173490529, 82.3744793, 0, 0, 64.3801633, 0, 0, -51.3882217, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
