"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "seu generation rate", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
-1.77635684e-15, 0, 0, 1e+19, 0, 8.94250551e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458611, 12.1176471, 0.0128722772, 8973.51283, 0, 1.80985845e+18, 4.15272779e-19, 17.9240718, -5.66396763e-06, -1.33734587, 1e+19, 3.47786833e-11, 0.00357666543, 8973.51283, 299.999946, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 1.81585278e-35, 17.9240718, 0.593587674, 17.8670353, 0.004258993, -1.08733326e-37, 0.00425355084, -17.924071, -1.8158087e-35, -17.8670344, 0, 1.19999969e-08, 1.19999969e-08, 126.361913, -62949.4741, 117.290474, 0.27, 3.332, -63193.1264, 0.004258993, -17.924071, 0, 7.65558597e+17, 0, 0, 0, 0
0.0666666667, 0, 0, 1e+19, 0, 8.94250558e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458608, 12.1176471, 0.0128722772, 10176.7714, 0, 1.80985844e+18, 4.40765762e-19, 17.8802503, -5.64147221e-06, -1.3381673, 1e+19, 3.69136953e-11, -0.00187485909, 10176.7714, 299.999946, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 1.90065113e-35, 17.8802503, 0.593704973, 17.8232607, -0.00296201934, -2.09709393e-37, -0.00295896988, -17.8802498, -1.90049691e-35, -17.8232603, 0, 1.19999969e-08, 1.19999969e-08, 125.742017, -62698.8586, 117.152064, 0.27, 3.332, -62941.7525, -0.00296201934, -17.8802498, 0, 7.65558603e+17, 0, 0, 0, 0
0.125, 0, 0, 1e+19, 0, 8.94250563e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458608, 12.1176471, 0.0128722772, 10176.7683, 0, 1.80985844e+18, 4.40765762e-19, 17.8511702, -5.64147221e-06, -1.3381673, 1e+19, 3.69136953e-11, -0.00393643899, 10176.7683, 299.999946, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 1.92979521e-35, 17.8511702, 0.593812595, 17.7942234, -0.00296537745, -2.09709393e-37, -0.002962328, -17.8511697, -1.92964098e-35, -17.794223, 0, 1.19999969e-08, 1.19999969e-08, 125.331298, -62699.2693, 117.152064, 0.27, 3.332, -62941.7525, -0.00296537745, -17.8511697, 0, 7.65558603e+17, 0, 0, 0, 0
0.191666667, 0, 0, 1e+19, 0, 8.94250526e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458614, 12.1176471, 0.0128722772, 10176.7451, 0, 1.80985847e+18, 5.13603372e-19, 17.9535575, -5.69525808e-06, -1.34027602, 1e+19, 4.30137731e-11, -0.00318807003, 10176.7451, 299.999946, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 2.16948538e-35, 17.9535575, 0.594300165, 17.8965135, -0.00589763974, -3.48601642e-37, -0.00589207008, -17.9535559, -2.16912054e-35, -17.8965119, 0, 1.19999969e-08, 1.19999969e-08, 126.777101, -63297.9445, 117.511065, 0.27, 3.332, -63542.2331, -0.00589763974, -17.9535559, 0, 7.65558589e+17, 0, 0, 0, 0
0.25, 0, 0, 1e+19, 0, 8.94250498e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458614, 12.1176471, 0.0128722772, 10176.7269, 0, 1.80985847e+18, 5.13603372e-19, 18.0230887, -5.69525808e-06, -1.34027602, 1e+19, 4.30137731e-11, -0.00212082256, 10176.7269, 299.999946, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 2.25275734e-35, 18.0230887, 0.594544074, 17.966049, -0.00590001336, -3.48601642e-37, -0.00589444371, -18.0230871, -2.25239249e-35, -17.9660474, 0, 1.19999969e-08, 1.19999969e-08, 127.761856, -63296.9598, 117.511065, 0.27, 3.332, -63542.2331, -0.00590001336, -18.0230871, 0, 7.65558589e+17, 0, 0, 0, 0
0.316666667, 0, 0, 1e+19, 0, 8.94250475e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458615, 12.1176471, 0.0128722772, 10176.7073, 0, 1.80985848e+18, 6.04221237e-19, 18.0372169, -5.70372869e-06, -1.34251639, 1e+19, 5.06029294e-11, -0.0055723548, 10176.7073, 299.999946, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 2.54744094e-35, 18.0372169, 0.595200766, 17.9801827, -0.00883930696, -4.87985701e-37, -0.00883248744, -18.0372133, -2.54683345e-35, -17.980179, 0, 1.19999969e-08, 1.19999969e-08, 127.956777, -63390.8179, 117.569096, 0.27, 3.332, -63636.3435, -0.00883930696, -18.0372133, 0, 7.65558586e+17, 0, 0, 0, 0
0.375, 0, 0, 1e+19, 0, 8.94250457e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458615, 12.1176471, 0.0128722772, 10176.6913, 0, 1.80985848e+18, 6.04221237e-19, 18.0481678, -5.70372869e-06, -1.34251639, 1e+19, 5.06029294e-11, -0.00737072389, 10176.6913, 299.999946, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 2.65103906e-35, 18.0481678, 0.595535341, 17.9912461, -0.00884171146, -4.87985701e-37, -0.00883489194, -18.0481642, -2.65043157e-35, -17.9912424, 0, 1.19999969e-08, 1.19999969e-08, 128.112726, -63390.6619, 117.569096, 0.27, 3.332, -63636.3435, -0.00884171146, -18.0481642, 0, 7.65558586e+17, 0, 0, 0, 0
0.441666667, 0, 0, 1e+19, 0, 8.94250391e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458623, 12.1176471, 0.0128722772, 10176.6478, 0, 1.80985852e+18, 7.42413088e-19, 18.2086806, -5.78855461e-06, -1.34535628, 1e+19, 6.217636e-11, -0.00648611761, 10176.6478, 299.999946, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 3.10521978e-35, 18.2086806, 0.596348097, 18.151641, -0.011566093, -6.40065035e-37, -0.0115598683, -18.2086744, -3.10437123e-35, -18.1516348, 0, 1.19999969e-08, 1.19999969e-08, 130.407656, -64334.6678, 118.068196, 0.27, 3.332, -64583.1435, -0.011566093, -18.2086744, 0, 7.65558564e+17, 0, 0, 0, 0
0.5, 0, 0, 1e+19, 0, 8.94250339e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458623, 12.1176471, 0.0128722772, 10176.6153, 0, 1.80985852e+18, 7.42413088e-19, 18.3183387, -5.78855461e-06, -1.34535628, 1e+19, 6.217636e-11, -0.0053653228, 10176.6153, 299.999945, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 3.26320921e-35, 18.3183387, 0.596765391, 18.2614246, -0.0115685184, -6.40065035e-37, -0.0115622937, -18.3183325, -3.26236066e-35, -18.2614184, 0, 1.19999969e-08, 1.19999969e-08, 131.982032, -64333.0934, 118.068196, 0.27, 3.332, -64583.1435, -0.0115685184, -18.3183325, 0, 7.65558563e+17, 0, 0, 0, 0
0.566666667, 0, 0, 1e+19, 0, 8.94250286e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458627, 12.1176471, 0.0128722772, 10176.5764, 0, 1.80985854e+18, 9.04338352e-19, 18.3862772, -5.82579376e-06, -1.34807661, 1e+19, 7.57374405e-11, -0.00874564226, 10176.5764, 299.999945, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 3.79488066e-35, 18.3862772, 0.59773182, 18.3293782, -0.0142755883, -8.18507632e-37, -0.0142730014, -18.3862679, -3.79374343e-35, -18.3293689, 0, 1.19999969e-08, 1.19999969e-08, 132.956327, -64747.079, 118.18127, 0.27, 3.332, -64998.2165, -0.0142755883, -18.3862679, 0, 7.65558553e+17, 0, 0, 0, 0
0.625, 0, 0, 1e+19, 0, 8.94250244e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458627, 12.1176471, 0.0128722772, 10176.5469, 0, 1.80985854e+18, 9.04338352e-19, 18.4344189, -5.82579376e-06, -1.34807661, 1e+19, 7.57374405e-11, -0.0105397612, 10176.5469, 299.999945, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 3.9800023e-35, 18.4344189, 0.598231344, 18.3778418, -0.0142781267, -8.18507632e-37, -0.0142755398, -18.4344096, -3.97886507e-35, -18.3778325, 0, 1.19999968e-08, 1.19999968e-08, 133.654843, -64746.3805, 118.18127, 0.27, 3.332, -64998.2165, -0.0142781267, -18.4344096, 0, 7.65558552e+17, 0, 0, 0, 0
0.691666667, 0, 0, 1e+19, 0, 8.94250146e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458639, 12.1176471, 0.0128722772, 10176.4845, 0, 1.8098586e+18, 1.12619687e-18, 18.6484427, -5.93920411e-06, -1.35110173, 1e+19, 9.4317872e-11, -0.00956119099, 10176.4845, 299.999945, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 4.71745815e-35, 18.6484427, 0.599356675, 18.5918079, -0.0168522203, -9.50999973e-37, -0.0168566009, -18.6484299, -4.71623033e-35, -18.5917951, 0, 1.19999968e-08, 1.19999968e-08, 136.78575, -66008.5555, 118.597722, 0.27, 3.332, -66263.9387, -0.0168522203, -18.6484299, 0, 7.65558523e+17, 0, 0, 0, 0
0.75, 0, 0, 1e+19, 0, 8.9425007e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458639, 12.1176471, 0.0128722772, 10176.4387, 0, 1.8098586e+18, 1.12619687e-18, 18.795054, -5.93920411e-06, -1.35110173, 1e+19, 9.4317872e-11, -0.00840732455, 10176.4387, 299.999944, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 4.97110308e-35, 18.795054, 0.599941854, 18.7389016, -0.0168549201, -9.50999973e-37, -0.0168593007, -18.7950413, -4.96987527e-35, -18.7388888, 0, 1.19999968e-08, 1.19999968e-08, 138.940613, -66006.4006, 118.597722, 0.27, 3.332, -66263.9387, -0.0168549201, -18.7950413, 0, 7.65558522e+17, 0, 0, 0, 0
