"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "seu generation rate", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
-0.42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 333.778266, 0, 0, 444147.272, 0, 0, 0, 0, 0, 0, 0, 0, -443624.111, -21528.9094, 300, 0, 0, 0, 0, 0, 0, 0, 0.785328943, 188.002752, 0, 0, 187.562442, 0, 0, 12.6921765, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.405714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 333.806761, 0, 0, 445422.145, 0, 0, 0, 0, 0, 0, 0, 0, -444508.401, -27241.48, 300, 0, 0, 0, 0, 0, 0, 0, 0.788436243, 189.012193, 0, 0, 188.017513, 0, 0, 16.9945927, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 333.893187, 0, 0, 450386.236, 0, 0, 0, 0, 0, 0, 0, 0, -448166.234, -44627.509, 300, 0, 0, 0, 0, 0, 0, 0, 0.796795656, 191.895202, 0, 0, 190.082607, 0, 0, 25.9729967, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.355714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 333.979145, 0, 0, 448425.654, 0, 0, 0, 0, 0, 0, 0, 0, -444519.328, -56177.1264, 300, 0, 0, 0, 0, 0, 0, 0, 0.799362801, 195.538191, 0, 0, 191.426656, 0, 0, 35.1266694, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 334.240715, 0, 0, 446001.158, 0, 0, 0, 0, 0, 0, 0, 0, -436479.177, -91607.0347, 300, 0, 0, 0, 0, 0, 0, 0, 0.806176488, 205.298516, 0, 0, 197.758031, 0, 0, 54.4279493, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.305714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 334.385555, 0, 0, 442800.003, 0, 0, 0, 0, 0, 0, 0, 0, -430128.56, -103493.534, 300, 0, 0, 0, 0, 0, 0, 0, 0.809002917, 211.664964, 0, 0, 199.903626, 0, 0, 65.1537048, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 334.829413, 0, 0, 439353.52, 0, 0, 0, 0, 0, 0, 0, 0, -416163.349, -140775.894, 300, 0, 0, 0, 0, 0, 0, 0, 0.816392667, 229.13885, 0, 0, 210.924861, 0, 0, 88.4136898, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.255714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 335.035482, 0, 0, 434996.53, 0, 0, 0, 0, 0, 0, 0, 0, -406603.683, -153160.678, 300, 0, 0, 0, 0, 0, 0, 0, 0.819539892, 238.772366, 0, 0, 213.62489, 0, 0, 101.848728, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 335.674483, 0, 0, 431397.046, 0, 0, 0, 0, 0, 0, 0, 0, -385525.254, -193504.093, 300, 0, 0, 0, 0, 0, 0, 0, 0.827603892, 266.270528, 0, 0, 230.087793, 0, 0, 132.388145, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.205714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 335.944917, 0, 0, 427211.127, 0, 0, 0, 0, 0, 0, 0, 0, -370197.138, -210580.573, 300.000001, 0, 0, 0, 0, 0, 0, 0, 0.831026351, 279.086152, 0, 0, 230.399549, 0, 0, 150.884844, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
