milestone,profile,R095_Tmax_K,R096_Tmax_K,RUN096_minus_RUN095_Tmax_K
100ps,hfo2,317.004888,304.892934,-12.111953999999969
100ps,interface,328.335412,324.12538,-4.210032000000012
100ps,track,305.02707,305.027011,-5.899999996472616e-05
400ps,hfo2,354.428193,334.004714,-20.423479000000043
400ps,interface,382.094879,372.394574,-9.700305000000014
400ps,track,304.965941,304.96515,-0.0007909999999924366
1ns,hfo2,364.776955,355.36417,-9.412784999999985
1ns,interface,373.191405,366.776848,-6.414557000000002
1ns,track,305.06052,305.060127,-0.0003929999999741085
100us,hfo2,378.92028,378.676364,-0.2439160000000129
100us,interface,378.909839,378.666035,-0.2438039999999546
100us,track,376.770015,376.5234,-0.2466150000000198
