"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "seu generation rate", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
-1.77635684e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837255, 0, 0, 0.0927471662, 0, 0, 0, 0, 0, 0, 0, 0, 0.000703765698, -0.0927444961, 371.018218, 0, 0, 0, 0, 0, 0, 0, 0.949044501, 8.19036404e-10, 0, 0, -7.75242392e-12, 0, 0, 8.18999714e-10, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837254, 0, 0, 0.103713529, 0, 0, 0, 0, 0, 0, 0, 0, 0.00163142539, -0.103700697, 371.018835, 0, 0, 0, 0, 0, 0, 0, 0.949406447, 9.15997166e-10, 0, 0, -1.64216304e-11, 0, 0, 9.15849954e-10, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837251, 0, 0, 0.139247331, 0, 0, 0, 0, 0, 0, 0, 0, 0.00378938316, -0.13919576, 371.020684, 0, 0, 0, 0, 0, 0, 0, 0.949739142, 1.22985585e-09, 0, 0, -3.67272792e-11, 0, 0, 1.22930734e-09, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837244, 0, 0, 0.207725337, 0, 0, 0, 0, 0, 0, 0, 0, 0.0068436406, -0.207612572, 371.023766, 0, 0, 0, 0, 0, 0, 0, 0.950122717, 1.83468816e-09, 0, 0, -6.57199343e-11, 0, 0, 1.83351071e-09, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837233, 0, 0, 0.325338541, 0, 0, 0, 0, 0, 0, 0, 0, 0.0115167824, -0.325134633, 371.028082, 0, 0, 0, 0, 0, 0, 0, 0.950557327, 2.87348882e-09, 0, 0, -1.10258593e-10, 0, 0, 2.87137268e-09, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.625, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837214, 0, 0, 0.519910139, 0, 0, 0, 0, 0, 0, 0, 0, 0.0189149152, -0.519565952, 371.033631, 0, 0, 0, 0, 0, 0, 0, 0.951046155, 4.59197399e-09, 0, 0, -1.80884708e-10, 0, 0, 4.58840995e-09, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837184, 0, 0, 0.837492084, 0, 0, 0, 0, 0, 0, 0, 0, 0.0307910844, -0.836925863, 371.040414, 0, 0, 0, 0, 0, 0, 0, 0.951595482, 7.39678028e-09, 0, 0, -2.94331343e-10, 0, 0, 7.39092197e-09, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.875, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837134, 0, 0, 1.35332817, 0, 0, 0, 0, 0, 0, 0, 0, 0.0499668246, -1.35240543, 371.048431, 0, 0, 0, 0, 0, 0, 0, 0.952214855, 1.19520509e-08, 0, 0, -4.7754178e-10, 0, 0, 1.19425071e-08, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837054, 0, 0, 2.18992789, 0, 0, 0, 0, 0, 0, 0, 0, 0.0810261226, -2.18842842, 371.057684, 0, 0, 0, 0, 0, 0, 0, 0.952917423, 1.93381611e-08, 0, 0, -7.74277492e-10, 0, 0, 1.93226543e-08, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35836923, 0, 0, 3.5471129, 0, 0, 0, 0, 0, 0, 0, 0, 0.131502517, -3.54467446, 371.068173, 0, 0, 0, 0, 0, 0, 0, 0.953720569, 3.13135391e-08, 0, 0, -1.25637701e-09, 0, 0, 3.12883244e-08, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
