"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "seu generation rate", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
-1.77635684e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837254, 0, 0, 0.105597662, 0, 0, 0, 0, 0, 0, 0, 0, 0.000801274998, -0.105594622, 299.999949, 0, 0, 0, 0, 0, 0, 0, 0.160518358, 0.000500872503, 0, 0, 4.74090407e-06, 0, 0, -0.000500850066, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837253, 0, 0, 0.118083453, 0, 0, 0, 0, 0, 0, 0, 0, 0.00185746501, -0.118068843, 299.999949, 0, 0, 0, 0, 0, 0, 0, 0.159983516, 0.000560167718, 0, 0, 1.00424516e-05, 0, 0, -0.000560077693, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837249, 0, 0, 0.158540575, 0, 0, 0, 0, 0, 0, 0, 0, 0.0043144133, -0.158481859, 299.999949, 0, 0, 0, 0, 0, 0, 0, 0.159491899, 0.000752104213, 0, 0, 2.24601037e-05, 0, 0, -0.000751768775, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837242, 0, 0, 0.236506357, 0, 0, 0, 0, 0, 0, 0, 0, 0.00779183793, -0.236377969, 299.999949, 0, 0, 0, 0, 0, 0, 0, 0.15892513, 0.00112198157, 0, 0, 4.01900852e-05, 0, 0, -0.00112126152, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837229, 0, 0, 0.370414845, 0, 0, 0, 0, 0, 0, 0, 0, 0.0131124141, -0.370182687, 299.999949, 0, 0, 0, 0, 0, 0, 0, 0.15828303, 0.00175724439, 0, 0, 6.74266206e-05, 0, 0, -0.00175595031, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.625, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837207, 0, 0, 0.591943193, 0, 0, 0, 0, 0, 0, 0, 0, 0.0215354031, -0.591551325, 299.999949, 0, 0, 0, 0, 0, 0, 0, 0.157560982, 0.00280814911, 0, 0, 0.000110615003, 0, 0, -0.00280596966, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837173, 0, 0, 0.953519995, 0, 0, 0, 0, 0, 0, 0, 0, 0.0350563557, -0.95287535, 299.999948, 0, 0, 0, 0, 0, 0, 0, 0.156749831, 0.00452333721, 0, 0, 0.000179983514, 0, 0, -0.00451975502, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.875, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837116, 0, 0, 1.54079891, 0, 0, 0, 0, 0, 0, 0, 0, 0.0568862647, -1.53974843, 299.999948, 0, 0, 0, 0, 0, 0, 0, 0.155835671, 0.00730883361, 0, 0, 0.000291991275, 0, 0, -0.00730299869, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837025, 0, 0, 2.49320441, 0, 0, 0, 0, 0, 0, 0, 0, 0.0922385833, -2.49149759, 299.999947, 0, 0, 0, 0, 0, 0, 0, 0.154799387, 0.0118248536, 0, 0, 0.000473332057, 0, 0, -0.0118153764, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35836876, 0, 0, 4.03801658, 0, 0, 0, 0, 0, 0, 0, 0, 0.149668817, -4.03524189, 299.999946, 0, 0, 0, 0, 0, 0, 0, 0.153615779, 0.0191449184, 0, 0, 0.000767675225, 0, 0, -0.019129521, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35836635, 0, 0, 6.54843385, 0, 0, 0, 0, 0, 0, 0, 0, 0.243514604, -6.54390453, 299.999945, 0, 0, 0, 0, 0, 0, 0, 0.152252148, 0.031021216, 0, 0, 0.00124766356, 0, 0, -0.0309961156, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35836242, 0, 0, 10.6488665, 0, 0, 0, 0, 0, 0, 0, 0, 0.398956228, -10.6413905, 299.999942, 0, 0, 0, 0, 0, 0, 0, 0.150666235, 0.0503437395, 0, 0, 0.00203876427, 0, 0, -0.0503024407, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35835595, 0, 0, 17.4324955, 0, 0, 0, 0, 0, 0, 0, 0, 0.665025845, -17.419806, 299.999937, 0, 0, 0, 0, 0, 0, 0, 0.14880422, 0.0820019562, 0, 0, 0.0033769347, 0, 0, -0.0819323937, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.625, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35834505, 0, 0, 29.0365457, 0, 0, 0, 0, 0, 0, 0, 0, 1.16071839, -29.0133369, 299.999947, 0, 0, 0, 0, 0, 0, 0, 0.146603379, 0.134785558, 0, 0, 0.00579917427, 0, 0, -0.134660745, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35832549, 0, 0, 51.3655304, 0, 0, 0, 0, 0, 0, 0, 0, 2.41910806, -51.3085337, 300.000096, 0, 0, 0, 0, 0, 0, 0, 0.144023553, 0.22700622, 0, 0, 0.0114459878, 0, 0, -0.226717474, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.875, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35828036, 0, 0, 151.204636, 0, 0, 0, 0, 0, 0, 0, 0, 17.2214509, -150.220717, 300.00094, 0, 0, 0, 0, 0, 0, 0, 0.141226378, 0.422918545, 0, 0, 0.065721201, 0, 0, -0.417780827, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35783602, 0, 0, 1230.51413, 0, 0, 0, 0, 0, 0, 0, 0, 1205.52807, -246.712589, 300.003688, 0, 0, 0, 0, 0, 0, 0, 0.138822527, 3.94170179, 0, 0, 3.6075615, 0, 0, -1.58824212, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2.125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.32833809, 0, 0, 1335.14663, 0, 0, 0, 0, 0, 0, 0, 0, 1324.52596, 168.069948, 300.005575, 0, 0, 0, 0, 0, 0, 0, 0.137216018, 6.37406923, 0, 0, 6.3739402, 0, 0, -0.0405576636, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2.25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.32455115, 0, 0, 284.35136, 0, 0, 0, 0, 0, 0, 0, 0, 273.196336, 78.86354, 300.005847, 0, 0, 0, 0, 0, 0, 0, 0.136175766, 5.32396006, 0, 0, 5.32370134, 0, 0, 0.0524865726, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2.375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.32154288, 0, 0, 229.250319, 0, 0, 0, 0, 0, 0, 0, 0, 229.246066, -1.39650017, 300.005654, 0, 0, 0, 0, 0, 0, 0, 0.135411802, 4.75615448, 0, 0, 4.75484987, 0, 0, 0.11139182, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.31882117, 0, 0, 212.267929, 0, 0, 0, 0, 0, 0, 0, 0, 207.596014, -44.2895986, 300.005372, 0, 0, 0, 0, 0, 0, 0, 0.134780204, 4.2715813, 0, 0, 4.26904546, 0, 0, 0.147165371, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2.625, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.31635012, 0, 0, 218.733701, 0, 0, 0, 0, 0, 0, 0, 0, 189.820397, -108.68601, 300.004987, 0, 0, 0, 0, 0, 0, 0, 0.134208082, 3.78399162, 0, 0, 3.78101357, 0, 0, 0.150096665, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2.75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.31406427, 0, 0, 441.272962, 0, 0, 0, 0, 0, 0, 0, 0, 222.667916, -380.973524, 300.004174, 0, 0, 0, 0, 0, 0, 0, 0.133654878, 3.31425552, 0, 0, 3.31272731, 0, 0, 0.100634918, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2.875, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.31062168, 0, 0, 3585.47812, 0, 0, 0, 0, 0, 0, 0, 0, 3528.81843, -634.896726, 300.002443, 0, 0, 0, 0, 0, 0, 0, 0.133094562, 3.8829906, 0, 0, 3.87445069, 0, 0, -0.257386478, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.22639097, 0, 0, 3897.78758, 0, 0, 0, 0, 0, 0, 0, 0, 3857.88576, 556.296225, 300.004705, 0, 0, 0, 0, 0, 0, 0, 0.132511164, 5.58311781, 0, 0, 5.57973694, 0, 0, -0.194268294, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3.125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21370909, 0, 0, 839.951088, 0, 0, 0, 0, 0, 0, 0, 0, 751.808731, 374.568368, 300.009428, 0, 0, 0, 0, 0, 0, 0, 0.131897537, 5.73878554, 0, 0, 5.70607254, 0, 0, 0.611878721, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3.25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.20767734, 0, 0, 431.464761, 0, 0, 0, 0, 0, 0, 0, 0, 393.638331, 176.665516, 300.010899, 0, 0, 0, 0, 0, 0, 0, 0.131245754, 3.91859539, 0, 0, 3.79943283, 0, 0, 0.959009915, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3.375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.20388014, 0, 0, 257.209073, 0, 0, 0, 0, 0, 0, 0, 0, 228.277483, 118.515392, 300.010799, 0, 0, 0, 0, 0, 0, 0, 0.130545664, 1.8976615, 0, 0, 1.52158542, 0, 0, 1.13397399, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.20197294, 0, 0, 114.833197, 0, 0, 0, 0, 0, 0, 0, 0, 79.019988, 83.3216939, 300.010223, 0, 0, 0, 0, 0, 0, 0, 0.12978925, 1.50662749, 0, 0, -0.848653242, 0, 0, 1.24487512, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
