"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "seu generation rate", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
-1.77635684e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837276, 0, 0, 0.122581644, 0, 0, 0, 0, 0, 0, 0, 0, -0.000930147258, 0.122578115, 299.999967, 0, 0, 0, 0, 0, 0, 0, 0.785328943, 0.00152627775, 0, 0, -1.44466581e-05, 0, 0, 0.00152620938, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837278, 0, 0, 0.137075563, 0, 0, 0, 0, 0, 0, 0, 0, -0.00215620617, 0.137058604, 299.999967, 0, 0, 0, 0, 0, 0, 0, 0.783593839, 0.00170696433, 0, 0, -3.06017251e-05, 0, 0, 0.00170669, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837282, 0, 0, 0.184039433, 0, 0, 0, 0, 0, 0, 0, 0, -0.00500829707, 0.183971274, 299.999967, 0, 0, 0, 0, 0, 0, 0, 0.781998964, 0.00229184019, 0, 0, -6.84412175e-05, 0, 0, 0.00229081803, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837291, 0, 0, 0.274543993, 0, 0, 0, 0, 0, 0, 0, 0, -0.00904492346, 0.274394959, 299.999967, 0, 0, 0, 0, 0, 0, 0, 0.780160268, 0.00341894324, 0, 0, -0.0001224685, 0, 0, 0.00341674909, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837306, 0, 0, 0.429986053, 0, 0, 0, 0, 0, 0, 0, 0, -0.0152208749, 0.42971657, 299.999967, 0, 0, 0, 0, 0, 0, 0, 0.778077137, 0.00535473518, 0, 0, -0.000205463973, 0, 0, 0.00535079185, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.625, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3583733, 0, 0, 0.687129541, 0, 0, 0, 0, 0, 0, 0, 0, -0.0249971768, 0.686674702, 299.999966, 0, 0, 0, 0, 0, 0, 0, 0.775734538, 0.00855707238, 0, 0, -0.000337066449, 0, 0, 0.00855043121, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837371, 0, 0, 1.10680462, 0, 0, 0, 0, 0, 0, 0, 0, -0.0406873917, 1.10605651, 299.999966, 0, 0, 0, 0, 0, 0, 0, 0.773102686, 0.0137835835, 0, 0, -0.000548438085, 0, 0, 0.0137726682, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.875, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837436, 0, 0, 1.7883232, 0, 0, 0, 0, 0, 0, 0, 0, -0.0660076883, 1.7871046, 299.999966, 0, 0, 0, 0, 0, 0, 0, 0.77013635, 0.0222713663, 0, 0, -0.000889711384, 0, 0, 0.0222535878, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837543, 0, 0, 2.89308242, 0, 0, 0, 0, 0, 0, 0, 0, -0.106966825, 2.89110429, 299.999965, 0, 0, 0, 0, 0, 0, 0, 0.766773311, 0.0360316539, 0, 0, -0.00144214294, 0, 0, 0.0360027819, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837715, 0, 0, 4.68318104, 0, 0, 0, 0, 0, 0, 0, 0, -0.173329853, 4.67997237, 299.999965, 0, 0, 0, 0, 0, 0, 0, 0.762931519, 0.058333422, 0, 0, -0.00233847406, 0, 0, 0.0582865307, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837994, 0, 0, 7.58512281, 0, 0, 0, 0, 0, 0, 0, 0, -0.281092558, 7.5799126, 299.999963, 0, 0, 0, 0, 0, 0, 0, 0.758504412, 0.0945071646, 0, 0, -0.00379878534, 0, 0, 0.0944307862, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35838446, 0, 0, 12.2973732, 0, 0, 0, 0, 0, 0, 0, 0, -0.456913025, 12.2888819, 299.999961, 0, 0, 0, 0, 0, 0, 0, 0.753354182, 0.153325101, 0, 0, -0.00620035397, 0, 0, 0.153199681, 0, 0, 0, 0, 0, 0, 0.023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
