"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "seu generation rate", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
-1.77635684e-15, 0, 0, 1e+19, 0, 8.94255741e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34464439, 12.1176471, 0.0128722772, 8905.23489, 0, 1.80989317e+18, 4.14997691e-19, 201.104087, -6.3401752e-05, -1.33739495, 1e+19, 3.47556546e-11, 0.0238433458, 8905.23489, 299.999965, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 1.69061587e-35, 201.104087, 0.603374652, 184.361331, 0.0283408865, -1.0862444e-37, 0.0295544597, -201.104084, -1.69056731e-35, -184.361327, 0, 1.1999998e-08, 1.1999998e-08, 15915.5925, -660500.571, 31219.1154, 0.27, 3.332, -707635.275, 0.0283408865, -201.104084, 0, 7.65544327e+17, 0, 0, 0, 0
0.0666666667, 0, 0, 1e+19, 0, 8.9425574e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34464424, 12.1176471, 0.0128722772, 10110.9963, 0, 1.80989308e+18, 4.40469129e-19, 200.811467, -6.32519915e-05, -1.3382161, 1e+19, 3.68888628e-11, -0.0173954876, 10110.9963, 299.999965, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 1.76550371e-35, 200.811467, 0.603719662, 184.058919, -0.0273122091, -2.09567806e-37, -0.0234554946, -200.811464, -1.76533346e-35, -184.058916, 0, 1.1999998e-08, 1.1999998e-08, 15868.9939, -658843.969, 31247.6751, 0.27, 3.332, -705960.635, -0.0273122091, -200.811464, 0, 7.65544363e+17, 0, 0, 0, 0
0.125, 0, 0, 1e+19, 0, 8.94255738e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34464424, 12.1176471, 0.0128722772, 10110.9627, 0, 1.80989308e+18, 4.40469129e-19, 200.617757, -6.32519915e-05, -1.3382161, 1e+19, 3.68888628e-11, -0.0330111459, 10110.9627, 299.999965, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 1.79469213e-35, 200.617757, 0.603896466, 183.860782, -0.0273135854, -2.09567806e-37, -0.023456871, -200.617754, -1.79452187e-35, -183.860779, 0, 1.1999998e-08, 1.1999998e-08, 15838.3576, -658874.605, 31247.6751, 0.27, 3.332, -705960.635, -0.0273135854, -200.617754, 0, 7.65544363e+17, 0, 0, 0, 0
0.191666667, 0, 0, 1e+19, 0, 8.94255714e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34464469, 12.1176471, 0.0128722772, 10110.7619, 0, 1.80989334e+18, 5.13252447e-19, 201.453592, -6.36903712e-05, -1.34032507, 1e+19, 4.29843954e-11, -0.0295590264, 10110.7619, 299.999965, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 2.00930897e-35, 201.453592, 0.604565882, 184.642832, -0.0534838133, -3.48384857e-37, -0.0457237997, -201.45358, -2.00890555e-35, -184.642822, 0, 1.1999998e-08, 1.1999998e-08, 15971.1123, -663483.192, 31403.574, 0.27, 3.332, -710857.877, -0.0534838133, -201.45358, 0, 7.65544255e+17, 0, 0, 0, 0
0.25, 0, 0, 1e+19, 0, 8.94255698e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34464469, 12.1176471, 0.0128722772, 10110.6043, 0, 1.80989334e+18, 5.13252447e-19, 202.020635, -6.36903712e-05, -1.34032507, 1e+19, 4.29843954e-11, -0.0222216457, 10110.6043, 299.999965, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 2.09273296e-35, 202.020635, 0.604945104, 185.1837, -0.0534855602, -3.48384857e-37, -0.0457255466, -202.020623, -2.09232954e-35, -185.183691, 0, 1.1999998e-08, 1.1999998e-08, 16060.9972, -663393.307, 31403.574, 0.27, 3.332, -710857.877, -0.0534855602, -202.020623, 0, 7.65544254e+17, 0, 0, 0, 0
0.316666667, 0, 0, 1e+19, 0, 8.94255671e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34464481, 12.1176471, 0.0128722772, 10110.4156, 0, 1.80989342e+18, 6.03804677e-19, 202.248476, -6.38171643e-05, -1.34256548, 1e+19, 5.05680571e-11, -0.0492246778, 10110.4156, 299.999964, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 2.35753459e-35, 202.248476, 0.605763589, 185.337417, -0.0786942951, -4.87697765e-37, -0.0668579309, -202.24845, -2.35686232e-35, -185.337397, 0, 1.1999998e-08, 1.1999998e-08, 16096.8941, -664555.435, 31618.7865, 0.27, 3.332, -712271.115, -0.0786942951, -202.24845, 0, 7.65544221e+17, 0, 0, 0, 0
0.375, 0, 0, 1e+19, 0, 8.94255652e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34464481, 12.1176471, 0.0128722772, 10110.2651, 0, 1.80989342e+18, 6.03804677e-19, 202.412485, -6.38171643e-05, -1.34256548, 1e+19, 5.05680571e-11, -0.0628377292, 10110.2651, 299.999964, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 2.46131725e-35, 202.412485, 0.60622245, 185.467132, -0.078696099, -4.87697765e-37, -0.0668597347, -202.412459, -2.46064497e-35, -185.467111, 0, 1.1999998e-08, 1.1999998e-08, 16123.0079, -664529.321, 31618.7865, 0.27, 3.332, -712271.115, -0.078696099, -202.412459, 0, 7.6554422e+17, 0, 0, 0, 0
0.441666667, 0, 0, 1e+19, 0, 8.942556e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34464553, 12.1176471, 0.0128722772, 10109.8882, 0, 1.80989383e+18, 7.4189176e-19, 203.750118, -6.45219355e-05, -1.34540581, 1e+19, 6.21327168e-11, -0.0575581185, 10109.8882, 299.999964, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 2.86733889e-35, 203.750118, 0.607179287, 186.683794, -0.101469899, -6.39677749e-37, -0.0852604958, -203.750076, -2.86639817e-35, -186.683761, 0, 1.1999998e-08, 1.1999998e-08, 16337.6049, -671835.748, 31969.5703, 0.27, 3.332, -720142.923, -0.101469899, -203.750076, 0, 7.65544044e+17, 0, 0, 0, 0
0.5, 0, 0, 1e+19, 0, 8.94255568e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34464553, 12.1176471, 0.0128722772, 10109.6091, 0, 1.80989383e+18, 7.4189176e-19, 204.661745, -6.45219355e-05, -1.34540581, 1e+19, 6.21327168e-11, -0.049614782, 10109.6091, 299.999964, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 3.02562229e-35, 204.661745, 0.607711402, 187.540388, -0.101471798, -6.39677749e-37, -0.085262394, -204.661702, -3.02468157e-35, -187.540355, 0, 1.19999979e-08, 1.19999979e-08, 16483.7011, -671689.651, 31969.5703, 0.27, 3.332, -720142.923, -0.101471798, -204.661702, 0, 7.65544044e+17, 0, 0, 0, 0
0.566666667, 0, 0, 1e+19, 0, 8.94255512e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.3446459, 12.1176471, 0.0128722772, 10109.2582, 0, 1.80989406e+18, 9.03689744e-19, 205.342974, -6.48893861e-05, -1.34812627, 1e+19, 7.56831419e-11, -0.0752217794, 10109.2582, 299.999964, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 3.49925591e-35, 205.342974, 0.608805168, 188.075426, -0.123122634, -8.18013339e-37, -0.102036839, -205.342912, -3.49799258e-35, -188.075379, 0, 1.19999979e-08, 1.19999979e-08, 16593.3693, -675256.286, 32393.7329, 0.27, 3.332, -724243.392, -0.123122634, -205.342912, 0, 7.65543949e+17, 0, 0, 0, 0
