"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "seu generation rate", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
-1.77635684e-15, 0, 0, 1e+19, 0, 5.33206175e-14, 3.718e+18, 6.44e+20, 4.85, 4, 2.34188421, 12.1176471, 0.0128722772, 10724.8318, 0, 2.52577751e+18, 1.3901481e-06, 0.0841211958, -2.44538177e-08, -1.52920855, 1e+19, 86.9136976, 0.00307716847, 10724.8318, 370.765696, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 6.19320898e-23, 0.0841211958, 0.114003538, 0.0841457471, 0.0426803968, -7.86193792e-25, 0.0426803967, 0.0720746576, -6.19247166e-23, 0.0721037189, 0, 1.62102764e-08, 1.62102764e-08, 0.00166726452, 294.257497, -19.2312006, 0.27, 3.332, 313.48703, 0.0426803968, 0.0720746576, 0, 1.12235475e+18, 0, 0, 0, 0
0.0666666667, 0, 0, 1e+19, 0, 5.33242127e-14, 3.718e+18, 6.44e+20, 4.85, 4, 2.34188419, 12.1176471, 0.0128722772, 12165.7381, 0, 2.52578093e+18, 1.53929125e-06, 0.0957976558, -2.44452862e-08, -1.53094334, 1e+19, 96.2380853, 0.00486058017, 12165.7381, 370.766026, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 6.64526193e-23, 0.0957976558, 0.113751296, 0.0958199805, 0.0627695178, -1.63977623e-24, 0.0627695177, 0.07210106, -6.642366e-23, 0.0721301213, 0, 1.62102968e-08, 1.62102968e-08, 0.00257294111, 294.436445, -19.2310783, 0.27, 3.332, 313.66495, 0.0627695178, 0.07210106, 0, 1.12235628e+18, 0, 0, 0, 0
0.125, 0, 0, 1e+19, 0, 5.33273582e-14, 3.718e+18, 6.44e+20, 4.85, 4, 2.34188419, 12.1176471, 0.0128722772, 12165.7568, 0, 2.52578388e+18, 1.53929125e-06, 0.11232645, -2.44452862e-08, -1.53094334, 1e+19, 96.2380853, 0.00579453286, 12165.7568, 370.766314, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 6.8599797e-23, 0.11232645, 0.113638448, 0.112344688, 0.0853366896, -1.63977623e-24, 0.0853366895, 0.0721182888, -6.85708376e-23, 0.07214735, 0, 1.62103147e-08, 1.62103147e-08, 0.00257366915, 294.436446, -19.2310783, 0.27, 3.332, 313.66495, 0.0853366896, 0.0721182888, 0, 1.12235781e+18, 0, 0, 0, 0
0.191666667, 0, 0, 1e+19, 0, 5.33381414e-14, 3.718e+18, 6.44e+20, 4.85, 4, 2.34188411, 12.1176471, 0.0128722772, 12165.7737, 0, 2.52579413e+18, 2.01228781e-06, 0.145069257, -2.43908621e-08, -1.53550387, 1e+19, 125.809466, 0.00936119033, 12165.7737, 370.767302, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 8.2903866e-23, 0.145069257, 0.113288924, 0.145084322, 0.125526954, -4.01147721e-24, 0.125526954, 0.0722520892, -8.27712633e-23, 0.0722811502, 0, 1.62103761e-08, 1.62103761e-08, 0.0052938903, 295.403364, -19.2307119, 0.27, 3.332, 314.628781, 0.125526954, 0.0722520892, 0, 1.12236241e+18, 0, 0, 0, 0
0.25, 0, 0, 1e+19, 0, 5.33475762e-14, 3.718e+18, 6.44e+20, 4.85, 4, 2.34188411, 12.1176471, 0.0128722772, 12165.8194, 0, 2.52580296e+18, 2.01228781e-06, 0.185904768, -2.43908621e-08, -1.53550387, 1e+19, 125.809466, 0.0106069163, 12165.8194, 370.768166, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 8.97135198e-23, 0.185904768, 0.113052027, 0.185915819, 0.170677659, -4.01147721e-24, 0.170677659, 0.0723457664, -8.95809171e-23, 0.0723748272, 0, 1.62104297e-08, 1.62104297e-08, 0.00529786007, 295.403368, -19.2307119, 0.27, 3.332, 314.628781, 0.170677659, 0.0723457664, 0, 1.12236697e+18, 0, 0, 0, 0
0.316666667, 0, 0, 1e+19, 0, 5.33655607e-14, 3.718e+18, 6.44e+20, 4.85, 4, 2.34188397, 12.1176471, 0.0128722772, 12165.8507, 0, 2.52582006e+18, 3.06126075e-06, 0.223005124, -2.43154505e-08, -1.54264427, 1e+19, 191.389729, 0.0141745751, 12165.8507, 370.769812, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 1.21481648e-22, 0.223005124, 0.11265098, 0.223014551, 0.210875747, -8.26664085e-24, 0.210875747, 0.0725407926, -1.21111563e-22, 0.0725698532, 0, 1.62105319e-08, 1.62105319e-08, 0.00983101575, 296.791399, -19.230101, 0.27, 3.332, 316.011669, 0.210875747, 0.0725407926, 0, 1.12237465e+18, 0, 0, 0, 0
0.375, 0, 0, 1e+19, 0, 5.3381296e-14, 3.718e+18, 6.44e+20, 4.85, 4, 2.34188397, 12.1176471, 0.0128722772, 12165.9212, 0, 2.52583478e+18, 3.06126075e-06, 0.26655603, -2.43154505e-08, -1.54264427, 1e+19, 191.389729, 0.0154204071, 12165.9212, 370.771252, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 1.36583661e-22, 0.26655603, 0.112383878, 0.26656378, 0.256035518, -8.26664085e-24, 0.256035518, 0.0726750848, -1.36213576e-22, 0.072704145, 0, 1.62106213e-08, 1.62106213e-08, 0.00983672664, 296.791405, -19.230101, 0.27, 3.332, 316.011669, 0.256035518, 0.0726750848, 0, 1.12238226e+18, 0, 0, 0, 0
0.441666667, 0, 0, 1e+19, 0, 5.34064924e-14, 3.718e+18, 6.44e+20, 4.85, 4, 2.34188379, 12.1176471, 0.0128722772, 12165.9669, 0, 2.52585871e+18, 5.14866175e-06, 0.305141544, -2.41961029e-08, -1.55149137, 1e+19, 321.888735, 0.0189882072, 12165.9669, 370.773557, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 1.99763046e-22, 0.305141544, 0.111934721, 0.305148381, 0.296245793, -1.70091025e-23, 0.296245793, 0.0729725982, -1.98831142e-22, 0.073001658, 0, 1.62107644e-08, 1.62107644e-08, 0.0161869732, 298.931354, -19.2292457, 0.27, 3.332, 318.144413, 0.296245793, 0.0729725982, 0, 1.12239301e+18, 0, 0, 0, 0
0.5, 0, 0, 1e+19, 0, 5.34285378e-14, 3.718e+18, 6.44e+20, 4.85, 4, 2.34188379, 12.1176471, 0.0128722772, 12166.0625, 0, 2.52587932e+18, 5.14866175e-06, 0.34950124, -2.41961029e-08, -1.55149137, 1e+19, 321.888735, 0.020234467, 12166.0625, 370.775574, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 2.29815649e-22, 0.34950124, 0.11163966, 0.349507195, 0.341421654, -1.70091025e-23, 0.341421654, 0.0731798232, -2.28883745e-22, 0.0732088824, 0, 1.62108896e-08, 1.62108896e-08, 0.0161958355, 298.931363, -19.2292457, 0.27, 3.332, 318.144413, 0.341421654, 0.0731798232, 0, 1.12240366e+18, 0, 0, 0, 0
0.566666667, 0, 0, 1e+19, 0, 5.34609719e-14, 3.718e+18, 6.44e+20, 4.85, 4, 2.34188354, 12.1176471, 0.0128722772, 12166.1225, 0, 2.52591011e+18, 9.51447077e-06, 0.388725433, -2.40724447e-08, -1.56193985, 1e+19, 594.82224, 0.0238016976, 12166.1225, 370.778537, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 3.62103465e-22, 0.388725433, 0.111143216, 0.388730813, 0.381642121, -3.5275562e-23, 0.381642121, 0.0734973246, -3.59934783e-22, 0.0735263833, 0, 1.62110736e-08, 1.62110736e-08, 0.0243600627, 301.193163, -19.2281459, 0.27, 3.332, 320.396949, 0.381642121, 0.0734973246, 0, 1.12241748e+18, 0, 0, 0, 0
