"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "seu generation rate", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
-0.42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 177.335495, 0, 0, 1036759.19, 0, 0, 0, 0, 0, 0, 0, 0, -1036749.99, 4367.24453, 376.428208, 0, 0, 0, 0, 0, 0, 0, 0.949041936, 0.000180899841, 0, 0, 0.000180887098, 0, 0, -2.14350239e-06, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.405714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 177.329302, 0, 0, 1036336.36, 0, 0, 0, 0, 0, 0, 0, 0, -1036319.46, 5605.37648, 376.428609, 0, 0, 0, 0, 0, 0, 0, 0.950425254, 0.000180968325, 0, 0, 0.000180946441, 0, 0, -2.7103388e-06, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 177.313521, 0, 0, 1035261.57, 0, 0, 0, 0, 0, 0, 0, 0, -1035224.49, 8760.6958, 376.429613, 0, 0, 0, 0, 0, 0, 0, 0.954099498, 0.000181143022, 0, 0, 0.000181092067, 0, 0, -4.28888064e-06, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.355714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 177.29495, 0, 0, 1035355.78, 0, 0, 0, 0, 0, 0, 0, 0, -1035287.9, 11235.0795, 376.430817, 0, 0, 0, 0, 0, 0, 0, 0.955237041, 0.000181357801, 0, 0, 0.00018127039, 0, 0, -5.42378194e-06, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 177.24762, 0, 0, 1035604.72, 0, 0, 0, 0, 0, 0, 0, 0, -1035456.12, 17541.8523, 376.433829, 0, 0, 0, 0, 0, 0, 0, 0.958205754, 0.000181911412, 0, 0, 0.00018170801, 0, 0, -8.58528111e-06, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.305714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 177.216688, 0, 0, 1035762.35, 0, 0, 0, 0, 0, 0, 0, 0, -1035562.57, 20011.1015, 376.435834, 0, 0, 0, 0, 0, 0, 0, 0.959454414, 0.000182270018, 0, 0, 0.000182006229, 0, 0, -9.72339129e-06, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 177.137846, 0, 0, 1036179.77, 0, 0, 0, 0, 0, 0, 0, 0, -1035845.7, 26307.3038, 376.440852, 0, 0, 0, 0, 0, 0, 0, 0.962647285, 0.000183194317, 0, 0, 0.00018273822, 0, 0, -1.28967487e-05, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.255714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 177.094587, 0, 0, 1036401.13, 0, 0, 0, 0, 0, 0, 0, 0, -1035995.77, 28768.321, 376.443658, 0, 0, 0, 0, 0, 0, 0, 0.964039235, 0.000183697852, 0, 0, 0.000183158005, 0, 0, -1.4039433e-05, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 176.984301, 0, 0, 1036990.13, 0, 0, 0, 0, 0, 0, 0, 0, -1036397.6, 35047.4605, 376.450679, 0, 0, 0, 0, 0, 0, 0, 0.967496579, 0.000184995949, 0, 0, 0.000184188967, 0, 0, -1.72306638e-05, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.205714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 176.928767, 0, 0, 1037130.56, 0, 0, 0, 0, 0, 0, 0, 0, -1036438.2, 37706.3292, 376.454283, 0, 0, 0, 0, 0, 0, 0, 0.969025161, 0.000183623736, 0, 0, 0.000182684269, 0, 0, -1.85107831e-05, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
