"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "seu generation rate", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
-0.42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 333.766809, 0, 0, 444066.126, 0, 0, 0, 0, 0, 0, 0, 0, -443542.966, -21526.9344, 300, 0, 0, 0, 0, 0, 0, 0, 0.785340578, 190.154432, 0, 0, 189.735516, 0, 0, 12.4459703, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.405714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 333.795301, 0, 0, 445340.931, 0, 0, 0, 0, 0, 0, 0, 0, -444427.188, -27238.9524, 300, 0, 0, 0, 0, 0, 0, 0, 0.788448001, 191.159957, 0, 0, 190.208141, 0, 0, 16.6973789, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 333.881719, 0, 0, 450304.586, 0, 0, 0, 0, 0, 0, 0, 0, -448084.593, -44623.3676, 300, 0, 0, 0, 0, 0, 0, 0, 0.796807731, 194.055614, 0, 0, 192.328741, 0, 0, 25.4866613, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.355714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 333.967669, 0, 0, 448344.376, 0, 0, 0, 0, 0, 0, 0, 0, -444438.076, -56171.7899, 300, 0, 0, 0, 0, 0, 0, 0, 0.799374992, 197.672201, 0, 0, 193.727651, 0, 0, 34.5484379, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 334.229215, 0, 0, 445920.219, 0, 0, 0, 0, 0, 0, 0, 0, -436398.331, -91598.2041, 300, 0, 0, 0, 0, 0, 0, 0, 0.806188984, 207.440073, 0, 0, 200.235591, 0, 0, 53.482212, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.305714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 334.37404, 0, 0, 442719.656, 0, 0, 0, 0, 0, 0, 0, 0, -430048.402, -103483.255, 300, 0, 0, 0, 0, 0, 0, 0, 0.809015523, 213.784759, 0, 0, 202.479976, 0, 0, 64.147079, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 334.817854, 0, 0, 439273.564, 0, 0, 0, 0, 0, 0, 0, 0, -416083.863, -140761.36, 300, 0, 0, 0, 0, 0, 0, 0, 0.816405568, 231.313176, 0, 0, 213.832246, 0, 0, 87.0749312, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.255714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 335.0239, 0, 0, 434917.35, 0, 0, 0, 0, 0, 0, 0, 0, -406525.288, -153144.276, 300, 0, 0, 0, 0, 0, 0, 0, 0.819552892, 240.961908, 0, 0, 216.685657, 0, 0, 100.510326, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 335.662833, 0, 0, 431318.018, 0, 0, 0, 0, 0, 0, 0, 0, -385447.864, -193482.113, 300, 0, 0, 0, 0, 0, 0, 0, 0.827617171, 268.634227, 0, 0, 233.70281, 0, 0, 130.797514, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.205714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 335.933231, 0, 0, 427132.727, 0, 0, 0, 0, 0, 0, 0, 0, -370121.516, -210555.312, 300, 0, 0, 0, 0, 0, 0, 0, 0.831039706, 281.491383, 0, 0, 234.204111, 0, 0, 149.393678, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
