run,milestone,profile,eg_max,eg_min,e- mobility_max,e- mobility_min,lattice temperature_max,lattice temperature_min,impact gen rate_max,impact gen rate_min,hole conc_max,hole conc_min,total current density_max,total current density_min,joule heat power_max,joule heat power_min
R096,100ps,hfo2,0.0,0.0,0.0,0.0,304.892934,299.999988,0.0,0.0,0.0,0.0,328122.74,0.0998979359,0.0,0.0
R102,100ps,hfo2,0.0,0.0,0.0,0.0,304.910167,299.991083,0.0,0.0,0.0,0.0,332727.651,0.100617133,0.0,0.0
R103,100ps,hfo2,0.0,0.0,0.0,0.0,304.893794,299.999988,0.0,0.0,0.0,0.0,327524.151,0.0996968894,0.0,0.0
R096,100ps,interface,4.85,4.85,96.4,3.75660497,324.12538,299.999907,3.55175148e+28,-3.03399928e-11,2.09966993e+19,6.38007813e-54,783395.569,183.860782,1364321350000.0,7.01460806e-12
R102,100ps,interface,4.8500001,4.82286563,96.4,3.75830159,324.218314,299.999906,3.58554859e+28,-3.03099935e-11,2.09914338e+19,5.78081359e-54,783456.54,182.58023,1378186150000.0,7.0764833e-12
R103,100ps,interface,4.85,4.85,96.3998321,3.75732667,324.13732,299.999907,3.5404132e+28,-3.03197434e-11,2.09969297e+19,5.97833311e-54,782414.83,184.088399,1366544860000.0,7.04444296e-12
R096,100ps,uidsub,4.85,4.85,116.280942,9.80473931,304.414562,300.0,1.20168272e+26,-1.16754673e-12,3.94059701e+18,9.39931702e-49,298809.699,51.0884446,102171052000.0,4.7665727
R102,100ps,uidsub,4.85,4.84520097,116.280942,9.80368868,304.396409,300.0,1.20794153e+26,-1.16754594e-12,4.01513627e+18,9.55402668e-49,305168.259,48.6582657,102588749000.0,4.75413185
R103,100ps,uidsub,4.85,4.85,116.280942,9.80618971,304.414454,300.0,1.19796772e+26,-1.16707131e-12,3.9411588e+18,9.22175756e-49,298537.016,51.7828638,101977300000.0,4.75897239
R096,100ps,track,4.85,0.0,117.19603,0.0,305.027011,300.0,0.0,0.0,2.21885416e+19,0.0,267388.578,689.550759,17613817600.0,-6.23038964e-06
R102,100ps,track,4.84993784,0.0,117.19603,0.0,305.053046,299.991867,0.0,0.0,2.21800535e+19,0.0,275679.703,693.812425,18309148800.0,-6.23583177e-06
R103,100ps,track,4.85,0.0,117.19603,0.0,305.026809,300.0,0.0,0.0,2.21878234e+19,0.0,267240.701,689.148441,17604398000.0,-6.21050882e-06
R096,400ps,hfo2,0.0,0.0,0.0,0.0,334.004714,299.999965,0.0,0.0,0.0,0.0,65360.8946,0.00151433561,0.0,0.0
R102,400ps,hfo2,0.0,0.0,0.0,0.0,333.918314,299.99996,0.0,0.0,0.0,0.0,65056.7449,0.00157330977,0.0,0.0
R103,400ps,hfo2,0.0,0.0,0.0,0.0,334.129603,299.999965,0.0,0.0,0.0,0.0,65212.0551,0.00151561906,0.0,0.0
R096,400ps,interface,4.85,4.85,96.4,4.41643831,372.394574,299.999924,1.0910329e+28,-9.85243905e-13,1.20259821e+19,6.37436634e-54,890767.656,17.811366,1528096030000.0,0.0029427082
R102,400ps,interface,4.8500001,4.76448734,96.4,4.55908717,372.017073,299.999909,9.87612989e+27,-9.90701052e-13,1.20077371e+19,5.77569269e-54,892318.349,16.7214951,1528571600000.0,0.00316746638
R103,400ps,interface,4.85,4.85,96.3992785,4.41866568,372.724374,299.999924,1.08458477e+28,-9.84286696e-13,1.20288129e+19,5.97298421e-54,887090.701,17.6862967,1543955500000.0,0.00297640931
