"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "seu generation rate", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
-1.77635684e-15, 0, 0, 5e+15, 0, 8.94338653e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.21876376, 116.280942, 1.25944174, 176.724143, 0, 2.74573727e+14, 0.310271834, 316.918282, -0.10633354, -3.44145417, 5e+15, 5.98664735e+25, 176.679908, 3.95382368, 300.000261, 117.19603, 116.280942, 1.28078819, 1.25944174, 5e+15, 4.92348679e-15, 316.918282, 0.558909821, 79.5542269, 0.169702469, -2.10857951e-18, 2.09315119, -316.918237, -4.92348634e-15, -79.5266856, 0, 1.20000148e-08, 1.20000148e-08, 17271317.9, 16323819.2, 89022.6472, 0.27, 3.332, -1036521.37, 0.169702469, -316.918237, 0, 1.49774689e+15, 0, 0, 2e+18, 2.42370145e+16
-1.77635684e-15, 0, 0, 1.5e+15, 0, 8.94338653e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.21876376, 116.280942, 1.25944174, 59477.7798, 0, 2.74573727e+14, 0.310271834, 316.918282, -0.10633354, -3.44145417, 1.5e+15, 5.98664735e+25, 176.679908, -59477.5174, 300.000261, 117.19603, 116.280942, 1.28078819, 1.25944174, 1.5e+15, 4.92348679e-15, 316.918282, 0.558909821, 79.5542269, 0.169702469, -2.10857951e-18, 2.09315119, -316.918237, -4.92348634e-15, -79.5266856, 0, 1.20000148e-08, 1.20000148e-08, 17271317.9, 16323819.2, 89022.6472, 0.27, 3.332, -1036521.37, 0.169702469, -316.918237, 0, 1.49774689e+15, 0, 0, 2e+18, 2.42370145e+16
0.125, 0, 0, 1.5e+15, 0, 8.94328685e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.21655526, 116.280942, 1.25944174, 59575.2348, 0, 2.56280276e+14, 0.343129718, 270.039088, -0.105907505, -3.44184809, 1.5e+15, 5.59244681e+25, -59.9835065, -59575.2046, 300.000226, 117.19603, 116.280942, 1.28078819, 1.25944174, 1.5e+15, 5.21236486e-15, 270.039088, 0.558690143, 53.946251, -0.178044246, -3.6057693e-16, 1.64268817, -270.039029, -5.19987805e-15, -53.9212349, 0, 1.20000128e-08, 1.20000128e-08, 14716978.9, 13900849.5, 84059.6543, 0.27, 3.332, -900189.026, -0.178044246, -270.039029, 0, 1.4978968e+15, 0, 0, 2e+18, 2.25947162e+16
0.125, 0, 0, 5e+15, 0, 8.94328685e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.21655526, 116.280942, 1.25944174, 226.521338, 0, 2.56280276e+14, 0.343129718, 270.039088, -0.105907505, -3.44184809, 5e+15, 5.59244681e+25, 28.7610248, 224.68805, 300.000226, 117.19603, 116.280942, 1.28078819, 1.25944174, 5e+15, 5.21236486e-15, 270.039088, 0.558690143, 53.946251, -0.178044246, -3.6057693e-16, 1.64268817, -270.039029, -5.19987805e-15, -53.9212349, 0, 1.20000128e-08, 1.20000128e-08, 14716978.9, 13900849.5, 84059.6543, 0.27, 3.332, -900189.026, -0.178044246, -270.039029, 0, 1.4978968e+15, 0, 0, 2e+18, 2.25947162e+16
0.25, 0, 0, 5e+15, 0, 8.94339697e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.21906596, 116.280942, 1.25944174, 112.368646, 0, 2.75494644e+14, 0.39885986, 318.676952, -0.106549186, -3.4482494, 5e+15, 6.00660309e+25, -58.452115, 95.9690724, 300.000265, 117.19603, 116.280942, 1.28078819, 1.25944174, 5e+15, 6.52682801e-15, 318.676952, 0.559970784, 79.5511562, -0.0819387128, -2.83226671e-17, 2.6186853, -318.676942, -6.52676656e-15, -79.5080432, 0, 1.20000151e-08, 1.20000151e-08, 17407262.5, 16455390.6, 89630.6305, 0.27, 3.332, -1041502.51, -0.0819387128, -318.676942, 0, 1.49773935e+15, 0, 0, 2e+18, 2.42773364e+16
0.25, 0, 0, 1.5e+15, 0, 8.94339697e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.21906596, 116.280942, 1.25944174, 59613.3949, 0, 2.75494644e+14, 0.39885986, 318.676952, -0.106549186, -3.4482494, 1.5e+15, 6.00660309e+25, -23.1128493, -59613.3904, 300.000265, 117.19603, 116.280942, 1.28078819, 1.25944174, 1.5e+15, 6.52682801e-15, 318.676952, 0.559970784, 79.5511562, -0.0819387128, -2.83226671e-17, 2.6186853, -318.676942, -6.52676656e-15, -79.5080432, 0, 1.20000151e-08, 1.20000151e-08, 17407262.5, 16455390.6, 89630.6305, 0.27, 3.332, -1041502.51, -0.0819387128, -318.676942, 0, 1.49773935e+15, 0, 0, 2e+18, 2.42773364e+16
0.375, 0, 0, 1.5e+15, 0, 8.94330482e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.21713308, 116.280942, 1.25944174, 59845.4255, 0, 2.57934398e+14, 0.473088798, 272.958812, -0.106319006, -3.45072891, 1.5e+15, 5.62832432e+25, -177.162268, -59845.1632, 300.000232, 117.19603, 116.280942, 1.28078819, 1.25944174, 1.5e+15, 7.22392148e-15, 272.958812, 0.560548875, 54.0193136, -0.528786224, -6.33429085e-16, 4.84184657, -272.9583, -7.1960968e-15, -53.8018843, 0, 1.20000132e-08, 1.20000132e-08, 14944404.1, 14121029.3, 85186.1902, 0.27, 3.332, -908560.981, -0.528786224, -272.9583, 0, 1.49788324e+15, 0, 0, 2e+18, 2.26708435e+16
0.375, 0, 0, 5e+15, 0, 8.94330482e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.21713308, 116.280942, 1.25944174, 181.246784, 0, 2.57934398e+14, 0.473088798, 272.958812, -0.106319006, -3.45072891, 5e+15, 5.62832432e+25, 7.87091291, 181.0758, 300.000232, 117.19603, 116.280942, 1.28078819, 1.25944174, 5e+15, 7.22392148e-15, 272.958812, 0.560548875, 54.0193136, -0.528786224, -6.33429085e-16, 4.84184657, -272.9583, -7.1960968e-15, -53.8018843, 0, 1.20000132e-08, 1.20000132e-08, 14944404.1, 14121029.3, 85186.1902, 0.27, 3.332, -908560.981, -0.528786224, -272.9583, 0, 1.49788324e+15, 0, 0, 2e+18, 2.26708435e+16
0.5, 0, 0, 5e+15, 0, 8.94342829e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.21993625, 116.280942, 1.25944174, 83.3739293, 0, 2.78113846e+14, 0.573066248, 323.7953, -0.107174858, -3.45848821, 5e+15, 6.06333029e+25, -79.1187045, 26.2952978, 300.000276, 117.19603, 116.280942, 1.28078819, 1.25944174, 5e+15, 9.31813411e-15, 323.7953, 0.561963354, 79.9234484, -0.162166353, -5.27663918e-17, 5.4537367, -323.795259, -9.3179847e-15, -79.737158, 0, 1.20000157e-08, 1.20000157e-08, 17807850.8, 16843251.1, 91409.8179, 0.27, 3.332, -1056009.45, -0.162166353, -323.795259, 0, 1.49771789e+15, 0, 0, 2e+18, 2.44001126e+16
0.5, 0, 0, 1.5e+15, 0, 8.94342829e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.21993625, 116.280942, 1.25944174, 60017.2392, 0, 2.78113846e+14, 0.573066248, 323.7953, -0.107174858, -3.45848821, 1.5e+15, 6.06333029e+25, -45.1169249, -60017.2222, 300.000276, 117.19603, 116.280942, 1.28078819, 1.25944174, 1.5e+15, 9.31813411e-15, 323.7953, 0.561963354, 79.9234484, -0.162166353, -5.27663918e-17, 5.4537367, -323.795259, -9.3179847e-15, -79.737158, 0, 1.20000157e-08, 1.20000157e-08, 17807850.8, 16843251.1, 91409.8179, 0.27, 3.332, -1056009.45, -0.162166353, -323.795259, 0, 1.49771789e+15, 0, 0, 2e+18, 2.44001126e+16
