"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "seu generation rate", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
-1.77635684e-15, 0, 0, 5e+15, 0, 5.33861923e-14, 3.718e+18, 6.44e+20, 4.85, 4, 1.43439285, 116.280079, 1.25944174, 46766.4318, 0, 1145645.98, 268188979, 2.09556965e-07, -0.0066142992, -3.00504999, 5e+15, 8.07227639e+16, -91.5561697, 46766.3422, 370.771701, 117.19603, 116.280079, 1.28078819, 1.25944174, 5e+15, 1.55442763e-07, 5.42001763e-08, 0.0263338286, 3.88274106e-05, -1.83101584e-09, -1.53954705e-08, 3.67892787e-07, -5.41692393e-08, -1.54678479e-07, 3.88256676e-05, 0, 1.62106491e-08, 1.62106491e-08, 0.000404614274, 0.0696829745, 0.0700211707, 0.27, 3.332, -0.000742810434, -1.72264863e-08, -2.08847719e-07, 0, 1.5e+15, 0, 0, 2e+18, 2.02178934e+16
-1.77635684e-15, 0, 0, 1.5e+15, 0, 5.33861923e-14, 3.718e+18, 6.44e+20, 4.85, 4, 1.43439285, 116.280079, 1.25944174, 1071.14412, 0, 1145645.98, 268188979, 2.09556965e-07, -0.0066142992, -3.00504999, 1.5e+15, 8.07227639e+16, -91.5561697, -1067.22406, 370.771701, 117.19603, 116.280079, 1.28078819, 1.25944174, 1.5e+15, 1.55442763e-07, 5.42001763e-08, 0.0263338286, 3.88274106e-05, -1.83101584e-09, -1.53954705e-08, 3.67892787e-07, -5.41692393e-08, -1.54678479e-07, 3.88256676e-05, 0, 1.62106491e-08, 1.62106491e-08, 0.000404614274, 0.0696829745, 0.0700211707, 0.27, 3.332, -0.000742810434, -1.72264863e-08, -2.08847719e-07, 0, 1.5e+15, 0, 0, 2e+18, 2.02178934e+16
0.125, 0, 0, 1.5e+15, 0, 5.33932419e-14, 3.718e+18, 6.44e+20, 4.85, 4, 1.4355373, 116.280081, 1.25944174, 1116.60494, 0, 1148584.51, 287584756, 2.17584581e-07, -0.0076786066, -3.00842374, 1.5e+15, 9.16573732e+16, -255.019693, -1087.09316, 370.772346, 117.19603, 116.280081, 1.28078819, 1.25944174, 1.5e+15, 1.64975816e-07, 5.34135006e-08, 0.0263733138, 3.54962666e-05, -1.60411223e-09, -3.75955054e-08, 8.02273143e-07, -5.33894079e-08, -1.60634983e-07, 3.54871991e-05, 0, 1.62106892e-08, 1.62106892e-08, 0.000443879121, 0.0685983987, 0.0689519419, 0.27, 3.332, -0.000797422296, -3.91996176e-08, -2.14024391e-07, 0, 1.5e+15, 0, 0, 2e+18, 1.85661477e+16
0.125, 0, 0, 5e+15, 0, 5.33932419e-14, 3.718e+18, 6.44e+20, 4.85, 4, 1.4355373, 116.280081, 1.25944174, 46755.8019, 0, 1148584.51, 287584756, 2.17584581e-07, -0.0076786066, -3.00842374, 5e+15, 9.16573732e+16, -202.550121, 46755.3631, 370.772346, 117.19603, 116.280081, 1.28078819, 1.25944174, 5e+15, 1.64975816e-07, 5.34135006e-08, 0.0263733138, 3.54962666e-05, -1.60411223e-09, -3.75955054e-08, 8.02273143e-07, -5.33894079e-08, -1.60634983e-07, 3.54871991e-05, 0, 1.62106892e-08, 1.62106892e-08, 0.000443879121, 0.0685983987, 0.0689519419, 0.27, 3.332, -0.000797422296, -3.91996176e-08, -2.14024391e-07, 0, 1.5e+15, 0, 0, 2e+18, 1.85661477e+16
0.25, 0, 0, 5e+15, 0, 5.34131898e-14, 3.718e+18, 6.44e+20, 4.85, 4, 1.4408852, 116.280121, 1.25944174, 46557.5774, 0, 1351693.64, 313792814, 2.57386029e-07, -0.00782881556, -3.01655349, 5e+15, 1.18419693e+17, -484.915482, 46555.052, 370.77417, 117.19603, 116.280121, 1.28078819, 1.25944174, 5e+15, 1.90657401e-07, 6.85370307e-08, 0.0262908275, 3.91756922e-05, -2.51775195e-09, -5.72396084e-08, 1.48169261e-06, -6.84907694e-08, -1.81862233e-07, 3.91476621e-05, 0, 1.62108025e-08, 1.62108025e-08, 0.000538302302, 0.0810094301, 0.0815115763, 0.27, 3.332, -0.00104044856, -5.97573604e-08, -2.50353002e-07, 0, 1.5e+15, 0, 0, 2e+18, 2.01134691e+16
0.25, 0, 0, 1.5e+15, 0, 5.34131898e-14, 3.718e+18, 6.44e+20, 4.85, 4, 1.4408852, 116.280121, 1.25944174, 1185.47113, 0, 1351693.64, 313792814, 2.57386029e-07, -0.00782881556, -3.01655349, 1.5e+15, 1.18419693e+17, -542.680595, -1053.96375, 370.77417, 117.19603, 116.280121, 1.28078819, 1.25944174, 1.5e+15, 1.90657401e-07, 6.85370307e-08, 0.0262908275, 3.91756922e-05, -2.51775195e-09, -5.72396084e-08, 1.48169261e-06, -6.84907694e-08, -1.81862233e-07, 3.91476621e-05, 0, 1.62108025e-08, 1.62108025e-08, 0.000538302302, 0.0810094301, 0.0815115763, 0.27, 3.332, -0.00104044856, -5.97573604e-08, -2.50353002e-07, 0, 1.5e+15, 0, 0, 2e+18, 2.01134691e+16
0.375, 0, 0, 1.5e+15, 0, 5.34472181e-14, 3.718e+18, 6.44e+20, 4.85, 4, 1.44910431, 116.28017, 1.25944174, 1304.82093, 0, 1635035.49, 367521328, 3.15445453e-07, -0.00997559558, -3.02981435, 1.5e+15, 1.80765389e+17, -798.254101, -1032.15699, 370.777282, 117.19603, 116.28017, 1.28078819, 1.25944174, 1.5e+15, 2.36044164e-07, 8.56982785e-08, 0.0262373999, 3.62064286e-05, -5.71999421e-09, -1.16450429e-07, 2.88011094e-06, -8.55071728e-08, -2.05319617e-07, 3.60916948e-05, 0, 1.62109956e-08, 1.62109956e-08, 0.000715674013, 0.0861886797, 0.0869538399, 0.27, 3.332, -0.00148083423, -1.22170423e-07, -2.9082679e-07, 0, 1.5e+15, 0, 0, 2e+18, 1.83163723e+16
0.375, 0, 0, 5e+15, 0, 5.34472181e-14, 3.718e+18, 6.44e+20, 4.85, 4, 1.44910431, 116.28017, 1.25944174, 46210.9915, 0, 1635035.49, 367521328, 3.15445453e-07, -0.00997559558, -3.02981435, 5e+15, 1.80765389e+17, -749.330716, 46204.9157, 370.777282, 117.19603, 116.28017, 1.28078819, 1.25944174, 5e+15, 2.36044164e-07, 8.56982785e-08, 0.0262373999, 3.62064286e-05, -5.71999421e-09, -1.16450429e-07, 2.88011094e-06, -8.55071728e-08, -2.05319617e-07, 3.60916948e-05, 0, 1.62109956e-08, 1.62109956e-08, 0.000715674013, 0.0861886797, 0.0869538399, 0.27, 3.332, -0.00148083423, -1.22170423e-07, -2.9082679e-07, 0, 1.5e+15, 0, 0, 2e+18, 1.83163723e+16
0.5, 0, 0, 5e+15, 0, 5.34941884e-14, 3.718e+18, 6.44e+20, 4.85, 4, 1.4617137, 116.280249, 1.25944174, 45651.4714, 0, 2376930.21, 409389549, 3.97694644e-07, -0.0106416554, -3.04585975, 5e+15, 3.05514768e+17, -1050.65305, 45639.3796, 370.781573, 117.19603, 116.280249, 1.28078819, 1.25944174, 5e+15, 2.68140599e-07, 1.37790865e-07, 0.0261106072, 4.01771582e-05, -5.83963904e-09, -1.21170818e-07, 4.00096683e-06, -1.37667066e-07, -2.39200781e-07, 3.99774475e-05, 0, 1.62112621e-08, 1.62112621e-08, 0.000941746414, 0.102554086, 0.104118529, 0.27, 3.332, -0.00250618982, -1.27010457e-07, -3.76867847e-07, 0, 1.5e+15, 0, 0, 2e+18, 1.96830996e+16
0.5, 0, 0, 1.5e+15, 0, 5.34941884e-14, 3.718e+18, 6.44e+20, 4.85, 4, 1.4617137, 116.280249, 1.25944174, 1485.2201, 0, 2376930.21, 409389549, 3.97694644e-07, -0.0106416554, -3.04585975, 1.5e+15, 3.05514768e+17, -1137.48013, -954.996179, 370.781573, 117.19603, 116.280249, 1.28078819, 1.25944174, 1.5e+15, 2.68140599e-07, 1.37790865e-07, 0.0261106072, 4.01771582e-05, -5.83963904e-09, -1.21170818e-07, 4.00096683e-06, -1.37667066e-07, -2.39200781e-07, 3.99774475e-05, 0, 1.62112621e-08, 1.62112621e-08, 0.000941746414, 0.102554086, 0.104118529, 0.27, 3.332, -0.00250618982, -1.27010457e-07, -3.76867847e-07, 0, 1.5e+15, 0, 0, 2e+18, 1.96830996e+16
0.625, 0, 0, 1.5e+15, 0, 5.3555349e-14, 3.718e+18, 6.44e+20, 4.85, 4, 1.47754132, 116.280335, 1.25944174, 1584.83716, 0, 3637790.08, 459471652, 5.17190299e-07, -0.0128859416, -3.06536057, 1.5e+15, 5.45192948e+17, -1327.11238, -866.303385, 370.787155, 117.19603, 116.280335, 1.28078819, 1.25944174, 1.5e+15, 3.24933351e-07, 2.13707004e-07, 0.0260215906, 3.76147515e-05, -1.40961245e-08, -1.95390567e-07, 6.74241378e-06, -2.13241607e-07, -2.59623206e-07, 3.70055318e-05, 0, 1.62116087e-08, 1.62116087e-08, 0.00133496341, 0.102129949, 0.105199725, 0.27, 3.332, -0.00440473904, -2.09486692e-07, -4.72864813e-07, 0, 1.5e+15, 0, 0, 2e+18, 1.77083298e+16
