"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "seu generation rate", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
-1.77635684e-15, 0, 0, 1e+19, 0, 8.94300443e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458063, 12.1176471, 0.0128722772, 8979.90061, 0, 1.80985705e+18, 2.01372655e-11, 0.758215827, -2.39896092e-07, -1.58134036, 1e+19, 0.00168647453, -0.000424620081, 8979.90061, 300.000125, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 1.70894132e-27, 0.758215827, 0.0865303842, 0.758207949, -0.000500379829, -4.93266621e-30, -0.000500439571, -0.758215538, -1.7089331e-27, -0.75820766, 0, 1.20000071e-08, 1.20000071e-08, 0.226099544, -2673.76332, -0.240415716, 0.27, 3.332, -2673.749, -0.000500379829, -0.758215538, 0, 7.65560818e+17, 0, 0, 0, 0
0.0666666667, 0, 0, 1e+19, 0, 8.94300494e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458063, 12.1176471, 0.0128722772, 10182.9273, 0, 1.80985706e+18, 2.12937129e-11, 0.763333957, -2.42631418e-07, -1.58211027, 1e+19, 0.00178332577, -0.000661658811, 10182.9273, 300.000125, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 1.79389385e-27, 0.763333957, 0.0865394863, 0.763326573, -0.00100906144, -1.17814081e-29, -0.00100917768, -0.763332815, -1.79384947e-27, -0.76332543, 0, 1.20000071e-08, 1.20000071e-08, 0.229161226, -2704.26986, -0.24256546, 0.27, 3.332, -2704.25646, -0.00100906144, -0.763332815, 0, 7.65560818e+17, 0, 0, 0, 0
0.125, 0, 0, 1e+19, 0, 8.94300539e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458063, 12.1176471, 0.0128722772, 10182.9253, 0, 1.80985706e+18, 2.12937129e-11, 0.766868866, -2.42631418e-07, -1.58211027, 1e+19, 0.00178332577, -0.000757723055, 10182.9253, 300.000125, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 1.80711179e-27, 0.766868866, 0.086518645, 0.766859476, -0.000999802304, -1.17814081e-29, -0.000999918549, -0.766867723, -1.8070674e-27, -0.766858332, 0, 1.20000071e-08, 1.20000071e-08, 0.231290073, -2704.26774, -0.24256546, 0.27, 3.332, -2704.25646, -0.000999802304, -0.766867723, 0, 7.65560819e+17, 0, 0, 0, 0
0.191666667, 0, 0, 1e+19, 0, 8.94300697e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458064, 12.1176471, 0.0128722772, 10182.9196, 0, 1.80985707e+18, 2.56614919e-11, 0.782208194, -2.5082974e-07, -1.58468278, 1e+19, 0.00214912259, -0.0012369693, 10182.9196, 300.000126, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 2.12805667e-27, 0.782208194, 0.086388803, 0.782200231, -0.00202442229, -1.76975314e-29, -0.00202464513, -0.782203744, -2.12797358e-27, -0.78219578, 0, 1.20000071e-08, 1.20000071e-08, 0.240673536, -2795.7012, -0.248919804, 0.27, 3.332, -2795.69295, -0.00202442229, -0.782203744, 0, 7.6556082e+17, 0, 0, 0, 0
0.25, 0, 0, 1e+19, 0, 8.94300832e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458064, 12.1176471, 0.0128722772, 10182.9149, 0, 1.80985707e+18, 2.56614919e-11, 0.792802973, -2.5082974e-07, -1.58468278, 1e+19, 0.00214912259, -0.00136698377, 10182.9149, 300.000126, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 2.17797937e-27, 0.792802973, 0.086333062, 0.792788422, -0.00200532653, -1.76975314e-29, -0.00200554936, -0.79279852, -2.17789628e-27, -0.79278397, 0, 1.20000072e-08, 1.20000072e-08, 0.247198769, -2795.69467, -0.248919804, 0.27, 3.332, -2795.69295, -0.00200532653, -0.79279852, 0, 7.65560823e+17, 0, 0, 0, 0
0.316666667, 0, 0, 1e+19, 0, 8.94301102e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458065, 12.1176471, 0.0128722772, 10182.9056, 0, 1.80985709e+18, 2.9591957e-11, 0.818517435, -2.64573268e-07, -1.5866477, 1e+19, 0.00247829483, -0.00185440542, 10182.9056, 300.000127, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 2.46660441e-27, 0.818517435, 0.0861337843, 0.818505141, -0.00304587009, -2.5989139e-29, -0.00304617871, -0.818507821, -2.46644901e-27, -0.818495526, 0, 1.20000072e-08, 1.20000072e-08, 0.263629152, -2948.96993, -0.259508368, 0.27, 3.332, -2948.97405, -0.00304587009, -0.818507821, 0, 7.65560824e+17, 0, 0, 0, 0
0.375, 0, 0, 1e+19, 0, 8.94301334e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458065, 12.1176471, 0.0128722772, 10182.8982, 0, 1.8098571e+18, 2.9591957e-11, 0.836278146, -2.64573268e-07, -1.5866477, 1e+19, 0.00247829483, -0.00198675262, 10182.8982, 300.000128, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 2.51152882e-27, 0.836278146, 0.0860401579, 0.836252878, -0.00302497501, -2.5989139e-29, -0.00302528363, -0.836268529, -2.51137342e-27, -0.836243261, 0, 1.20000073e-08, 1.20000073e-08, 0.275054532, -2948.9585, -0.259508368, 0.27, 3.332, -2948.97405, -0.00302497501, -0.836268529, 0, 7.65560828e+17, 0, 0, 0, 0
0.441666667, 0, 0, 1e+19, 0, 8.9430173e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458067, 12.1176471, 0.0128722772, 10182.8851, 0, 1.80985713e+18, 3.78475964e-11, 0.872558776, -2.8396527e-07, -1.5900404, 1e+19, 0.00316969579, -0.00248950131, 10182.8851, 300.00013, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 3.118982e-27, 0.872558776, 0.0857768728, 0.872536356, -0.00409203096, -4.8933652e-29, -0.00409238904, -0.872542546, -3.11855142e-27, -0.872520124, 0, 1.20000074e-08, 1.20000074e-08, 0.299727781, -3165.22274, -0.274707936, 0.27, 3.332, -3165.24776, -0.00409203096, -0.872542546, 0, 7.6556083e+17, 0, 0, 0, 0
0.5, 0, 0, 1e+19, 0, 8.94302071e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34458067, 12.1176471, 0.0128722772, 10182.8751, 0, 1.80985714e+18, 3.78475964e-11, 0.897618479, -2.8396527e-07, -1.5900404, 1e+19, 0.00316969579, -0.00262675486, 10182.8751, 300.000131, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 3.21334228e-27, 0.897618479, 0.0856486342, 0.897573201, -0.0040669463, -4.8933652e-29, -0.00406730438, -0.897602245, -3.2129117e-27, -0.897556964, 0, 1.20000074e-08, 1.20000074e-08, 0.31688561, -3165.20558, -0.274707936, 0.27, 3.332, -3165.24776, -0.0040669463, -0.897602245, 0, 7.65560837e+17, 0, 0, 0, 0
0.566666667, 0, 0, 1e+19, 0, 8.94302627e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.3445807, 12.1176471, 0.0128722772, 10182.858, 0, 1.80985717e+18, 5.25365754e-11, 0.944866797, -3.09222703e-07, -1.594562, 1e+19, 0.00439988202, -0.00316661541, 10182.858, 300.000132, 12.1176471, 12.1176471, 0.0128722772, 0.0128722772, 1e+19, 4.30259746e-27, 0.944866797, 0.0853228451, 0.944824598, -0.00519699915, -7.91267269e-29, -0.00519735418, -0.94484267, -4.30178846e-27, -0.94480047, 0, 1.20000075e-08, 1.20000075e-08, 0.351634506, -3446.86896, -0.296005149, 0.27, 3.332, -3446.92459, -0.00519699915, -0.94484267, 0, 7.6556084e+17, 0, 0, 0, 0
