"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "seu generation rate", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
-1.77635684e-15, 0, 0, 5e+15, 0, 8.94321142e-22, 3.718e+18, 6.44e+20, 4.85, 4, 0.681086243, 116.212683, 1.25944174, 83653.3916, 0, 500.727844, 15031.1242, 9.10696428e-11, 0.732557432, -2.18267379, 5e+15, -2.91878346e+14, 108.77645, 83653.3209, 300.000199, 117.19603, 116.212683, 1.28078819, 1.25944174, 5e+15, 6.97590116e-11, 1.60106717e-10, 0.0162418257, 3.28338365, 7.79752654e-13, -7.88070969e-12, -0.0740700599, 1.60104818e-10, -6.93124384e-11, -3.28254807, 0, 1.20000113e-08, 1.20000113e-08, 6.99599106e-08, 5.77883682e-06, 6.44910718e-06, 0.27, 3.332, -7.40230266e-07, -7.10095704e-12, 9.07923799e-11, 0, 1.5e+15, 0, 0, 2e+18, 2.68752063e+16
-1.77635684e-15, 0, 0, 1.5e+15, 0, 8.94321142e-22, 3.718e+18, 6.44e+20, 4.85, 4, 0.681086243, 116.212683, 1.25944174, 18268.164, 0, 500.727844, 15031.1242, 9.10696428e-11, 0.732557432, -2.18267379, 1.5e+15, -2.91878346e+14, 108.77645, 18267.8402, 300.000199, 117.19603, 116.212683, 1.28078819, 1.25944174, 1.5e+15, 6.97590116e-11, 1.60106717e-10, 0.0162418257, 3.28338365, 7.79752654e-13, -7.88070969e-12, -0.0740700599, 1.60104818e-10, -6.93124384e-11, -3.28254807, 0, 1.20000113e-08, 1.20000113e-08, 6.99599106e-08, 5.77883682e-06, 6.44910718e-06, 0.27, 3.332, -7.40230266e-07, -7.10095704e-12, 9.07923799e-11, 0, 1.5e+15, 0, 0, 2e+18, 2.68752063e+16
0.125, 0, 0, 1.5e+15, 0, 8.94321335e-22, 3.718e+18, 6.44e+20, 4.85, 4, 0.679726538, 116.211076, 1.25944174, 18099.4507, 0, 494.632577, 34908.8745, 1.09453815e-10, 0.733600512, -2.2030975, 1.5e+15, -2.652292e+14, -242.27334, 18097.8291, 300.000199, 117.19603, 116.211076, 1.28078819, 1.25944174, 1.5e+15, 2.14543948e-10, 1.43669614e-10, 0.0165523222, 3.06997176, -1.65548507e-12, -9.68090903e-11, -0.169149575, 1.43660076e-10, -1.91460734e-10, -3.06530831, 0, 1.20000113e-08, 1.20000113e-08, 6.47868899e-08, 1.16004037e-05, 1.40043676e-05, 0.27, 3.332, -2.46875133e-06, -9.84645753e-11, -4.78006583e-11, 0, 1.5e+15, 0, 0, 2e+18, 2.50068465e+16
0.125, 0, 0, 5e+15, 0, 8.94321335e-22, 3.718e+18, 6.44e+20, 4.85, 4, 0.679726538, 116.211076, 1.25944174, 83826.6989, 0, 494.632577, 34908.8745, 1.09453815e-10, 0.733600512, -2.2030975, 5e+15, -2.652292e+14, -81.9513263, 83826.6588, 300.000199, 117.19603, 116.211076, 1.28078819, 1.25944174, 5e+15, 2.14543948e-10, 1.43669614e-10, 0.0165523222, 3.06997176, -1.65548507e-12, -9.68090145e-11, -0.169149575, 1.43660076e-10, -1.91460493e-10, -3.06530831, 0, 1.20000113e-08, 1.20000113e-08, 6.47868899e-08, 1.16004037e-05, 1.40043676e-05, 0.27, 3.332, -2.46875085e-06, -9.84644995e-11, -4.78004175e-11, 0, 1.5e+15, 0, 0, 2e+18, 2.50068465e+16
0.25, 0, 0, 5e+15, 0, 8.94321829e-22, 3.718e+18, 6.44e+20, 4.85, 4, 0.684869106, 116.213712, 1.25944174, 83627.7929, 0, 501.534808, 57001.0166, 1.03553311e-10, 0.72881619, -2.22091605, 5e+15, -2.92312466e+14, -314.837084, 83627.2003, 300.000201, 117.19603, 116.213712, 1.28078819, 1.25944174, 5e+15, 2.52624483e-10, 1.59034275e-10, 0.0164452427, 3.440528, -2.86471528e-12, -5.10666797e-11, -0.25653939, 1.59008471e-10, -2.47409223e-10, -3.43095037, 0, 1.20000114e-08, 1.20000114e-08, 1.63524293e-07, 2.12264025e-05, 2.45425226e-05, 0.27, 3.332, -3.47964433e-06, -5.3931395e-11, -8.84007511e-11, 0, 1.5e+15, 0, 0, 2e+18, 2.69159945e+16
0.25, 0, 0, 1.5e+15, 0, 8.94321829e-22, 3.718e+18, 6.44e+20, 4.85, 4, 0.684869106, 116.213712, 1.25944174, 18012.4597, 0, 501.534808, 57001.0166, 1.03553311e-10, 0.72881619, -2.22091605, 1.5e+15, -2.92312466e+14, -309.472008, 18009.801, 300.000201, 117.19603, 116.213712, 1.28078819, 1.25944174, 1.5e+15, 2.52624483e-10, 1.59034275e-10, 0.0164452427, 3.440528, -2.86471528e-12, -5.10666797e-11, -0.25653939, 1.59008471e-10, -2.47409223e-10, -3.43095037, 0, 1.20000114e-08, 1.20000114e-08, 1.63524293e-07, 2.12264025e-05, 2.45425226e-05, 0.27, 3.332, -3.47964433e-06, -5.3931395e-11, -8.84007511e-11, 0, 1.5e+15, 0, 0, 2e+18, 2.69159945e+16
0.375, 0, 0, 1.5e+15, 0, 8.94322737e-22, 3.718e+18, 6.44e+20, 4.85, 4, 0.687463338, 116.213214, 1.25944174, 17583.5009, 0, 496.219942, 250744.043, 1.57333343e-09, 0.725946527, -2.26180658, 1.5e+15, -2.66024943e+14, -761.725876, 17566.994, 300.000204, 117.19603, 116.213214, 1.28078819, 1.25944174, 1.5e+15, 1.68384798e-09, 1.4166359e-10, 0.0165102545, 3.36888005, -5.25782866e-12, -9.67447121e-10, -0.5076748, 1.41565985e-10, -1.37818362e-09, -3.33040825, 0, 1.20000116e-08, 1.20000116e-08, 3.06073557e-07, 7.83115359e-05, 0.000101484135, 0.27, 3.332, -2.34786725e-05, -9.7270495e-10, -1.23661763e-09, 0, 1.5e+15, 0, 0, 2e+18, 2.50831229e+16
0.375, 0, 0, 5e+15, 0, 8.94322737e-22, 3.718e+18, 6.44e+20, 4.85, 4, 0.687463338, 116.213214, 1.25944174, 83539.8226, 0, 496.219942, 250744.043, 1.57333343e-09, 0.725946527, -2.26180658, 5e+15, -2.66024943e+14, -394.52029, 83538.8911, 300.000204, 117.19603, 116.213214, 1.28078819, 1.25944174, 5e+15, 1.68384798e-09, 1.4166359e-10, 0.0165102545, 3.36888005, -5.25782866e-12, -9.67447121e-10, -0.5076748, 1.41565985e-10, -1.37818362e-09, -3.33040825, 0, 1.20000116e-08, 1.20000116e-08, 3.06073557e-07, 7.83115359e-05, 0.000101484135, 0.27, 3.332, -2.34786725e-05, -9.7270495e-10, -1.23661763e-09, 0, 1.5e+15, 0, 0, 2e+18, 2.50831229e+16
0.5, 0, 0, 5e+15, 0, 8.94324006e-22, 3.718e+18, 6.44e+20, 4.85, 4, 0.696864056, 116.216887, 1.25944174, 83156.3234, 0, 504.014971, 531147.52, 1.59489912e-09, 0.716948742, -2.29061203, 5e+15, -2.93611696e+14, -657.879464, 83153.721, 300.000209, 117.19603, 116.216887, 1.28078819, 1.25944174, 5e+15, 1.7082917e-09, 1.55684539e-10, 0.0163520838, 3.90052638, -6.26041103e-12, -1.07800987e-09, -0.522968551, 1.55558616e-10, -1.32520008e-09, -3.86530851, 0, 1.20000119e-08, 1.20000119e-08, 3.79153709e-06, 0.000208724614, 0.000231274823, 0.27, 3.332, -2.63417461e-05, -1.08427028e-09, -1.16964146e-09, 0, 1.5e+15, 0, 0, 2e+18, 2.70388336e+16
0.5, 0, 0, 1.5e+15, 0, 8.94324006e-22, 3.718e+18, 6.44e+20, 4.85, 4, 0.696864056, 116.216887, 1.25944174, 17223.1466, 0, 504.014971, 531147.52, 1.59489912e-09, 0.716948742, -2.29061203, 1.5e+15, -2.93611696e+14, -672.672572, 17210.0056, 300.000209, 117.19603, 116.216887, 1.28078819, 1.25944174, 1.5e+15, 1.7082917e-09, 1.55684539e-10, 0.0163520838, 3.90052638, -6.26041103e-12, -1.07800987e-09, -0.522968551, 1.55558616e-10, -1.32520008e-09, -3.86530851, 0, 1.20000119e-08, 1.20000119e-08, 3.79153709e-06, 0.000208724614, 0.000231274823, 0.27, 3.332, -2.63417461e-05, -1.08427028e-09, -1.16964146e-09, 0, 1.5e+15, 0, 0, 2e+18, 2.70388336e+16
