"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "seu generation rate", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
-1.77635684e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837255, 0, 0, 0.0927573125, 0, 0, 0, 0, 0, 0, 0, 0, 0.000703842689, -0.0927546421, 371.1636, 0, 0, 0, 0, 0, 0, 0, 0.949046587, 8.23046428e-10, 0, 0, -7.79038001e-12, 0, 0, 8.23009558e-10, 0, 0, 0, 0, 0, 0, 0.023, 4.08717601, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837254, 0, 0, 0.103724875, 0, 0, 0, 0, 0, 0, 0, 0, 0.00163160387, -0.103712042, 371.164221, 0, 0, 0, 0, 0, 0, 0, 0.949408527, 9.20481912e-10, 0, 0, -1.6502031e-11, 0, 0, 9.2033398e-10, 0, 0, 0, 0, 0, 0, 0.023, 4.08717656, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837251, 0, 0, 0.139262564, 0, 0, 0, 0, 0, 0, 0, 0, 0.00378979771, -0.139210988, 371.166082, 0, 0, 0, 0, 0, 0, 0, 0.949741217, 1.23587726e-09, 0, 0, -3.69070966e-11, 0, 0, 1.23532606e-09, 0, 0, 0, 0, 0, 0, 0.023, 4.08717819, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837244, 0, 0, 0.207748062, 0, 0, 0, 0, 0, 0, 0, 0, 0.0068443893, -0.207635285, 371.169185, 0, 0, 0, 0, 0, 0, 0, 0.950124785, 1.84367084e-09, 0, 0, -6.60417004e-11, 0, 0, 1.84248763e-09, 0, 0, 0, 0, 0, 0, 0.023, 4.08718092, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837233, 0, 0, 0.325374133, 0, 0, 0, 0, 0, 0, 0, 0, 0.0115180424, -0.325170203, 371.173528, 0, 0, 0, 0, 0, 0, 0, 0.950559389, 2.88755749e-09, 0, 0, -1.10798421e-10, 0, 0, 2.88543098e-09, 0, 0, 0, 0, 0, 0, 0.023, 4.08718475, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.625, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837214, 0, 0, 0.519967019, 0, 0, 0, 0, 0, 0, 0, 0, 0.0189169848, -0.519622794, 371.179114, 0, 0, 0, 0, 0, 0, 0, 0.951048209, 4.61445637e-09, 0, 0, -1.81770317e-10, 0, 0, 4.61087487e-09, 0, 0, 0, 0, 0, 0, 0.023, 4.08718966, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837184, 0, 0, 0.837583715, 0, 0, 0, 0, 0, 0, 0, 0, 0.030794454, -0.837017432, 371.185942, 0, 0, 0, 0, 0, 0, 0, 0.951597528, 7.4329949e-09, 0, 0, -2.95772368e-10, 0, 0, 7.42710791e-09, 0, 0, 0, 0, 0, 0, 0.023, 4.08719567, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.875, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837134, 0, 0, 1.35347626, 0, 0, 0, 0, 0, 0, 0, 0, 0.049972295, -1.35255342, 371.194012, 0, 0, 0, 0, 0, 0, 0, 0.952216891, 1.20105677e-08, 0, 0, -4.79879726e-10, 0, 0, 1.20009771e-08, 0, 0, 0, 0, 0, 0, 0.023, 4.08720278, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837054, 0, 0, 2.19016763, 0, 0, 0, 0, 0, 0, 0, 0, 0.0810350026, -2.18866799, 371.203326, 0, 0, 0, 0, 0, 0, 0, 0.952919447, 1.94328383e-08, 0, 0, -7.78067948e-10, 0, 0, 1.94172555e-08, 0, 0, 0, 0, 0, 0, 0.023, 4.08721097, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35836923, 0, 0, 3.54750159, 0, 0, 0, 0, 0, 0, 0, 0, 0.131516964, -3.54506288, 371.213884, 0, 0, 0, 0, 0, 0, 0, 0.95372258, 3.14668395e-08, 0, 0, -1.26252662e-09, 0, 0, 3.14415015e-08, 0, 0, 0, 0, 0, 0, 0.023, 4.08722027, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35836711, 0, 0, 5.7540721, 0, 0, 0, 0, 0, 0, 0, 0, 0.214087211, -5.75008803, 371.225687, 0, 0, 0, 0, 0, 0, 0, 0.954648938, 5.10033657e-08, 0, 0, -2.05430639e-09, 0, 0, 5.09619774e-08, 0, 0, 0, 0, 0, 0, 0.023, 4.08723065, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35836366, 0, 0, 9.36141097, 0, 0, 0, 0, 0, 0, 0, 0, 0.351161773, -9.35482233, 371.238736, 0, 0, 0, 0, 0, 0, 0, 0.955727909, 8.28363721e-08, 0, 0, -3.36629709e-09, 0, 0, 8.27679442e-08, 0, 0, 0, 0, 0, 0, 0.023, 4.08724214, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35835796, 0, 0, 15.3421434, 0, 0, 0, 0, 0, 0, 0, 0, 0.587049136, -15.3309079, 371.25303, 0, 0, 0, 0, 0, 0, 0, 0.956997032, 1.3517987e-07, 0, 0, -5.61442316e-09, 0, 0, 1.35063228e-07, 0, 0, 0, 0, 0, 0, 0.023, 4.08725472, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.625, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35834832, 0, 0, 25.6281991, 0, 0, 0, 0, 0, 0, 0, 0, 1.03210833, -25.607408, 371.268572, 0, 0, 0, 0, 0, 0, 0, 0.958499885, 2.23227185e-07, 0, 0, -9.81653754e-09, 0, 0, 2.23011237e-07, 0, 0, 0, 0, 0, 0, 0.023, 4.08726839, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35833085, 0, 0, 45.7543594, 0, 0, 0, 0, 0, 0, 0, 0, 2.20209999, -45.7013365, 371.285359, 0, 0, 0, 0, 0, 0, 0, 0.960262489, 3.80637274e-07, 0, 0, -2.06569066e-08, 0, 0, 3.80076343e-07, 0, 0, 0, 0, 0, 0, 0.023, 4.08728316, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.875, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3582893, 0, 0, 142.045438, 0, 0, 0, 0, 0, 0, 0, 0, 16.8999188, -141.036517, 371.303394, 0, 0, 0, 0, 0, 0, 0, 0.962159605, 7.47671165e-07, 0, 0, -1.52975786e-07, 0, 0, 7.31854207e-07, 0, 0, 0, 0, 0, 0, 0.023, 4.08729903, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35784966, 0, 0, 1233.22557, 0, 0, 0, 0, 0, 0, 0, 0, 1212.95049, -222.702505, 371.322681, 0, 0, 0, 0, 0, 0, 0, 0.963729718, 9.9369721e-06, 0, 0, -9.30976496e-06, 0, 0, 3.4744339e-06, 0, 0, 0, 0, 0, 0, 0.023, 4.087316, 0, 0, 0, 0, 0, 0, 0, 0, 0
2.125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.32817119, 0, 0, 1198.55769, 0, 0, 0, 0, 0, 0, 0, 0, 1178.31848, 219.330976, 371.343289, 0, 0, 0, 0, 0, 0, 0, 0.964679148, 1.04893435e-05, 0, 0, -1.01522153e-05, 0, 0, -2.63796351e-06, 0, 0, 0, 0, 0, 0, 0.023, 4.08733412, 0, 0, 0, 0, 0, 0, 0, 0, 0
2.25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.32819965, 0, 0, 95.3840638, 0, 0, 0, 0, 0, 0, 0, 0, -19.1912871, 93.4334743, 371.365148, 0, 0, 0, 0, 0, 0, 0, 0.965190519, 1.8247998e-06, 0, 0, -1.81595291e-06, 0, 0, -1.79469627e-07, 0, 0, 0, 0, 0, 0, 0.023, 4.08735335, 0, 0, 0, 0, 0, 0, 0, 0, 0
