"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "seu generation rate", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
-1.77635684e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837276, 0, 0, 0.121538428, 0, 0, 0, 0, 0, 0, 0, 0, -0.000922231344, 0.121534929, 299.999975, 0, 0, 0, 0, 0, 0, 0, 0.785011407, 0.00157330977, 0, 0, -1.48918302e-05, 0, 0, 0.00157323929, 0, 0, 0, 0, 0, 0, 0.023, 4.01277775, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837277, 0, 0, 0.135908998, 0, 0, 0, 0, 0, 0, 0, 0, -0.00213785601, 0.135892183, 299.999975, 0, 0, 0, 0, 0, 0, 0, 0.783275503, 0.00175956418, 0, 0, -3.15447131e-05, 0, 0, 0.0017592814, 0, 0, 0, 0, 0, 0, 0.023, 4.01277775, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837282, 0, 0, 0.182473186, 0, 0, 0, 0, 0, 0, 0, 0, -0.00496567443, 0.182405608, 299.999975, 0, 0, 0, 0, 0, 0, 0, 0.781679894, 0.00236246291, 0, 0, -7.05502242e-05, 0, 0, 0.00236140926, 0, 0, 0, 0, 0, 0, 0.023, 4.01277775, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837291, 0, 0, 0.272207515, 0, 0, 0, 0, 0, 0, 0, 0, -0.00896794717, 0.272059749, 299.999975, 0, 0, 0, 0, 0, 0, 0, 0.77984035, 0.0035242975, 0, 0, -0.000126242353, 0, 0, 0.00352203573, 0, 0, 0, 0, 0, 0, 0.023, 4.01277775, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837305, 0, 0, 0.426326687, 0, 0, 0, 0, 0, 0, 0, 0, -0.0150913373, 0.426059497, 299.999975, 0, 0, 0, 0, 0, 0, 0, 0.777756259, 0.00551974065, 0, 0, -0.000211795329, 0, 0, 0.0055156758, 0, 0, 0, 0, 0, 0, 0.023, 4.01277775, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.625, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3583733, 0, 0, 0.681281719, 0, 0, 0, 0, 0, 0, 0, 0, -0.0247844327, 0.680830752, 299.999974, 0, 0, 0, 0, 0, 0, 0, 0.77541258, 0.00882075765, 0, 0, -0.000347453153, 0, 0, 0.00881391183, 0, 0, 0, 0, 0, 0, 0.023, 4.01277775, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3583737, 0, 0, 1.09738495, 0, 0, 0, 0, 0, 0, 0, 0, -0.0403410934, 1.09664321, 299.999974, 0, 0, 0, 0, 0, 0, 0, 0.772779516, 0.014208324, 0, 0, -0.000565338318, 0, 0, 0.0141970723, 0, 0, 0, 0, 0, 0, 0.023, 4.01277775, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.875, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837435, 0, 0, 1.77310256, 0, 0, 0, 0, 0, 0, 0, 0, -0.0654458106, 1.77189434, 299.999974, 0, 0, 0, 0, 0, 0, 0, 0.769811814, 0.0229576604, 0, 0, -0.000917128452, 0, 0, 0.022939334, 0, 0, 0, 0, 0, 0, 0.023, 4.01277774, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3583754, 0, 0, 2.8684561, 0, 0, 0, 0, 0, 0, 0, 0, -0.106056009, 2.86649481, 299.999974, 0, 0, 0, 0, 0, 0, 0, 0.766447226, 0.0371419839, 0, 0, -0.00148658521, 0, 0, 0.0371122221, 0, 0, 0, 0, 0, 0, 0.023, 4.01277774, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837711, 0, 0, 4.64330583, 0, 0, 0, 0, 0, 0, 0, 0, -0.171852878, 4.64012453, 299.999973, 0, 0, 0, 0, 0, 0, 0, 0.762603667, 0.060131034, 0, 0, -0.00241054469, 0, 0, 0.0600826973, 0, 0, 0, 0, 0, 0, 0.023, 4.01277774, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837988, 0, 0, 7.52049525, 0, 0, 0, 0, 0, 0, 0, 0, -0.278693124, 7.51532959, 299.999972, 0, 0, 0, 0, 0, 0, 0, 0.758174524, 0.0974196812, 0, 0, -0.00391588637, 0, 0, 0.0973409478, 0, 0, 0, 0, 0, 0, 0.023, 4.01277774, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35838436, 0, 0, 12.1924257, 0, 0, 0, 0, 0, 0, 0, 0, -0.452996273, 12.1840075, 299.999971, 0, 0, 0, 0, 0, 0, 0, 0.75302193, 0.158050918, 0, 0, -0.00639158073, 0, 0, 0.157921627, 0, 0, 0, 0, 0, 0, 0.023, 4.01277774, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35839167, 0, 0, 19.8109989, 0, 0, 0, 0, 0, 0, 0, 0, -0.740578181, 19.7971519, 299.999967, 0, 0, 0, 0, 0, 0, 0, 0.746970235, 0.25724577, 0, 0, -0.0105577391, 0, 0, 0.257029026, 0, 0, 0, 0, 0, 0, 0.023, 4.01277774, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.625, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35840366, 0, 0, 32.3703645, 0, 0, 0, 0, 0, 0, 0, 0, -1.22887256, 32.3470303, 299.99996, 0, 0, 0, 0, 0, 0, 0, 0.739815089, 0.422052408, 0, 0, -0.0180055534, 0, 0, 0.421668158, 0, 0, 0, 0, 0, 0, 0.023, 4.01277773, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35842374, 0, 0, 53.7634302, 0, 0, 0, 0, 0, 0, 0, 0, -2.13957623, 53.7208399, 299.999969, 0, 0, 0, 0, 0, 0, 0, 0.731428386, 0.707461691, 0, 0, -0.0347653427, 0, 0, 0.706606973, 0, 0, 0, 0, 0, 0, 0.023, 4.01277774, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.875, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35845981, 0, 0, 99.3400639, 0, 0, 0, 0, 0, 0, 0, 0, -5.551619, 99.1848165, 300.000292, 0, 0, 0, 0, 0, 0, 0, 0.722354826, 1.29563945, 0, 0, -0.183456664, 0, 0, 1.28258537, 0, 0, 0, 0, 0, 0, 0.023, 4.01277815, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35857475, 0, 0, 271.569538, 0, 0, 0, 0, 0, 0, 0, 0, -159.250274, 219.975827, 300.003288, 0, 0, 0, 0, 0, 0, 0, 0.714644128, 10.710895, 0, 0, -9.70256343, 0, 0, 4.53690807, 0, 0, 0, 0, 0, 0, 0.023, 4.01278194, 0, 0, 0, 0, 0, 0, 0, 0, 0
