"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "seu generation rate", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
-1.77635684e-15, 0, 0, 1e+19, 0, 8.94255744e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34464445, 12.1176495, 0.0128722772, 8905.16479, 0, 1.8098932e+18, 4.14997652e-19, 201.292544, -6.34615835e-05, -1.33739501, 1e+19, 3.47556514e-11, 0.0238162893, 8905.16479, 299.999965, 12.1176496, 12.1176496, 0.0128722772, 0.0128722772, 1e+19, 1.69062436e-35, 201.292544, 0.603410509, 184.588367, 0.0283081789, -1.08624453e-37, 0.0295191083, -201.292541, -1.69057581e-35, -184.588363, 0, 1.1999998e-08, 1.1999998e-08, 15945.3808, -661209.803, 31147.9079, 0.27, 3.332, -708303.093, 0.0283081789, -201.292541, 0, 7.65544314e+17, 0, 0, 0, 0
0.0666666667, 0, 0, 1e+19, 0, 8.94255743e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.3446443, 12.1176495, 0.0128722772, 10110.9285, 0, 1.80989311e+18, 4.40469086e-19, 201.000251, -6.33119957e-05, -1.33821617, 1e+19, 3.68888593e-11, -0.0174197251, 10110.9285, 299.999965, 12.1176496, 12.1176496, 0.0128722772, 0.0128722772, 1e+19, 1.76551268e-35, 201.000251, 0.603756024, 184.286303, -0.027350057, -2.09567814e-37, -0.0235017423, -201.000248, -1.76534243e-35, -184.2863, 0, 1.1999998e-08, 1.1999998e-08, 15898.7906, -659555.185, 31176.4049, 0.27, 3.332, -706630.384, -0.027350057, -201.000248, 0, 7.6554435e+17, 0, 0, 0, 0
0.125, 0, 0, 1e+19, 0, 8.94255741e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.3446443, 12.1176495, 0.0128722772, 10110.8949, 0, 1.80989311e+18, 4.40469086e-19, 200.806765, -6.33119957e-05, -1.33821617, 1e+19, 3.68888593e-11, -0.0330346214, 10110.8949, 299.999965, 12.1176496, 12.1176496, 0.0128722772, 0.0128722772, 1e+19, 1.79470117e-35, 200.806765, 0.603932997, 184.088399, -0.0273514328, -2.09567814e-37, -0.0235031182, -200.806762, -1.79453092e-35, -184.088397, 0, 1.1999998e-08, 1.1999998e-08, 15868.1607, -659585.814, 31176.4049, 0.27, 3.332, -706630.384, -0.0273514328, -200.806762, 0, 7.6554435e+17, 0, 0, 0, 0
0.191666667, 0, 0, 1e+19, 0, 8.94255716e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34464475, 12.1176495, 0.0128722772, 10110.6939, 0, 1.80989337e+18, 5.13252398e-19, 201.643017, -6.37506021e-05, -1.34032513, 1e+19, 4.29843913e-11, -0.0296055837, 10110.6939, 299.999965, 12.1176496, 12.1176496, 0.0128722772, 0.0128722772, 1e+19, 2.00931935e-35, 201.643017, 0.604602881, 184.870983, -0.053560578, -3.48384891e-37, -0.0458175149, -201.643004, -2.00891593e-35, -184.870973, 0, 1.1999998e-08, 1.1999998e-08, 16001.1049, -664197.089, 31331.9677, 0.27, 3.332, -711530.16, -0.053560578, -201.643004, 0, 7.65544241e+17, 0, 0, 0, 0
0.25, 0, 0, 1e+19, 0, 8.94255701e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34464475, 12.1176495, 0.0128722772, 10110.5361, 0, 1.80989337e+18, 5.13252398e-19, 202.210353, -6.37506021e-05, -1.34032513, 1e+19, 4.29843913e-11, -0.0222766102, 10110.5361, 299.999965, 12.1176496, 12.1176496, 0.0128722772, 0.0128722772, 1e+19, 2.09274354e-35, 202.210353, 0.604982437, 185.412203, -0.0535623242, -3.48384891e-37, -0.0458192612, -202.210341, -2.09234013e-35, -185.412193, 0, 1.1999998e-08, 1.1999998e-08, 16091.1216, -664107.073, 31331.9677, 0.27, 3.332, -711530.16, -0.0535623242, -202.210341, 0, 7.65544241e+17, 0, 0, 0, 0
0.316666667, 0, 0, 1e+19, 0, 8.94255674e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34464488, 12.1176495, 0.0128722772, 10110.3471, 0, 1.80989345e+18, 6.03804619e-19, 202.439286, -6.38779797e-05, -1.34256554, 1e+19, 5.05680523e-11, -0.0492940728, 10110.3471, 299.999964, 12.1176496, 12.1176496, 0.0128722772, 0.0128722772, 1e+19, 2.35754689e-35, 202.439286, 0.605801374, 185.567174, -0.0788128469, -4.87697837e-37, -0.0670024101, -202.43926, -2.35687462e-35, -185.567153, 0, 1.1999998e-08, 1.1999998e-08, 16127.2256, -665275.979, 31546.7115, 0.27, 3.332, -712949.92, -0.0788128469, -202.43926, 0, 7.65544207e+17, 0, 0, 0, 0
0.375, 0, 0, 1e+19, 0, 8.94255655e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34464488, 12.1176495, 0.0128722772, 10110.1963, 0, 1.80989345e+18, 6.03804619e-19, 202.60405, -6.38779797e-05, -1.34256554, 1e+19, 5.05680523e-11, -0.0629091117, 10110.1963, 299.999964, 12.1176496, 12.1176496, 0.0128722772, 0.0128722772, 1e+19, 2.46132982e-35, 202.60405, 0.606260561, 185.697721, -0.0788146501, -4.87697837e-37, -0.0670042133, -202.604024, -2.46065754e-35, -185.6977, 0, 1.1999998e-08, 1.1999998e-08, 16153.4846, -665249.72, 31546.7115, 0.27, 3.332, -712949.92, -0.0788146501, -202.604024, 0, 7.65544206e+17, 0, 0, 0, 0
0.441666667, 0, 0, 1e+19, 0, 8.94255603e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34464559, 12.1176495, 0.0128722772, 10109.8188, 0, 1.80989387e+18, 7.41891685e-19, 203.942922, -6.45834197e-05, -1.34540588, 1e+19, 6.21327109e-11, -0.0576568703, 10109.8188, 299.999964, 12.1176497, 12.1176496, 0.0128722772, 0.0128722772, 1e+19, 2.86735408e-35, 203.942922, 0.607217836, 186.915885, -0.101635704, -6.39677893e-37, -0.0854619055, -203.942879, -2.86641337e-35, -186.915852, 0, 1.1999998e-08, 1.1999998e-08, 16368.4807, -672563.987, 31896.7331, 0.27, 3.332, -720829.2, -0.101635704, -203.942879, 0, 7.6554403e+17, 0, 0, 0, 0
0.5, 0, 0, 1e+19, 0, 8.94255571e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34464559, 12.1176495, 0.0128722772, 10109.5394, 0, 1.80989387e+18, 7.41891685e-19, 204.855414, -6.45834197e-05, -1.34540588, 1e+19, 6.21327109e-11, -0.0497233013, 10109.5394, 299.999964, 12.1176497, 12.1176496, 0.0128722772, 0.0128722772, 1e+19, 3.02563791e-35, 204.855414, 0.607750271, 187.773467, -0.101637602, -6.39677893e-37, -0.0854638031, -204.855372, -3.02469719e-35, -187.773434, 0, 1.19999979e-08, 1.19999979e-08, 16514.8549, -672417.613, 31896.7331, 0.27, 3.332, -720829.2, -0.101637602, -204.855372, 0, 7.6554403e+17, 0, 0, 0, 0
0.566666667, 0, 0, 1e+19, 0, 8.94255516e-22, 3.718e+18, 6.44e+20, 4.85, 4, 2.34464596, 12.1176495, 0.0128722772, 10109.1878, 0, 1.80989409e+18, 9.03689653e-19, 205.538664, -6.49519536e-05, -1.34812634, 1e+19, 7.56831344e-11, -0.0753507405, 10109.1878, 299.999964, 12.1176497, 12.1176497, 0.0128722772, 0.0128722772, 1e+19, 3.49927475e-35, 205.538664, 0.608844463, 188.310847, -0.123342731, -8.18013589e-37, -0.102303396, -205.538601, -3.49801143e-35, -188.3108, 0, 1.19999979e-08, 1.19999979e-08, 16624.9525, -675996.839, 32319.9675, 0.27, 3.332, -724941.76, -0.123342731, -205.538601, 0, 7.65543934e+17, 0, 0, 0, 0
