"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "seu generation rate", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
-0.42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 371.482076, 0, 0, 399445.765, 0, 0, 0, 0, 0, 0, 0, 0, -399003.845, -18748.2051, 300, 0, 0, 0, 0, 0, 0, 0, 0.831686243, 1298.33835, 0, 0, 1293.84486, 0, 0, 107.774622, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.405714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 371.506464, 0, 0, 400367.225, 0, 0, 0, 0, 0, 0, 0, 0, -399611.175, -23617.2112, 300, 0, 0, 0, 0, 0, 0, 0, 0.834322031, 1300.08507, 0, 0, 1291.52005, 0, 0, 137.497142, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 371.583191, 0, 0, 404268.867, 0, 0, 0, 0, 0, 0, 0, 0, -402377.392, -38997.7692, 300, 0, 0, 0, 0, 0, 0, 0, 0.841386958, 1306.72614, 0, 0, 1288.45389, 0, 0, 217.456333, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.355714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 371.656409, 0, 0, 402033.244, 0, 0, 0, 0, 0, 0, 0, 0, -398796.783, -48735.3452, 300, 0, 0, 0, 0, 0, 0, 0, 0.84355309, 1316.11833, 0, 0, 1281.11617, 0, 0, 278.106594, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 371.887738, 0, 0, 398270.913, 0, 0, 0, 0, 0, 0, 0, 0, -390168.798, -79806.3045, 300, 0, 0, 0, 0, 0, 0, 0, 0.849266547, 1346.22705, 0, 0, 1271.14574, 0, 0, 442.668017, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.305714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 372.009899, 0, 0, 394507.249, 0, 0, 0, 0, 0, 0, 0, 0, -383957.644, -89532.1512, 300, 0, 0, 0, 0, 0, 0, 0, 0.851671049, 1362.40357, 0, 0, 1257.63066, 0, 0, 506.506283, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 372.399384, 0, 0, 388516.454, 0, 0, 0, 0, 0, 0, 0, 0, -368980.551, -121475.202, 300, 0, 0, 0, 0, 0, 0, 0, 0.85791229, 1414.99659, 0, 0, 1238.20002, 0, 0, 683.880235, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.255714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 372.570507, 0, 0, 383146.713, 0, 0, 0, 0, 0, 0, 0, 0, -359720.335, -131130.788, 300, 0, 0, 0, 0, 0, 0, 0, 0.860613654, 1438.69405, 0, 0, 1216.30196, 0, 0, 752.329867, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 373.124441, 0, 0, 375329.919, 0, 0, 0, 0, 0, 0, 0, 0, -337257.948, -164490.31, 300, 0, 0, 0, 0, 0, 0, 0, 0.867476644, 1517.67176, 0, 0, 1182.22627, 0, 0, 950.199641, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.205714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 373.344077, 0, 0, 368627.151, 0, 0, 0, 0, 0, 0, 0, 0, -322284.506, -177368.173, 300, 0, 0, 0, 0, 0, 0, 0, 0.870443664, 1547.1482, 0, 0, 1134.56291, 0, 0, 1030.77914, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
