"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "seu generation rate", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
-1.77635684e-15, 0, 0, 1e+19, 0, 9.83351477e-15, 3.718e+18, 6.44e+20, 4.85, 4, 2.34222873, 8.61147266, 0.0128722772, 10501.5568, 0, 2.44265186e+18, 6.52000901e-07, 0.0476383104, -1.87128075e-08, -1.54016427, 1e+19, 42.0064283, 0.00242814906, 10501.5568, 362.687469, 8.61147266, 8.61148379, 0.0128722772, 0.0128722772, 1e+19, 2.87185353e-23, 0.0476383104, 0.114472748, 0.0476574342, 0.0237638891, -3.89004231e-25, 0.0237638891, 0.0410543242, -2.8714663e-23, 0.0410768267, 0, 1.57110527e-08, 1.57110527e-08, 0.000782736769, 159.196239, -15.2837165, 0.27, 3.332, 174.479173, 0.0237638891, 0.0410543242, 0, 1.08223498e+18, 0, 0, 0, 0
0.0666666667, 0, 0, 1e+19, 0, 9.83407598e-15, 3.718e+18, 6.44e+20, 4.85, 4, 2.34222871, 8.61147053, 0.0128722772, 11912.1511, 0, 2.44265463e+18, 7.27439477e-07, 0.0540408485, -1.87009618e-08, -1.54198778, 1e+19, 46.8666169, 0.00383552772, 11912.1511, 362.687736, 8.61147266, 8.61147239, 0.0128722772, 0.0128722772, 1e+19, 3.09915359e-23, 0.0540408485, 0.11428745, 0.0540582918, 0.0349466381, -8.15427216e-25, 0.0349466381, 0.0410777967, -3.097629e-23, 0.0411002992, 0, 1.57110692e-08, 1.57110692e-08, 0.00119152741, 159.354649, -15.2836036, 0.27, 3.332, 174.637061, 0.0349466381, 0.0410777967, 0, 1.08223623e+18, 0, 0, 0, 0
0.125, 0, 0, 1e+19, 0, 9.834567e-15, 3.718e+18, 6.44e+20, 4.85, 4, 2.34222871, 8.61146241, 0.0128722772, 11912.1658, 0, 2.44265699e+18, 7.27439477e-07, 0.0631646947, -1.87009618e-08, -1.54198778, 1e+19, 46.8666169, 0.00457256127, 11912.1658, 362.687969, 8.61147266, 8.61146241, 0.0128722772, 0.0128722772, 1e+19, 3.20533955e-23, 0.0631646947, 0.114199535, 0.0631790022, 0.0475140534, -8.15427216e-25, 0.0475140534, 0.0410934425, -3.20381496e-23, 0.0411159449, 0, 1.57110835e-08, 1.57110835e-08, 0.00119207552, 159.35465, -15.2836036, 0.27, 3.332, 174.637061, 0.0475140534, 0.0410934425, 0, 1.08223747e+18, 0, 0, 0, 0
0.191666667, 0, 0, 1e+19, 0, 9.83625021e-15, 3.718e+18, 6.44e+20, 4.85, 4, 2.34222865, 8.61142822, 0.0128722772, 11912.1792, 0, 2.44266532e+18, 9.68268e-07, 0.081252954, -1.86404929e-08, -1.54675031, 1e+19, 62.3820821, 0.00738703156, 11912.1792, 362.688769, 8.61144986, 8.61142822, 0.0128722772, 0.0128722772, 1e+19, 3.92935621e-23, 0.081252954, 0.113917197, 0.0812648144, 0.0698859013, -2.02015025e-24, 0.0698859012, 0.0411970023, -3.92232465e-23, 0.0412195045, 0, 1.57111327e-08, 1.57111327e-08, 0.00241998526, 160.083325, -15.2832649, 0.27, 3.332, 175.36417, 0.0698859013, 0.0411970023, 0, 1.08224121e+18, 0, 0, 0, 0
0.25, 0, 0, 1e+19, 0, 9.83772295e-15, 3.718e+18, 6.44e+20, 4.85, 4, 2.34222865, 8.61139831, 0.0128722772, 11912.2152, 0, 2.4426724e+18, 9.68268e-07, 0.103915126, -1.86404929e-08, -1.54675031, 1e+19, 62.3820821, 0.00837005991, 11912.2152, 362.689469, 8.61142992, 8.61139831, 0.0128722772, 0.0128722772, 1e+19, 4.26834359e-23, 0.103915126, 0.11373019, 0.103923856, 0.0950295658, -2.02015025e-24, 0.0950295658, 0.0412692016, -4.26131203e-23, 0.0412917035, 0, 1.57111758e-08, 1.57111758e-08, 0.00242252083, 160.083328, -15.2832649, 0.27, 3.332, 175.36417, 0.0950295658, 0.0412692016, 0, 1.08224494e+18, 0, 0, 0, 0
0.316666667, 0, 0, 1e+19, 0, 9.84053004e-15, 3.718e+18, 6.44e+20, 4.85, 4, 2.34222854, 8.61134132, 0.0128722772, 11912.2399, 0, 2.4426863e+18, 1.51096121e-06, 0.124499923, -1.85526862e-08, -1.55416057, 1e+19, 97.3449696, 0.0111852961, 11912.2399, 362.690802, 8.61138433, 8.61134132, 0.0128722772, 0.0128722772, 1e+19, 5.90217387e-23, 0.124499923, 0.113396445, 0.124507383, 0.117404796, -4.2478049e-24, 0.117404796, 0.041425243, -5.88225489e-23, 0.0414477447, 0, 1.57112578e-08, 1.57112578e-08, 0.00446869032, 161.16904, -15.2827003, 0.27, 3.332, 176.447272, 0.117404796, 0.041425243, 0, 1.08225117e+18, 0, 0, 0, 0
0.375, 0, 0, 1e+19, 0, 9.8429861e-15, 3.718e+18, 6.44e+20, 4.85, 4, 2.34222854, 8.61129146, 0.0128722772, 11912.2956, 0, 2.44269808e+18, 1.51096121e-06, 0.14872145, -1.85526862e-08, -1.55416057, 1e+19, 97.3449696, 0.0121684092, 11912.2956, 362.691969, 8.61134444, 8.61129146, 0.0128722772, 0.0128722772, 1e+19, 6.66606764e-23, 0.14872145, 0.113179294, 0.148727594, 0.14255252, -4.2478049e-24, 0.14255252, 0.0415327324, -6.64614866e-23, 0.0415552336, 0, 1.57113296e-08, 1.57113296e-08, 0.0044724848, 161.169044, -15.2827003, 0.27, 3.332, 176.447272, 0.14255252, 0.0415327324, 0, 1.0822574e+18, 0, 0, 0, 0
0.441666667, 0, 0, 1e+19, 0, 9.84691838e-15, 3.718e+18, 6.44e+20, 4.85, 4, 2.34222839, 8.61121168, 0.0128722772, 11912.3316, 0, 2.44271753e+18, 2.61578363e-06, 0.170164473, -1.84188831e-08, -1.56329872, 1e+19, 168.521879, 0.0149832823, 11912.3316, 362.693836, 8.61127606, 8.61121168, 0.0128722772, 0.0128722772, 1e+19, 9.99049095e-23, 0.170164473, 0.112797556, 0.170169902, 0.164932588, -8.98302363e-24, 0.164932587, 0.0417643111, -9.93901404e-23, 0.041786812, 0, 1.57114444e-08, 1.57114444e-08, 0.00733864753, 162.792327, -15.28191, 0.27, 3.332, 178.066898, 0.164932588, 0.0417643111, 0, 1.08226611e+18, 0, 0, 0, 0
0.5, 0, 0, 1e+19, 0, 9.85035893e-15, 3.718e+18, 6.44e+20, 4.85, 4, 2.34222839, 8.61114188, 0.0128722772, 11912.407, 0, 2.44273404e+18, 2.61578363e-06, 0.194851463, -1.84188831e-08, -1.56329872, 1e+19, 168.521879, 0.0159665471, 11912.407, 362.695469, 8.61121623, 8.61114188, 0.0128722772, 0.0128722772, 1e+19, 1.15456535e-22, 0.194851463, 0.11255251, 0.1948562, 0.190087801, -8.98302363e-24, 0.190087801, 0.0419250995, -1.14941765e-22, 0.0419475998, 0, 1.57115449e-08, 1.57115449e-08, 0.00734436695, 162.792333, -15.28191, 0.27, 3.332, 178.066898, 0.190087801, 0.0419250995, 0, 1.08227483e+18, 0, 0, 0, 0
0.566666667, 0, 0, 1e+19, 0, 9.85542001e-15, 3.718e+18, 6.44e+20, 4.85, 4, 2.3422282, 8.61103929, 0.0128722772, 11912.4544, 0, 2.44275905e+18, 4.99500707e-06, 0.216659435, -1.82782708e-08, -1.57406875, 1e+19, 321.797914, 0.0187796856, 11912.4544, 362.69787, 8.61112504, 8.61103929, 0.0128722772, 0.0128722772, 1e+19, 1.87129496e-22, 0.216659435, 0.112123622, 0.21666372, 0.212469587, -1.92507528e-23, 0.212469586, 0.0421737492, -1.85891641e-22, 0.0421962491, 0, 1.57116925e-08, 1.57116925e-08, 0.0110281952, 164.521877, -15.2808936, 0.27, 3.332, 179.791742, 0.212469587, 0.0421737492, 0, 1.08228604e+18, 0, 0, 0, 0
