"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "seu generation rate", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
-0.42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 176.945331, 0, 0, 1031176.23, 0, 0, 0, 0, 0, 0, 0, 0, -1031167.18, 4317.41533, 367.264577, 0, 0, 0, 0, 0, 0, 0, 0.949106984, 0.000167541578, 0, 0, 0.00016753455, 0, 0, -1.53137269e-06, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.405714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 176.939207, 0, 0, 1030756.81, 0, 0, 0, 0, 0, 0, 0, 0, -1030740.19, 5541.88856, 367.264892, 0, 0, 0, 0, 0, 0, 0, 0.950486546, 0.000167597474, 0, 0, 0.000167585554, 0, 0, -1.92959555e-06, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 176.923616, 0, 0, 1029691.99, 0, 0, 0, 0, 0, 0, 0, 0, -1029655.57, 8659.19057, 367.265682, 0, 0, 0, 0, 0, 0, 0, 0.954150754, 0.000167739232, 0, 0, 0.000167711123, 0, 0, -3.06408766e-06, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.355714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 176.905249, 0, 0, 1029781.38, 0, 0, 0, 0, 0, 0, 0, 0, -1029714.68, 11106.2152, 367.266628, 0, 0, 0, 0, 0, 0, 0, 0.955285203, 0.000167911995, 0, 0, 0.000167864366, 0, 0, -3.86138683e-06, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 176.858489, 0, 0, 1030018.31, 0, 0, 0, 0, 0, 0, 0, 0, -1029872.38, 17336.8192, 367.268996, 0, 0, 0, 0, 0, 0, 0, 0.958245763, 0.0001683539, 0, 0, 0.000168241647, 0, 0, -6.13356444e-06, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.305714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 176.827899, 0, 0, 1030167.9, 0, 0, 0, 0, 0, 0, 0, 0, -1029971.63, 19778.5989, 367.270572, 0, 0, 0, 0, 0, 0, 0, 0.959491029, 0.000168642472, 0, 0, 0.000168497855, 0, 0, -6.93308986e-06, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 176.75001, 0, 0, 1030565.24, 0, 0, 0, 0, 0, 0, 0, 0, -1030237.21, 25998.2704, 367.27452, 0, 0, 0, 0, 0, 0, 0, 0.962675099, 0.000169380584, 0, 0, 0.0001691287, 0, 0, -9.2138741e-06, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.255714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 176.707231, 0, 0, 1030775.28, 0, 0, 0, 0, 0, 0, 0, 0, -1030377.15, 28431.6564, 367.276725, 0, 0, 0, 0, 0, 0, 0, 0.964063274, 0.000169786045, 0, 0, 0.000169489214, 0, 0, -1.00165664e-05, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 176.598281, 0, 0, 1031336.05, 0, 0, 0, 0, 0, 0, 0, 0, -1030754.27, 34633.7142, 367.282245, 0, 0, 0, 0, 0, 0, 0, 0.967511044, 0.000170823325, 0, 0, 0.000170377226, 0, 0, -1.23104133e-05, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.205714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 176.543365, 0, 0, 1031461.49, 0, 0, 0, 0, 0, 0, 0, 0, -1030781.66, 37260.1095, 367.285078, 0, 0, 0, 0, 0, 0, 0, 0.969035508, 0.000169472203, 0, 0, 0.000168954857, 0, 0, -1.32096129e-05, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
