"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "seu generation rate", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
-1.77635684e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3583729, 0, 0, 0.264202904, 0, 0, 0, 0, 0, 0, 0, 0, -0.00200476778, 0.264195297, 300.000112, 0, 0, 0, 0, 0, 0, 0, 0.790300961, 0.000195979215, 0, 0, 1.85499973e-06, 0, 0, -0.000195970435, 0, 0, 0, 0, 0, 0, 0.023, 4.01277792, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837293, 0, 0, 0.295441986, 0, 0, 0, 0, 0, 0, 0, 0, -0.00464732186, 0.295405433, 300.000112, 0, 0, 0, 0, 0, 0, 0, 0.790970678, 0.000219179981, 0, 0, 3.92936499e-06, 0, 0, -0.000219144757, 0, 0, 0, 0, 0, 0, 0.023, 4.01277792, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837303, 0, 0, 0.396664356, 0, 0, 0, 0, 0, 0, 0, 0, -0.0107945075, 0.396517452, 300.000113, 0, 0, 0, 0, 0, 0, 0, 0.791586268, 0.000294280021, 0, 0, 8.78808418e-06, 0, 0, -0.000294148772, 0, 0, 0, 0, 0, 0, 0.023, 4.01277792, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837321, 0, 0, 0.591731276, 0, 0, 0, 0, 0, 0, 0, 0, -0.0194947814, 0.591410058, 300.000115, 0, 0, 0, 0, 0, 0, 0, 0.792295978, 0.000439003874, 0, 0, 1.57253721e-05, 0, 0, -0.000438722138, 0, 0, 0, 0, 0, 0, 0.023, 4.01277792, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837354, 0, 0, 0.926760737, 0, 0, 0, 0, 0, 0, 0, 0, -0.0328061165, 0.926179908, 300.000117, 0, 0, 0, 0, 0, 0, 0, 0.79310006, 0.00068756616, 0, 0, 2.63822806e-05, 0, 0, -0.000687059822, 0, 0, 0, 0, 0, 0, 0.023, 4.01277793, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.625, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837407, 0, 0, 1.4809946, 0, 0, 0, 0, 0, 0, 0, 0, -0.0538778519, 1.48001425, 300.00012, 0, 0, 0, 0, 0, 0, 0, 0.794004341, 0.00109875732, 0, 0, 4.32805195e-05, 0, 0, -0.00109790457, 0, 0, 0, 0, 0, 0, 0.023, 4.01277793, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837494, 0, 0, 2.38555582, 0, 0, 0, 0, 0, 0, 0, 0, -0.0876978307, 2.3839433, 300.000125, 0, 0, 0, 0, 0, 0, 0, 0.795020358, 0.00176985998, 0, 0, 7.04214916e-05, 0, 0, -0.00176845842, 0, 0, 0, 0, 0, 0, 0.023, 4.01277794, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.875, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837635, 0, 0, 3.85454844, 0, 0, 0, 0, 0, 0, 0, 0, -0.142280838, 3.85192157, 300.000132, 0, 0, 0, 0, 0, 0, 0, 0.796165629, 0.00285972371, 0, 0, 0.000114242673, 0, 0, -0.00285744087, 0, 0, 0, 0, 0, 0, 0.023, 4.01277794, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35837864, 0, 0, 6.23604561, 0, 0, 0, 0, 0, 0, 0, 0, -0.230597796, 6.23178061, 300.000143, 0, 0, 0, 0, 0, 0, 0, 0.797464263, 0.0046266055, 0, 0, 0.000185178804, 0, 0, -0.00462289815, 0, 0, 0, 0, 0, 0, 0.023, 4.01277796, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35838235, 0, 0, 10.0957628, 0, 0, 0, 0, 0, 0, 0, 0, -0.373773047, 10.0888414, 300.000162, 0, 0, 0, 0, 0, 0, 0, 0.798948077, 0.00749028295, 0, 0, 0.000300278618, 0, 0, -0.00748426158, 0, 0, 0, 0, 0, 0, 0.023, 4.01277798, 0, 0, 0, 0, 0, 0, 0, 0, 0
