"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "seu generation rate", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
-0.42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88.153788, 0, 0, 659899.72, 0, 0, 0, 0, 0, 0, 0, 0, -659825.83, 9874.93976, 300.000446, 0, 0, 0, 0, 0, 0, 0, 0.790300961, 4.11881546, 0, 0, 4.11574084, 0, 0, 0.158972823, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.405714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88.1394968, 0, 0, 658837.691, 0, 0, 0, 0, 0, 0, 0, 0, -658699.312, 12734.6579, 300.000647, 0, 0, 0, 0, 0, 0, 0, 0.790714776, 4.12191551, 0, 0, 4.11601137, 0, 0, 0.204697562, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88.1049618, 0, 0, 656254.078, 0, 0, 0, 0, 0, 0, 0, 0, -655959.997, 19644.2861, 300.001221, 0, 0, 0, 0, 0, 0, 0, 0.791782752, 4.12923016, 0, 0, 4.11693718, 0, 0, 0.318098871, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.355714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88.0620675, 0, 0, 656255.847, 0, 0, 0, 0, 0, 0, 0, 0, -655704.54, 25370.2313, 300.002378, 0, 0, 0, 0, 0, 0, 0, 0.792114077, 4.14132183, 0, 0, 4.11776384, 0, 0, 0.409698724, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87.958429, 0, 0, 656208.496, 0, 0, 0, 0, 0, 0, 0, 0, -655036.595, 39200.1098, 300.005652, 0, 0, 0, 0, 0, 0, 0, 0.792945734, 4.16958502, 0, 0, 4.12058067, 0, 0, 0.6368113, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.305714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87.8868692, 0, 0, 656207.57, 0, 0, 0, 0, 0, 0, 0, 0, -654605.066, 44943.4043, 300.010499, 0, 0, 0, 0, 0, 0, 0, 0.793307514, 4.18961272, 0, 0, 4.12201072, 0, 0, 0.728813271, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87.7140282, 0, 0, 656119.099, 0, 0, 0, 0, 0, 0, 0, 0, -653478.949, 58800.7886, 300.024051, 0, 0, 0, 0, 0, 0, 0, 0.79418694, 4.23647973, 0, 0, 4.12683651, 0, 0, 0.956749933, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.255714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87.6136988, 0, 0, 656111.189, 0, 0, 0, 0, 0, 0, 0, 0, -652863.225, 64570.0314, 300.041734, 0, 0, 0, 0, 0, 0, 0, 0.79459032, 4.2642782, 0, 0, 4.12895693, 0, 0, 1.04935428, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87.3714963, 0, 0, 655971.299, 0, 0, 0, 0, 0, 0, 0, 0, -651261.398, 78466.1122, 300.090407, 0, 0, 0, 0, 0, 0, 0, 0.79552538, 4.32940961, 0, 0, 4.13598703, 0, 0, 1.27850933, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.205714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87.2422536, 0, 0, 655389.611, 0, 0, 0, 0, 0, 0, 0, 0, -649844.091, 84522.4674, 300.146315, 0, 0, 0, 0, 0, 0, 0, 0.79597556, 4.32952408, 0, 0, 4.09605354, 0, 0, 1.38251578, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86.9304854, 0, 0, 653813.703, 0, 0, 0, 0, 0, 0, 0, 0, -646268.751, 99040.5974, 300.297132, 0, 0, 0, 0, 0, 0, 0, 0.796974384, 4.31299166, 0, 0, 3.98864074, 0, 0, 1.63957891, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.141428624, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86.6154987, 0, 0, 654399.766, 0, 0, 0, 0, 0, 0, 0, 0, -644898.516, 110647.713, 300.598941, 0, 0, 0, 0, 0, 0, 0, 0.797764185, 4.57492784, 0, 0, 4.23030067, 0, 0, 1.74157121, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86.3894758, 0, 0, 654633.622, 0, 0, 0, 0, 0, 0, 0, 0, -643572.375, 119830.224, 300.834029, 0, 0, 0, 0, 0, 0, 0, 0.798404664, 4.67938325, 0, 0, 4.29100653, 0, 0, 1.86527325, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0771427527, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85.8407139, 0, 0, 654326.386, 0, 0, 0, 0, 0, 0, 0, 0, -639928.231, 136321.132, 301.924868, 0, 0, 0, 0, 0, 0, 0, 0.799091913, 4.79670202, 0, 0, 4.27702718, 0, 0, 2.16708515, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85.7488328, 0, 0, 654185.282, 0, 0, 0, 0, 0, 0, 0, 0, -639141.921, 139482.603, 302.106165, 0, 0, 0, 0, 0, 0, 0, 0.799234241, 4.79389592, 0, 0, 4.24301281, 0, 0, 2.23083156, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0557145992, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85.5367738, 0, 0, 654027.972, 0, 0, 0, 0, 0, 0, 0, 0, -638485.482, 141675.872, 302.852938, 0, 0, 0, 0, 0, 0, 0, 0.799318394, 5.35526455, 0, 0, 4.83523306, 0, 0, 2.28485101, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85.0098887, 0, 0, 652185.54, 0, 0, 0, 0, 0, 0, 0, 0, -635228.315, 147753.016, 304.717349, 0, 0, 0, 0, 0, 0, 0, 0.79961716, 6.75120733, 0, 0, 6.2927983, 0, 0, 2.44529834, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85.0098887, 0, 0, 635664.693, 0, 0, 0, 0, 0, 0, 0, 0, -635145.851, 25677.8002, 304.717349, 0, 0, 0, 0, 0, 0, 0, 0.79961716, 6.75120733, 0, 0, 6.2927983, 0, 0, 2.44529834, 0, 0, 0, 0, 0, 0, 0.023, 4.01865556, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0185714599, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85.0062128, 0, 0, 635526.263, 0, 0, 0, 0, 0, 0, 0, 0, -634995.898, 25954.4187, 304.786048, 0, 0, 0, 0, 0, 0, 0, 0.799715145, 12.5351401, 0, 0, 12.1652766, 0, 0, 2.55367816, 0, 0, 0, 0, 0, 0, 0.023, 4.01873983, 0, 0, 0, 0, 0, 0, 0, 0, 0
