accepted_index,Vdrain_V,Idrain_A_per_um,abs_Idrain_A_per_um,accepted_step_V
0,0.1,2.957516243e-17,2.957516243e-17,0.0
1,0.6,3.926534191e-17,3.926534191e-17,0.5
2,1.1,4.217392413e-17,4.217392413e-17,0.5000000000000001
3,1.6,4.305606627e-17,4.305606627e-17,0.5
4,2.1,4.335630201e-17,4.335630201e-17,0.5
5,2.6,4.505029815e-17,4.505029815e-17,0.5
6,3.1,4.496256749e-17,4.496256749e-17,0.5
7,3.6,4.331735857e-17,4.331735857e-17,0.5
8,4.1,4.338272482e-17,4.338272482e-17,0.49999999999999956
9,4.6,4.35523144e-17,4.35523144e-17,0.5
10,5.1,4.503527341e-17,4.503527341e-17,0.5
11,5.6,4.519968205e-17,4.519968205e-17,0.5
12,6.1,4.477285857e-17,4.477285857e-17,0.5
13,6.6,4.54651191e-17,4.54651191e-17,0.5
14,7.1,5.506782697e-17,5.506782697e-17,0.5
15,7.6,5.441183305e-17,5.441183305e-17,0.5
16,8.1,5.496843918e-17,5.496843918e-17,0.5
17,8.6,5.445284886e-17,5.445284886e-17,0.5
18,9.1,5.481681021e-17,5.481681021e-17,0.5
19,9.6,5.404476313e-17,5.404476313e-17,0.5
20,10.0,5.412498142e-17,5.412498142e-17,0.40000000000000036
21,15.0,6.78272843e-17,6.78272843e-17,5.0
22,20.0,6.871538453e-17,6.871538453e-17,5.0
23,25.0,7.327124804e-17,7.327124804e-17,5.0
24,30.0,1.597613305e-17,1.597613305e-17,5.0
25,35.0,1.540674725e-17,1.540674725e-17,5.0
26,40.0,2.818727375e-17,2.818727375e-17,5.0
27,45.0,1.62376844e-17,1.62376844e-17,5.0
28,50.0,2.642868851e-17,2.642868851e-17,5.0
29,55.0,1.189385967e-16,1.189385967e-16,5.0
30,60.0,1.1641729e-16,1.1641729e-16,5.0
31,65.0,1.174912998e-16,1.174912998e-16,5.0
32,70.0,1.153336092e-16,1.153336092e-16,5.0
33,75.0,1.170599862e-16,1.170599862e-16,5.0
34,80.0,1.202519661e-16,1.202519661e-16,5.0
35,85.0,1.136480752e-16,1.136480752e-16,5.0
36,90.0,1.134327206e-16,1.134327206e-16,5.0
37,95.0,1.331038169e-16,1.331038169e-16,5.0
38,100.0,1.192104236e-16,1.192104236e-16,5.0
39,105.0,1.268334062e-16,1.268334062e-16,5.0
40,110.0,1.413604291e-16,1.413604291e-16,5.0
41,115.0,8.317790465e-17,8.317790465e-17,5.0
42,120.0,1.561554795e-16,1.561554795e-16,5.0
43,125.0,1.430830068e-16,1.430830068e-16,5.0
44,130.0,1.558799396e-16,1.558799396e-16,5.0
45,135.0,1.686635747e-16,1.686635747e-16,5.0
46,140.0,1.232634764e-16,1.232634764e-16,5.0
47,145.0,1.441356883e-16,1.441356883e-16,5.0
48,150.0,1.218055586e-16,1.218055586e-16,5.0
49,155.0,1.273651438e-16,1.273651438e-16,5.0
50,160.0,1.52310787e-16,1.52310787e-16,5.0
51,165.0,1.166701201e-16,1.166701201e-16,5.0
52,170.0,1.423788301e-16,1.423788301e-16,5.0
53,175.0,1.746119034e-16,1.746119034e-16,5.0
54,180.0,1.733131269e-16,1.733131269e-16,5.0
55,185.0,1.661699861e-16,1.661699861e-16,5.0
56,190.0,1.536285602e-16,1.536285602e-16,5.0
57,195.0,1.66833406e-16,1.66833406e-16,5.0
58,200.0,1.564517432e-16,1.564517432e-16,5.0
59,205.0,1.264472531e-16,1.264472531e-16,5.0
60,210.0,1.428115253e-16,1.428115253e-16,5.0
61,215.0,-1.211852269e-16,1.211852269e-16,5.0
62,220.0,-2.01394364e-16,2.01394364e-16,5.0
63,225.0,-1.847795069e-16,1.847795069e-16,5.0
64,230.0,-2.176394744e-16,2.176394744e-16,5.0
65,235.0,-1.458156959e-16,1.458156959e-16,5.0
66,240.0,-1.066284999e-16,1.066284999e-16,5.0
67,245.0,-1.044747813e-16,1.044747813e-16,5.0
68,250.0,-1.567960169e-16,1.567960169e-16,5.0
69,255.0,-1.762577167e-16,1.762577167e-16,5.0
70,260.0,-6.531582147e-17,6.531582147e-17,5.0
71,265.0,-1.297051174e-16,1.297051174e-16,5.0
72,270.0,-1.872488313e-16,1.872488313e-16,5.0
73,275.0,-2.123187308e-16,2.123187308e-16,5.0
74,280.0,-1.583108387e-16,1.583108387e-16,5.0
75,285.0,-1.551285299e-16,1.551285299e-16,5.0
76,290.0,-1.720227264e-16,1.720227264e-16,5.0
77,295.0,-2.159584306e-16,2.159584306e-16,5.0
78,300.0,-1.823271068e-16,1.823271068e-16,5.0
79,305.0,-1.932510419e-16,1.932510419e-16,5.0
80,310.0,-1.238866577e-16,1.238866577e-16,5.0
81,315.0,-2.218430337e-16,2.218430337e-16,5.0
82,320.0,-1.348988415e-16,1.348988415e-16,5.0
83,325.0,-2.041630607e-16,2.041630607e-16,5.0
84,330.0,-1.373947615e-16,1.373947615e-16,5.0
85,335.0,-6.036542903e-17,6.036542903e-17,5.0
86,340.0,-1.545854806e-16,1.545854806e-16,5.0
87,345.0,-1.744541436e-16,1.744541436e-16,5.0
88,350.0,-1.534062113e-16,1.534062113e-16,5.0
89,355.0,-1.721374843e-16,1.721374843e-16,5.0
90,360.0,-2.166373071e-16,2.166373071e-16,5.0
91,365.0,-1.723942864e-16,1.723942864e-16,5.0
92,370.0,-6.463659965e-17,6.463659965e-17,5.0
93,375.0,-7.603718159e-17,7.603718159e-17,5.0
94,380.0,-2.160436572e-16,2.160436572e-16,5.0
95,385.0,-7.349566929e-17,7.349566929e-17,5.0
96,390.0,-5.633215011e-17,5.633215011e-17,5.0
97,395.0,-1.819028738e-16,1.819028738e-16,5.0
98,400.0,-1.021164154e-16,1.021164154e-16,5.0
99,405.0,-1.991314138e-16,1.991314138e-16,5.0
100,410.0,-2.2051723e-16,2.2051723e-16,5.0
101,415.0,5.956436867e-17,5.956436867e-17,5.0
102,420.0,1.131538995e-16,1.131538995e-16,5.0
103,425.0,8.486387896e-16,8.486387896e-16,5.0
104,430.0,9.270334736e-16,9.270334736e-16,5.0
105,435.0,9.610746965e-16,9.610746965e-16,5.0
106,440.0,8.758257093e-16,8.758257093e-16,5.0
107,445.0,7.424276148e-16,7.424276148e-16,5.0
108,450.0,7.379778743e-16,7.379778743e-16,5.0
109,455.0,7.94198116e-16,7.94198116e-16,5.0
110,460.0,9.344385112e-16,9.344385112e-16,5.0
111,465.0,9.418659132e-16,9.418659132e-16,5.0
112,470.0,8.725014427e-16,8.725014427e-16,5.0
113,475.0,8.101666503e-16,8.101666503e-16,5.0
