runtime_region,material,type,transport_code_from_frozen_resave,lineage,status,evidence
1,GaN,semiconductor,124,Ga2O3,IMPORT_PASS,"typescript lines 150-153; frozen resave dictionary"
2,GaN,semiconductor,124,Ga2O3,IMPORT_PASS,"typescript lines 150-153; frozen resave dictionary"
3,GaN,semiconductor,124,Ga2O3,IMPORT_PASS,"typescript lines 150-153; frozen resave dictionary"
4,SiO2,insulator,1,SiO2,IMPORT_PASS,"typescript lines 150-153"
5,SiO2,insulator,1,SiO2,IMPORT_PASS,"typescript lines 150-153"
6,GaN,semiconductor,124,Ga2O3,IMPORT_PASS,"typescript lines 150-153; frozen resave dictionary"
7,GaN,semiconductor,124,Ga2O3,IMPORT_PASS,"typescript lines 150-153; frozen resave dictionary"
8,Al2O3,insulator,229,Al2O3,IMPORT_PASS,"typescript lines 150-153"
9,ZnO,semiconductor,209,NiO,IMPORT_PASS,"typescript lines 150-153; frozen resave dictionary"
10,ZnO,semiconductor,209,NiO,IMPORT_PASS,"typescript lines 150-153; frozen resave dictionary"
11,Nickel,metal,77,Nickel,IMPORT_PASS,"typescript lines 150-153"
12,Nickel,metal,77,Nickel,IMPORT_PASS,"typescript lines 150-153"
13,Nickel,metal,77,Nickel,IMPORT_PASS,"typescript lines 150-153"
