material_a,material_b,orientation,finite_length_um,shared_edges,normal_axis,dx_max,dy_max,normal_max
al2o3,ga2o3,horizontal,14.0,71,y,0.5,0.005,0.005
al2o3,nickel,vertical,0.04000000000000001,9,x,0.25,0.01,0.25
al2o3,nio,horizontal,2.0,16,y,0.125,0.0125,0.0125
al2o3,sio2,horizontal,12.0,55,y,0.5,0.0125,0.0125
ga2o3,ga2o3,horizontal,32.0,158,y,0.5,0.024999999999999994,0.024999999999999994
ga2o3,ga2o3,vertical,0.3,30,x,0.5,0.018750000000000003,0.5
ga2o3,nickel,horizontal,1.0,4,y,0.25,0.005,0.005
nickel,nio,horizontal,2.0,16,y,0.125,0.024999999999999994,0.024999999999999994
nickel,sio2,horizontal,2.5,18,y,0.25,0.025000000000000022,0.025000000000000022
nickel,sio2,vertical,0.39999999999999986,35,x,0.25,0.025000000000000022,0.25
nio,nio,horizontal,2.0,16,y,0.125,0.012500000000000004,0.012500000000000004
nio,sio2,vertical,0.2,16,x,0.25,0.012500000000000004,0.25
