region_id,semantic_name,material,electrode_id,triangles,area_um2,xmin,xmax,ymin,ymax,donor_min,donor_max,acceptor_min,acceptor_max
1,substrate,ga2o3,,2100,2.999999999999984,0.0,15.0,0.4,0.6,,,,
2,uid,ga2o3,,2417,2.999999999999995,0.0,15.0,0.2,0.4,,,,
3,channel,ga2o3,,2469,2.700000000000011,0.0,15.0,0.0,0.2,,,,
4,oxide,sio2,,1545,1.8000000000000018,0.5,14.5,-0.17,-0.02,,,,
5,region5,ga2o3,,120,0.14999999999999997,0.0,1.0,0.0,0.15,,,,
6,n_d,ga2o3,,113,0.14999999999999994,14.0,15.0,0.0,0.15,,,,
7,barrier,al2o3,,441,0.27999999999999964,0.5,14.5,-0.02,0.0,,,,
8,p-,nio,,128,0.09999999999999978,2.0,4.0,-0.07,-0.02,,,,
9,p+,nio,,128,0.09999999999999977,2.0,4.0,-0.12,-0.07,,,,
10,source,nickel,1,56,0.08999999999999997,0.0,0.5,-0.18,0.0,,,,
11,drain,nickel,2,83,0.08999999999999991,14.5,15.0,-0.18,0.0,,,,
12,gate,nickel,3,202,0.23499999999999932,1.5,6.0,-0.2,-0.12,,,,
