semantic_a,semantic_b,orientation,finite_length_um,shared_edges,dx_max,dy_max
barrier,channel,horizontal,13.0,67,0.5,0.005
barrier,drain,vertical,0.019999999999999997,6,0.25,0.005000000000000001
barrier,n_d,horizontal,0.5,2,0.25,0.0046875
barrier,oxide,horizontal,12.0,55,0.5,0.0125
barrier,p-,horizontal,2.0,16,0.125,0.0125
barrier,region5,horizontal,0.5,2,0.25,0.005
barrier,source,vertical,0.02,3,0.25,0.01
channel,n_d,horizontal,1.0,4,0.25,0.024999999999999994
channel,n_d,vertical,0.15,15,0.3125,0.018750000000000003
channel,region5,horizontal,1.0,4,0.25,0.024999999999999994
channel,region5,vertical,0.15,15,0.5,0.018750000000000003
channel,uid,horizontal,15.0,75,0.5,0.012500000000000011
drain,n_d,horizontal,0.5,2,0.25,0.0046875
drain,oxide,vertical,0.15000000000000002,19,0.25,0.012500000000000011
gate,oxide,horizontal,2.5,18,0.25,0.025000000000000022
gate,oxide,vertical,0.10000000000000003,6,0.25,0.025000000000000022
gate,p+,horizontal,2.0,16,0.125,0.024999999999999994
oxide,p+,vertical,0.09999999999999998,8,0.25,0.012499999999999997
oxide,p-,vertical,0.1,8,0.25,0.012500000000000004
oxide,source,vertical,0.15000000000000002,10,0.25,0.025000000000000022
p+,p-,horizontal,2.0,16,0.125,0.012500000000000004
region5,source,horizontal,0.5,2,0.25,0.005
substrate,uid,horizontal,15.0,75,0.5,0.006250000000000033
