region_id,semantic_name,material,electrode_id,triangles,area_um2,xmin,xmax,ymin,ymax,donor_min,donor_max,acceptor_min,acceptor_max
1,substrate,ga2o3,,5540,2.9999999999999307,0.0,15.0,0.4,0.6,0.0,0.0,1999999.999999995,2000000.0000000023
2,uid,ga2o3,,8864,3.0000000000000107,0.0,15.0,0.2,0.4,1499999999999994.8,1500000000000016.0,0.0,0.0
3,channel,ga2o3,,19132,2.6999999999999793,0.0,15.0,0.0,0.2,9.999999999999958e+16,1.00000000000001e+17,0.0,0.0
4,oxide,sio2,,4500,0.22499999999998335,0.5,2.0,-0.17,-0.02,0.0,0.0,0.0,0.0
5,oxide,sio2,,21540,1.5749999999999915,4.0,14.5,-0.17,-0.02,0.0,0.0,0.0,0.0
6,region5,ga2o3,,1120,0.15,0.0,1.0,0.0,0.15,4.999999999999968e+19,5.000000000000039e+19,0.0,0.0
7,n_d,ga2o3,,800,0.14999999999999988,14.0,15.0,0.0,0.15,4.999999999999968e+19,5.000000000000039e+19,0.0,0.0
8,barrier,al2o3,,4272,0.27999999999999653,0.5,14.5,-0.02,0.0,0.0,0.0,0.0,0.0
9,p-,nio,,2000,0.09999999999999715,2.0,4.0,-0.07,-0.02,0.0,0.0,1.2999999999999939e+18,1.3000000000000125e+18
10,p+,nio,,2000,0.09999999999999704,2.0,4.0,-0.12,-0.07,0.0,0.0,2.999999999999987e+19,3.0000000000000295e+19
11,source,nickel,1,720,0.09000000000000036,0.0,0.5,-0.18,0.0,0.0,0.0,0.0,0.0
12,drain,nickel,2,720,0.09000000000000012,14.5,15.0,-0.18,0.0,0.0,0.0,0.0,0.0
13,gate,nickel,3,4250,0.2349999999999916,1.5,6.0,-0.2,-0.12,0.0,0.0,0.0,0.0
