semantic_a,semantic_b,orientation,finite_length_um,shared_edges,dx_max,dy_max
barrier,channel,horizontal,13.0,494,0.05005631625831519,0.005116069546984734
barrier,drain,vertical,0.02,4,0.020262052685470877,0.005000000000000001
barrier,n_d,horizontal,0.5,15,0.05065513171367897,0.005116069546984734
barrier,oxide,horizontal,12.0,434,0.05065513171367897,0.005000000000000001
barrier,p-,horizontal,2.0,100,0.020000000000000018,0.005000000000000001
barrier,region5,horizontal,0.5,25,0.02000000000000013,0.005116069546984734
barrier,source,vertical,0.02,4,0.020000000000000018,0.005000000000000001
channel,n_d,horizontal,1.0,25,0.09831822851642968,0.016666666666666663
channel,n_d,vertical,0.15,16,0.05065513171367897,0.01534820864095418
channel,region5,horizontal,1.0,35,0.09831822851642888,0.016666666666666663
channel,region5,vertical,0.15,16,0.020000000000000018,0.01534820864095418
channel,uid,horizontal,15.0,554,0.09831822851642968,0.01666666666666669
drain,n_d,horizontal,0.5,10,0.09831822851642968,0.005116069546984734
drain,oxide,vertical,0.15000000000000005,30,0.020262052685470877,0.0050000000000000044
gate,oxide,horizontal,2.5,125,0.020000000000042206,0.0050000000000000044
gate,oxide,vertical,0.10000000000000003,20,0.020000000000000018,0.0050000000000000044
gate,p+,horizontal,2.0,100,0.020000000000000018,0.0050000000000000044
oxide,p+,vertical,0.09999999999999998,20,0.020000000000000018,0.0050000000000000044
oxide,p-,vertical,0.10000000000000003,20,0.020000000000000018,0.0050000000000000044
oxide,source,vertical,0.15000000000000005,30,0.020000000000000018,0.0050000000000000044
p+,p-,horizontal,2.0,100,0.020000000000000018,0.0050000000000000044
region5,source,horizontal,0.5,10,0.09831822851642888,0.005116069546984734
substrate,uid,horizontal,15.0,554,0.09831822851642968,0.03999999999999998
