material_a,material_b,orientation,finite_length_um,shared_edges,normal_axis,dx_max,dy_max,normal_max
al2o3,ga2o3,horizontal,13.99999999999999,670,y,0.05065513171367897,0.005116069546984734,0.005116069546984734
al2o3,nickel,vertical,0.039999999999999994,8,x,0.020262052685470877,0.005000000000000001,0.020262052685470877
al2o3,nio,horizontal,2.0,100,y,0.020000000000000018,0.005000000000000001,0.005000000000000001
al2o3,sio2,horizontal,12.0,570,y,0.05065513171367897,0.005000000000000001,0.005000000000000001
ga2o3,ga2o3,horizontal,31.999999999999915,1440,y,0.09831822851642968,0.01666666666666669,0.01666666666666669
ga2o3,ga2o3,vertical,0.3,32,x,0.05065513171367897,0.01534820864095418,0.05065513171367897
ga2o3,nickel,horizontal,1.0,20,y,0.09831822851642968,0.005116069546984734,0.005116069546984734
nickel,nio,horizontal,2.0,100,y,0.020000000000000018,0.0050000000000000044,0.0050000000000000044
nickel,sio2,horizontal,2.5,125,y,0.020000000000042206,0.0050000000000000044,0.0050000000000000044
nickel,sio2,vertical,0.40000000000000024,80,x,0.020262052685470877,0.0050000000000000044,0.020262052685470877
nio,nio,horizontal,2.0,100,y,0.020000000000000018,0.0050000000000000044,0.0050000000000000044
nio,sio2,vertical,0.20000000000000007,40,x,0.020000000000000018,0.0050000000000000044,0.020000000000000018
