region_id,semantic_name,material_code,material_label_in_str,electrode_id,triangles,area_um2,xmin_um,xmax_um,ymin_um,ymax_um,donor_min_cm3,donor_max_cm3,acceptor_min_cm3,acceptor_max_cm3
1,substrate,50,ga2o3,,5540,2.9999999999999307,0.0,15.0,0.4,0.6,0.0,0.0,1999999.999999995,2000000.0000000023
2,uid,50,ga2o3,,8864,3.0000000000000107,0.0,15.0,0.2,0.4,1499999999999994.8,1500000000000016.0,0.0,0.0
3,channel,50,ga2o3,,19132,2.6999999999999793,0.0,15.0,0.0,0.2,9.999999999999958e+16,1.00000000000001e+17,0.0,0.0
4,oxide,1,SiO\342\202\202,,4500,0.22499999999998335,0.5,2.0,-0.17,-0.02,0.0,0.0,0.0,0.0
5,oxide,1,SiO\342\202\202,,21540,1.5749999999999915,4.0,14.5,-0.17,-0.02,0.0,0.0,0.0,0.0
6,,50,ga2o3,,1120,0.15,0.0,1.0,0.0,0.15,4.999999999999968e+19,5.000000000000039e+19,0.0,0.0
7,n_d,50,ga2o3,,800,0.14999999999999988,14.0,15.0,0.0,0.15,4.999999999999968e+19,5.000000000000039e+19,0.0,0.0
8,barrier,229,Al\342\202\202O\342\202\203,,4272,0.27999999999999653,0.5,14.5,-0.02,0.0,0.0,0.0,0.0,0.0
9,p-,304,0,,2000,0.09999999999999715,2.0,4.0,-0.07,-0.02,0.0,0.0,1.2999999999999939e+18,1.3000000000000125e+18
10,p+,304,0,,2000,0.09999999999999704,2.0,4.0,-0.12,-0.07,0.0,0.0,2.999999999999987e+19,3.0000000000000295e+19
11,source,77,Nickel,1,720,0.09000000000000036,0.0,0.5,-0.18,0.0,0.0,0.0,0.0,0.0
12,drain,77,Nickel,2,720,0.09000000000000012,14.5,15.0,-0.18,0.0,0.0,0.0,0.0,0.0
13,gate,77,Nickel,3,4250,0.2349999999999916,1.5,6.0,-0.2,-0.12,0.0,0.0,0.0,0.0
