rule_id,status,source_window,author_category,primary_evidence,git_anchors,acceptance_basis,semantic_validation,attribution_validation,conflict_state
CR-001,ACCEPTED,PRE_CUTOFF,USER,EV-001,540379dab74fdda861f688204b4d45ec5f59a9d2:knowledge/CONSTRAINTS_用户约束账本.md:12,direct_user_rule,PASS,PASS,NONE
CR-002,ACCEPTED,PRE_CUTOFF,USER,EV-001,540379dab74fdda861f688204b4d45ec5f59a9d2:docs/对话全记录_完整QA_20260726-27.md:699-712,direct_user_rule,PASS,PASS,NONE
CR-003,ACCEPTED,PRE_CUTOFF,USER,EV-001,540379dab74fdda861f688204b4d45ec5f59a9d2:knowledge/CONSTRAINTS_用户约束账本.md:19,direct_user_rule,PASS,PASS,NONE
CR-004,ACCEPTED,PRE_CUTOFF,USER,EV-001|EV-002,540379dab74fdda861f688204b4d45ec5f59a9d2:knowledge/CONSTRAINTS_用户约束账本.md:20,direct_user_rule,PASS,PASS,NONE
CR-005,ACCEPTED,PRE_CUTOFF,USER,EV-005,540379dab74fdda861f688204b4d45ec5f59a9d2:knowledge/CONSTRAINTS_用户约束账本.md:14|540379dab74fdda861f688204b4d45ec5f59a9d2:knowledge/CONSTRAINTS_用户约束账本.md:23|540379dab74fdda861f688204b4d45ec5f59a9d2:docs/模式模板_任务模式.md:32-37,direct_user_rule_without_post_cutoff_numeric_expansion,PASS,PASS,NONE
CR-006,ACCEPTED,PRE_CUTOFF,MIXED,EV-003|EV-004|EV-009,540379dab74fdda861f688204b4d45ec5f59a9d2:docs/模式模板_计划模式.md:5|540379dab74fdda861f688204b4d45ec5f59a9d2:docs/模式模板_计划模式.md:32-36,user_requested_and_adopted_claude_drafted_protocol,PASS,PASS,NONE
CR-007,ACCEPTED,PRE_CUTOFF,MIXED,EV-003|EV-004|EV-009|EV-010,540379dab74fdda861f688204b4d45ec5f59a9d2:docs/模式模板_计划模式.md:4-5|540379dab74fdda861f688204b4d45ec5f59a9d2:docs/模式模板_计划模式.md:13-16|540379dab74fdda861f688204b4d45ec5f59a9d2:docs/模式模板_计划模式.md:28-42|540379dab74fdda861f688204b4d45ec5f59a9d2:docs/模式模板_任务模式.md:7-18|540379dab74fdda861f688204b4d45ec5f59a9d2:docs/模式模板_任务模式.md:40-45,user_requested_and_adopted_claude_drafted_protocol,PASS,PASS,NONE
CR-008,ACCEPTED,PRE_CUTOFF,MIXED,EV-005|EV-011,540379dab74fdda861f688204b4d45ec5f59a9d2:AGENTS.md:24-31|540379dab74fdda861f688204b4d45ec5f59a9d2:AGENTS.md:112-116|540379dab74fdda861f688204b4d45ec5f59a9d2:AGENTS.md:136-138,user_requested_critical_response_and_claude_drafted_gate,PASS,PASS,NONE
CR-009,ACCEPTED,PRE_CUTOFF,USER,EV-001,540379dab74fdda861f688204b4d45ec5f59a9d2:docs/AGENT_运行日志_与复现手册.md:62,direct_user_rule,PASS,PASS,NONE
CR-010,ACCEPTED,PRE_CUTOFF,REPOSITORY_DERIVED,SRC-004,540379dab74fdda861f688204b4d45ec5f59a9d2:knowledge/CONSTRAINTS_用户约束账本.md:25|540379dab74fdda861f688204b4d45ec5f59a9d2:AGENTS.md:87-89|540379dab74fdda861f688204b4d45ec5f59a9d2:docs/RUN工程架构规范_20260727.md:32-41,pre_cutoff_repository_rule_without_original_author_claim,PASS,PASS,NONE
CR-011,ACCEPTED,PRE_CUTOFF,MIXED,EV-002|EV-012|EV-013,540379dab74fdda861f688204b4d45ec5f59a9d2:AGENTS.md:91-95,user_requested_visible_logged_execution_with_claude_runner_components,PASS,PASS,NONE
CR-012,ACCEPTED,PRE_CUTOFF,MIXED,EV-007|EV-008|EV-015|EV-016,540379dab74fdda861f688204b4d45ec5f59a9d2:knowledge/CONSTRAINTS_用户约束账本.md:45-46|540379dab74fdda861f688204b4d45ec5f59a9d2:PREFLIGHT.md:19-20|540379dab74fdda861f688204b4d45ec5f59a9d2:docs/废案登记_20260727.md:4-23,user_sweep_directives_plus_claude_pipeline_components_and_pre_cutoff_repository_state,PASS,PASS,SUPERSEDES_VDOE
CR-013,ACCEPTED,PRE_CUTOFF,REPOSITORY_DERIVED,SRC-004,540379dab74fdda861f688204b4d45ec5f59a9d2:knowledge/CONSTRAINTS_用户约束账本.md:24|540379dab74fdda861f688204b4d45ec5f59a9d2:docs/RUN工程架构规范_20260727.md:38-41,pre_cutoff_repository_rule_without_unsupported_source_term_or_original_author_claim,PASS,PASS,NONE
CR-014,ACCEPTED,PRE_CUTOFF,REPOSITORY_DERIVED,SRC-004,540379dab74fdda861f688204b4d45ec5f59a9d2:knowledge/CONSTRAINTS_用户约束账本.md:28|540379dab74fdda861f688204b4d45ec5f59a9d2:docs/handoff/版本更新交接规程.md:45-55,pre_cutoff_repository_rule_scoped_to_post_update_first_session,PASS,PASS,NONE
CR-015,ACCEPTED,PRE_CUTOFF,REPOSITORY_DERIVED,SRC-004,540379dab74fdda861f688204b4d45ec5f59a9d2:knowledge/CONSTRAINTS_用户约束账本.md:25|540379dab74fdda861f688204b4d45ec5f59a9d2:AGENTS.md:120-126|540379dab74fdda861f688204b4d45ec5f59a9d2:outputs/reports/组会汇报_Ga2O3_SEB_20260727_outline.md:37|540379dab74fdda861f688204b4d45ec5f59a9d2:outputs/reports/组会汇报_Ga2O3_SEB_20260727_outline.md:53|540379dab74fdda861f688204b4d45ec5f59a9d2:outputs/reports/组会汇报_Ga2O3_SEB_20260727_outline.md:85|540379dab74fdda861f688204b4d45ec5f59a9d2:outputs/reports/组会汇报_Ga2O3_SEB_20260727_outline.md:102,pre_cutoff_repository_rule_without_original_author_claim,PASS,PASS,NONE
CR-016,ACCEPTED,PRE_CUTOFF,MIXED,EV-005|EV-014,540379dab74fdda861f688204b4d45ec5f59a9d2:AGENTS.md:116|540379dab74fdda861f688204b4d45ec5f59a9d2:AGENTS.md:128-129,user_requested_options_and_criticality_with_claude_numeric_formatting,PASS,PASS,NONE
